full_text,tweet_id,screen_name
Drew Brees pre-game speech = win. https://t.co/10M7hSwwKF,1520912512996233217,r2gee2_
"Tennessee had RA Dickey throw out the first pitch and they hit a game winning HR in the 8th. LSU has Drew Brees throw one out and they hit a walk off HR.

Moral of the story: more badass first pitch guests https://t.co/Lo9YteTHUf",1520907914298408960,SECbaseball
Drew Brees before and after retirement https://t.co/aR4Glz42VY,1520907902311088128,greatdaein
"Which one is Drew Brees? 😂

#NFLTwitter https://t.co/YZxM8GXMbs",1520901683026530311,MaximBetUSA
Watch: Drew Brees Gives Epic Speech to LSU Baseball Team https://t.co/AKFv8bx0UG #sports #feedly,1520898958364917762,TheReal_KDubb
Damn bro Drew Brees really retired,1520898194808479750,KamaraBettah
Drew Brees and Threw Breeze https://t.co/rkcpcfgVsD,1520896901234806784,GINO_NFLNBA
"Winners Choice Scramble
Winner chooses an autographed Brett Favre jersey with
Gunslinger inscription, Reggie White 8x10, or Drew Brees Purdue Chrome mini helmet.
20 total spots. $20 per spot. 
Check out our other Scrambles too!
https://t.co/4Bx7ZwqWmI https://t.co/emH3AsYZY4",1520891891532939265,packrconnection
Two Drew Brees’s or Two Jacob Berry’s?…. Idk you tell me 🤯 https://t.co/rObbKBCouh,1520890099940085763,theblakemoney
I love how Drew Brees is still so involved in Louisiana❤️,1520889363621634048,MaddieBoggsXOXO
Watch: Drew Brees Gives Epic Speech to LSU Baseball Team https://t.co/aPKAAXthc6,1520887620607168512,goalmirror
I'm even hype. Drew GOAT Brees. https://t.co/X9qyIhtbFV,1520886636359397378,Rufie851
"Drew Brees and LSU's Jacob Berry at today's baseball game vs UGA.
But who's who....?
👀👀 https://t.co/CbhnpqUfG4",1520881111647145985,whodat2835
Drew Brees Video Is Going Viral: NFL World Reacts - The Spun https://t.co/PKnsrNBZGz,1520878488277848065,DrewBreesWatch
Maybe start bringing Drew Brees back every game!! https://t.co/aiX4H3S7lS,1520876486055677952,GSpeed9
#e_RadioUS Drew Brees pumps up LSU baseball team with passionate pregame speech https://t.co/3htqt8605R,1520872397221638144,eRadioUS
Drew Brees pumps up LSU baseball team with passionate pregame speech https://t.co/tAiUj48fhb,1520867040462086145,guncelkalnet
Drew Brees pumps up LSU baseball team with pregame speech https://t.co/fo8twkNXGD,1520865688293888005,USNewsLabOnline
"“You’re setting the example, and you’re setting it high.”

Need more Drew Brees pump-up speeches in our lives.  https://t.co/FGG4hnwFWC",1520864222946676737,outsider
Drew Brees pumps up LSU baseball team with passionate pregame speech - https://t.co/CG8OSrq7XU,1520863902808035330,e_newsUS
Looks like younger Drew Brees next to retired Drew Brees. Lol https://t.co/ouRe5pb4Ym,1520862104940593153,_CNaq
Drew Brees pumps up LSU baseball team with pregame speech https://t.co/ejAemGtvZO,1520862064138506241,gospaddiction
"One of the few times Horn got beat. Not a bad play by either player, but it’s hard to beat corrals Drew Brees throw speed.

Good route running, good coverage, an even better pass from corral https://t.co/SuiAcVFJnp",1520861735783129088,MiggytheaceGod
Drew Brees pumps up LSU baseball team with passionate pregame speech https://t.co/29aCFyHsrj,1520860531992805376,adabagcompany
Drew Brees a fan fr or this just for show? https://t.co/V24SROw2r3,1520860131130499077,B_weezyyyyy
Drew Brees is great. Wish State could have someone like that come in and talk to the team @HailStateBB https://t.co/Mh7HZHsOXa,1520858850009755651,m_swords97
"'Drew Brees got the @LSUbaseball team HYPED for their game today 🙌
https://t.co/Be7Q65wygH' - Tweet from: @SInow",1520853240052686848,VisitoryNews
Gas me up Drew Brees! https://t.co/Q98714T5qZ,1520852112414027776,dahrenstorff
