full_text,tweet_id,screen_name
"#NSHL Injury Update:

Drew Doughty (OVW) returned from bruised shoulder

https://t.co/9jhYmQgGWW

#FantasyHockey #SimHockey #FakeHockey #SimulatedHockey https://t.co/W8QhwX53hG",1520598686321061890,NatlSimHkyLge
"PLAYOFF HOCKEY STARTS IN 2 DAYS!!!! And on that note for the next 2 weeks I’m on 1 train and 1 train only
FUCK THE KINGS, time to show McClellan why he got the boot, and I hope drew doughty gets KO’d by a devastating check at some point this series",1520503761860407296,_InGodWeThrust_
"Josh Bailey gets lots of hate directed at him from some Islanders fans but only 5 players selected in the 2008 draft have more points than Bailey (555) who was the 9th pick. Stamkos 972, Erik Karlsson 660, Jordan Eberle 595, John Carlson 593 and Drew Doughty 567.",1520441810056843264,jmont226
"There are only 2 defensemen in the current NHL who had more points than Seider in a U21 season:

Drew Doughty and Quinn Hughes. 

That's some pretty elite company.

#LGRW",1520390387680038914,StickBladePod
Has someone sent Kaprizov’s final season stats to Drew Doughty yet? #mnwild,1520240819441045504,LukeKFIL
"For the @LAKings to make the playoffs after all the injuries they had is a great accomplishment. Really going to miss Drew Doughty in this playoff run, hes built for big moments. Dustin Brown, hard to accept hes retiring. What a great player, leader and person. Forever a Champion",1520189850980286464,KingSeba92
Remember when Drew Doughty said the #mnwild overpaid for Kaprizov? He's still wrong. https://t.co/l0kEI5nq8r,1520153517209567234,rcerler
"""I roomed with him for five years, so I've spent enough time with him,"" - Dustin Brown on Drew Doughty not being on the road for last night's game

#GoKingsGo",1520116184359837698,MavridisNHL
"Drew Doughty, Dustin Brown, Anze Kopitar and Jonathan Quick posing for a picture ahead of Brown's press conference.

#GoKingsGo https://t.co/G2waBNdg9G",1520111144979124224,MavridisNHL
AND DREW DOUGHTY ISN'T HERE TO CELEBRATE WITH HIM 😭😭😭 https://t.co/3EFxCtadpn https://t.co/zSz16ZxWyh,1519887400301867014,robyn_jftc
"Drew Doughty's point totals the last 4 seasons, if they'd been over a full 82 games

45 pts
43 pts
50 pts
65 pts

Erik Karlsson?
70 pts
59 pts
35 pts
57 pts

Roman Josi...
56 pts
77 pts
56 pts
98 pts

All 3 Defenseman were taken in the crazy deep 2008 draft https://t.co/7fqn4icqr7",1519885391959969793,RodneyGibson604
What date/game was Dustin Brown and Drew Doughty’s last game together?,1519857228542476294,kurri_jari
