full_text,tweet_id,screen_name
"❤️‍🔥 #adlink #look ❤️‍🔥 Jogginghose aus Baumwoll-Jersey from Dries Van Noten - https://t.co/cZ3ejazZ9F DE. Likes and comments 👇
Purchase 👉https://t.co/31KtmegH0U https://t.co/NW7exuFfbG",1520852752762642439,weeklystylede
🔥[FREE WORLDWIDE SHIPPING] Frederic Malle Dries Van Noten 100ml 3.4oz https://t.co/gIpqqoXcNX eBay https://t.co/8IlSfJ2WF2,1520739089804189699,fragrances_and
"Dear @neimanmarcus , you have here an epic photoshop fail: https://t.co/JOP2pB8VNh",1520728072751828993,Anon_OMouse
Semi sheer drapes 💐🪷🍇 skirt by Dries van Noten. https://t.co/xkCoPdha5P,1520589924994531328,sadefinds
Check out this listing I just added to my #Poshmark closet: Dries Van Noten fall 2004 silk dress. https://t.co/tXGcJu7tCZ #shopmycloset @poshmarkapp,1520492245492715520,soyezlechange
Check out this listing I just added to my #Poshmark closet: Dries Van Noten fall 2004 silk dress. https://t.co/ERsEhhVDQA #shopmycloset @poshmarkapp,1520489839853932545,soyezlechange
Dries Van Noten got some decent ass shades,1520418057922953219,GoodJobDamar
The previous owner of this Dries Van Noten AW07 dress folded the hem and has hidden major design embroideries on the inside 😭 https://t.co/bZfzK5LpZI,1520219427148636160,enrihannaaa
Dries Van Noten styled by me https://t.co/r4GXWyPoir,1520203989761073153,enrihannaaa
"Thank God I got this sweater, I styled it differently but this is stunning 😻😻
Dries Van Noten sweater and skirt 😻 https://t.co/5WqGFlApSP",1520154328945860611,8Wowstyle
"DRIES VAN NOTEN 130,000! Rose over silhouette coat 21aw L No.6982 #eBay🇺🇸 #Men #Coats #Jackets #Vests https://t.co/5CmIdWZJyq",1520151363006521344,MenJacketsPro
"Dries Van Noten Metallic Gold Velvet Leather Clutch Bag $1,015 GORGEOUS https://t.co/csTD66jrbH eBay https://t.co/KvwZeuxTKX",1520070171192299521,HandbagsBags
"🧥dries van noten 
👕Veronique branquinho
👖victor &amp; rolf
👞Christopher Kane https://t.co/QvoB2jcBZO",1519993407090794497,HUKUBAKA1
