full_text,tweet_id,screen_name
"That was just gross, Elias Lindholm ties it",1520584318401363970,SheetLiiga
"The best Swedish forward this year was Nashville Predators Filip Forsberg,he played 69 games &amp; recorded 42 goals &amp; 84 points!🇸🇪🇸🇪,honorable mentions to Elias Lindholm 42 goals 83 points,William Nylander 34 goals &amp; 80 points &amp; Mika Zibanejad 29 goals 81 points.🇸🇪",1520417863772741632,PatrikPetrin
"The Flames top line played 1217 minutes together scoring 124 goals

Johnny Gaudreau w/ 40
Matthew Tkachuk w/ 42
Elias Lindholm w/ 42

and scoring 301 points

Johnny Gaudreau w/ 115
Matthew Tkachuk w/ 104
Elias Lindholm w/ 82",1520233579028299776,ajayissock
Elias Lindholm is called for hooking Josh Morrissey. #NHLJets going back on the PP. 11:40 to go in the third period.,1520223213862727681,WiebesWorld
"This line had a crazy great season. I’ll be rooting for them to shake off the post-season bugaboo. Oh, and @ADiMarco25 has been saying it and he’s right—Elias Lindholm is an underrated player. https://t.co/Ute0AQ8jfc",1520201504971440134,MikeyD_OandBP
"Rosters official.

8 players will play all 82 regular season games for the #Flames.
Rasmus Andersson, Chris Tanev, Mikael Backlund, Johnny Gaudreau, Milan Lucic, Matthew Tkachuk, Elias Lindholm and Andrew Mangiapane.

Blake Coleman &amp; Noah Hanifin will finish with 81 GP.",1520188477870063617,BParkerTV
"If they play tonight, the #Flames will have gotten full 82 game seasons from: 

Matthew Tkachuk, Elias Lindholm, Johnny Gaudreau, Mikael Backlund, Andrew Mangiapane, Milan Lucic, Chris Tanev, and Rasmus Andersson.",1520147315914203138,MatchsticksCGY
Johnny Gaudreau is actually the first Calgary Flames player to score 40 goals in a season since Elias Lindholm ins 2021-22 https://t.co/PqMZjSTq4r,1520120353569140737,Tomas_TDE
Elias Lindholm: Scores again in loss https://t.co/JH1vRSt95K,1519927140443168768,RotoWireNHL
"Gotta be impressed by Elias Lindholm. 42 goals from one of the best two-way forwards in the league. 

#Flames #NHL #HockeyTwitter #Hockey https://t.co/FxYnwTReRu",1519886881387053057,LangwayFanclub
"For the first time in his career, Johnny Gaudreau has 40 goals in a season! 

Gaudreau joins Matthew Tkachuk and Elias Lindholm in the 40 goal club. The Flames have become just the second NHL team in 25 years to feature three 40- goal scorers. 🤯",1519886771391139840,NathanW_yyc
Elias Lindholm scores against the Minnesota Wild to make it 2-2 #MINvsCGY #mnwild #Flames https://t.co/1V856iYwWg,1519868134290866176,nopClips
"CGY: Elias Lindholm (42) assists: Nikita Zadorov (18), Johnny Gaudreau (75) Goalie Cam Talbot (MIN 2, CGY 2 - 17:04 3rd)",1519866569396039681,GoalNHL
Elias Lindholm has one of the best shot releases in the NHL. He’s in the same category as Matthews and Ovechkin.  Flames are playing playoff hockey and are looking strong. @NHLFlames,1519865787015565313,CgyNetwork
"Sorry, Elias Lindholm with the tally. Zadorov with the assist. https://t.co/h5xva2D966",1519865718547918848,jessi_pierce
ELIAS LINDHOLM HAS PRETTY EYES AND IS ELITE AT HOCKEY,1519865173795737602,CrazySadAzn
The Calgary Flames are the only team in the NHL with three 40-goal scorers. Johnny Gaudreau just tallied his 40th with Matthew Tkachuk and Elias Lindholm also holding 41 each. #Flames,1519845848972148738,jjmid04
"Milestone alert! (There's been a lot of them)

Johnny Gaudreau scores his 40th goal of the season, joining Matthew Tkachuk &amp; Elias Lindholm as the 3rd Flame this year to hit the mark.",1519845650451603456,BParkerTV
"Connor McDavids most common 5v5 linemates are Zach Hyman and Jesse Puljujarvi. 

Johnny Gaudreaus most common 5v5 linemates are Elias Lindholm and Matthew Tkachuk. https://t.co/iPLCG0PMdN",1519834138559324161,AhoyMcavoy73
🏒NHL Player Prop 1u: Elias Lindholm o/0.5 point -156 (FD) 1u🏒@propsdotcash @XAllCapLabs https://t.co/lqVSLISIuH,1519773661384818689,Frittsy84
"It is very possible that Johnny Gaudreau (+63) AND Elias Lindholm (+60) might BOTH finish with the best +/- by a skater since Wayne Gretzky (+69) in 1986-87. 

I feel like it's good when you have two players that are doing things not done since Gretzky was in his prime.",1519743967687888896,MatchsticksCGY
