full_text,tweet_id,screen_name
elle fanning avi was fun but we are back to my girl beth greene &lt;3,1520913289559093250,greeneboulevard
im obsessed with nicholas hoult and elle fanning now… aries-sag couples😌,1520912975732826112,gorgon_sister
"Kim Kardashian, Phoebe Dynevor, Kendall Jenner, Ariana Grande, Elle Fanning (if confirmed). https://t.co/uGCJ0bG9VS",1520910510593818624,PURESUASlON
📸 Elle Fanning | Instagram Stories https://t.co/41qdKYhpvK,1520902478518263810,ellefbrasil
Blessing your timeline with Elle Fanning 😍 #ElleFanning #ElleFanningFan #Fanning #ElleFanningStyle #TheGreat #Maleficent #Aurora #GirlFromPlainville #MichelleCarter #beautiful https://t.co/bacYbsonYh,1520902183373262854,JonnyLeTran5
"characters/actors: catherine the great peter the great elle fanning nicholas hoult
ship: petercatherine 
show: the great
song: hands to myself selena gomez https://t.co/0QXaqzNGxk",1520897959684022273,korydayamedia
Elle Fanning junto com Dakota Fanning no seu Instagram. https://t.co/sLFeELoCxJ,1520884965386379264,PopStreetBR
Elle Fanning after meeting the dancer: 'Always you are to be rich next year.',1520882639237906432,InspiredCelebs
🎥 Elle Fanning | Instagram Stories https://t.co/Xh4EyQHwmC,1520871113290653697,ellefbrasil
"PHOTOS Elle Fanning est un Emoji!
 #ElleFanning #photos #people
https://t.co/UpowG4WpA8",1520866910363136000,NewsPeople_Fr
vei a elle fanning em the girl from plainville fico chocada,1520863255455051776,sopewildest
i was today years old when i found out elle fanning played coraline,1520861654438846464,PARADISEDELTOR0
"Elle Fanning 
#ElleFanning #fashion https://t.co/cVkbz35eTZ",1520860209551343616,HOLEyeCandy
Elle Fanning &amp; Chloe Sevigny Strike A Pose at 'Girl From Plainville' Screening in LA https://t.co/f1oR011LkM via @JustJared,1520853747274076167,SweetAnette96
📷 glamoroussource: elle fanning photographed by milan zrnic for net-a-porter april 2022 https://t.co/nd9pFQyY3h,1520849546871463936,robrus_
Elle Fanning is an entire mood. https://t.co/DF8y5WueVW,1520847912141524999,WTBWrites
Elle Fanning https://t.co/RS6RCQbBhY,1520846504717602817,cineasimetrico
