full_text,tweet_id,screen_name
"Here are the values that I stand for: honesty, equality, kindness, compassion, treating people the way you want to be treated and helping those in need. To me, those are traditional values.
Ellen DeGeneres",1520901371024711680,IamTayHill
"""Ellen DeGeneres' emotional goodbye after filming final episode of talk show""  https://t.co/JJNbwoESx4",1520900562480418817,Scorpion4848
Is it just me or sometimes do Justin and Hailey Bieber look like Ellen DeGeneres and Portia de Rossi?,1520900005476851713,RohitaKadambi
"@piersmorgan
This is how he lives his life -- hurting and tearing other people apart. Wow. Just wow.

https://t.co/wbDHPl2g0n",1520897079786328064,CrystalResists
Got told by Home Depot employee that I sound like Ellen DeGeneres/Dory and I don’t think I’ll ever recover from this,1520888240244502529,nahbroimaotaku
Crazy that Ellen DeGeneres and Tom Segura are coaching opposite of each other in the NBA Playoffs,1520883232564121600,Drew__Ski
Thank you Ellen Degeneres this magic token dedicated to you! @TheEllenShow #EllenDeGeneres #NFTCommunity #NFTGiveaway #nft #NFTcollectibles #ArtistOnTwitter https://t.co/chcdKidrrp,1520879116345561088,MagicTokens
Ellen DeGeneres Speaks Out After Filming the Final Episode of Her Show https://t.co/VM8FzoaxOI via @JustJared,1520860482395123720,SweetAnette96
ain’t none of y’all got Ellen DeGeneres in yalls phone like me 😳 https://t.co/aUkfSDW3hV,1520860016667934720,wolffjimenez
Ellen degeneres is looking class https://t.co/KQh4JzZf29,1520841484341321728,GregGibb95
@JalenRose what type jacket you had on? Givin real Ellen Degeneres vibes 😂😂🤷🏽‍♂️,1520830589267501061,gge615
Ellen DeGeneres has taped her final show which will air May 26 https://t.co/yPpGg4AFEe,1520813502268641280,987theRiver
"I see both James Corden and Ellen Degeneres have both been officially markled! Can't say I'm surprised though. Because anyone who gets associated with the two grifters from Montecito, nothing good ever seems to happen to them. H&amp;M are simply bad luck!",1520810286197972992,BillyDouglass7
"“Things will get easier, people's minds will change, and you should be alive to see it.”
― Ellen DeGeneres",1520793114977632257,wefightbullying
Ellen DeGeneres Buys Coastal California Mansion for Nearly $21 Million https://t.co/DchWjl4exp,1520791155692158976,hi5connectgh
"listening to viva la vida sobbing my eyes out as yet another false, damning article about ellen degeneres shooting her interns with an awp is released into the world. not on workers' day....",1520785308962504704,sanctified2286
Ellen DeGeneres on COMING OUT in Puppy Episode (Flashback) https://t.co/awNjjPYlB1,1520785126908604416,9ja_breed
"@TheEllenShow is finally over. Took pretty much to end a show where the staff preparing it, was aleays abused. Byeeee!

https://t.co/92n64DDAnT",1520784608920539140,teonicaa
Ellen DeGeneres on COMING OUT in Puppy Episode (Flashback) https://t.co/RnKpayFcWQ,1520780721098412032,CunningShowbiz
"My life is perfect even when it’s not. Ellen DeGeneres
250 K LOADING SOON
DESERVING WINNER ANJALI
#AnjaliArora #Anjalians",1520774224259911685,a_dhakkad
"“I work really hard at trying to see the big picture and not getting stuck in ego. I believe we’re all put on this planet for a purpose, and we all have a different purpose… When you connect with that love and that compassion, that’s when everything unfolds.” —Ellen DeGeneres",1520773879379156997,JeanetteJoy
Remember when Paper Magazine published an op-ed comparing people on twitter defending Harry Styles wearing a dress to Ellen Degeneres defending her association with known war criminal George W Bush https://t.co/9VUy9cHUxd https://t.co/ZaLTpVkXBi,1520773096411701248,no1cheesestan
