full_text,tweet_id,screen_name
"Olympian Emily Seebohm ‘horrified’ after her photo is used on transphobic billboard. Fucking phobes always deny their shit when it's called out for what it is‼️‼️‼️ Once again, follow the science not your own pea brains!!!
https://t.co/B9lcemEidV https://t.co/B9lcemEidV https://t.co/hN6tYeCZnT",1520042442136903683,acpanda69
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/dZ9ZY39Loi,1519900510115233792,RobertC78726751
"Hope they get sued!

https://t.co/gF9LbtQr2k",1519840602166382592,JessicaVT76
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/LIuB0roIKT,1519724236390100992,Sasha42014344
Olympian Emily Seebohm ‘horrified’ after her photo is used on transphobic billboard https://t.co/eUbBODHFSf https://t.co/Trd5CyGBOf,1519718373570998272,Revetir_enfemme
"She should sue. 
https://t.co/XCDjMH3Alo",1519621130419830784,stardustdakini
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission | Australian election 2022 | The Guardian https://t.co/ArgcqIdsvs,1519554622641254400,Jackobsen
"‘Olympic swimmer says election message promoted by rightwing lobby group Advance ‘is just awful to me’’

Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/3fNiSErkrM",1519510814948225025,GenevievePool12
"Seebohm seems to have no problem seeing this for the daft beat-up that it is. Surely the penny's dropped for most people, and this will just seem like hate-mongering. https://t.co/J0fT5DtsN4",1519477312319676416,JimRHoughton
Emily Seebohm 'horrified' after her photo is used on transphobic billboard https://t.co/YsuSqTiNnp,1519417744571215883,natty4bumpo
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/LFk8DKFEgz,1519409644674088961,TheCrowSays
"“It’s not a new thing, but it’s new in that sport, swimming, are going to have to deal with it,” McKeon said. 
@emma_mckeon I must have been dreaming when I was a transgender swimmer in 2001. Transgender swimmers are not a new thing Emma we here b4 you.

https://t.co/6dpeZYauyJ",1519361521251659776,KirstiMiller30
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/bNrtyiCYEr,1519293161796882432,Baron_Gotcha
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission | Australian election 2022 | The Guardian https://t.co/rOLcazEBNo,1519277486210756608,natty4bumpo
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/lCrd80eQIm,1519241737558175745,ausgrrl
Political advertising needs better management. Non-political ads are far more regulated for far less damaging content than this.  https://t.co/V3jddjA5gw,1519241717001900032,wheelyweb
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/NnFykvNKln #passingoff #personalityrights #defamation #copyright #auslaw #auspol,1519231940570021888,DrRimmer
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/xKsJv0MrVg,1519225784430661634,melaniedoak
"This is revolting for these arse hats to drag some of our female sporting icons into their pit of bile and hate.

Revolting, like they are.

https://t.co/JuaHmBJxJb",1519224919439011840,theoutlier2018
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/IpY3XvMcXQ,1519223617867116545,Denise242010781
"#Australia: Olympian, Emily Seebohm, condemns ‘horrific’ transphobic billboard that uses her image without permission 

https://t.co/2cFo7HO7hQ",1519223206619783170,BrendanCarton
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/JOzkb6mcXD,1519218227363995648,Treich1Angelika
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/5xgA8tOFMD,1519217786173927425,MelissaSweetDr
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/c82wp2q7b7,1519210848375304192,mogbrown
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/w3J5QRfpDr,1519210742595334147,opa1420
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/ZXiNA03KrR,1519203948648820737,BarryMcGregor6
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/XMGnoigdw2,1519200614269714432,SusieShivani
"😡”Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission. Both Fraser and Seebohm have publicly stated they are furious their photos have been associated with the campaign.”
More #LNP dirty work in Manly.😵‍💫👇👇👇
 https://t.co/2LVcy3E2rq",1519200505171390465,Guerilla_baby
"Emily Seebohm condemns 'horrific' transphobic billboard that uses h... (the Guardian)

The Olympic gold medallist Emily Seebohm has slammed rightwing lobby group Advance for using...

Add your highlights:
https://t.co/hIo5R9khEk
 #worldnews #news #i...",1519199777568608257,World_News_b
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/GyEj5sGrje,1519198158055948288,max_power50
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/USjz06E0rs,1519196051168980992,nobby15
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission #swimnews #swimming #swimmingpool https://t.co/pbGZLjxbQ8,1519195126458900482,WaterSportNews
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/zEGc1dDuKV,1519190141050437632,Reggaeh
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/IXhg8pVxdv,1519187472483176448,GdnAusSport
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/zeoHVC2zyj,1519185607594967040,StopVladdyDaddy
𝐆𝐔𝐀𝐑𝐃𝐈𝐀𝐍 World: Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/RGT7V2RQKC | https://t.co/ktp56BpxUR https://t.co/RWcganYBlH,1519185592998719488,RecentLatestVia
Emily Seebohm condemns ‘horrific’ transphobic billboard that uses her image without permission https://t.co/AW9qUElmEd,1519184311093989376,janecat60
"Grubs.

https://t.co/rcdtV5IA1a",1519172440626429952,Steve46061335
Emily Seebohm fires back over Advance Australian billboard campaign against transgender athletes https://t.co/b29l2u7ilq,1519148048089243649,NzuchiTimesUSA
Emily Seebohm fires back over Advance Australian billboard campaign against transgender athletes https://t.co/oo9Ergt0uW,1519148039021203458,wilsonjmashaka
Advance Australia using Emily Seebohm's image without permission suggests they don't actually care about women in sport and are just fascists playing footsie with eugenics.,1519140188597133312,AnthCondon
Swimmer Emily Seebohm describes the use of her image in a political attack ad on Zali Steggall by Advance Australia as 'awful'. Swimming Australia &amp; the Australian Olympic Committee threaten legal action for use of images without permission. #ausvotes  https://t.co/hv6lTBwWpX,1519132855158247429,Qldaah
Emily Seebohm fires back over Advance Australian billboard campaign against transgender athletes https://t.co/EDsSWjHOUH,1519120173910876160,NzuchiTimesUSA
Emily Seebohm fires back over Advance Australian billboard campaign against transgender athletes https://t.co/kRs6CnJbow,1519112627393282053,ThriftWallet
Emily Seebohm fires back at Advance Australian billboard campaign against transgender athletes https://t.co/wDD1XxKdZ2,1519109114844127234,whatsn2day
Emily Seebohm fires back at Advance Australian billboard campaign against transgender athletes https://t.co/AqxHkQQsAS,1519109102265421824,9_breaking_news
Emily Seebohm slams photo in transphobic Advance Australia billboard https://t.co/7b1tGo2wFy via @newscomauHQ How low do these campaigners have to sink? Leave these athletes alone once and for all.,1519093501275049984,JennyRo65223199
Emily Seebohm fires back over Advance Australian billboard campaign against transgender athletes https://t.co/j0Kf2AiTgl,1519092427503644677,Eumail_24
Emily Seebohm fires back over Advance Australian billboard campaign against transgender athletes https://t.co/XNl8fFVpVC,1519092419190530052,9_breaking_news
"Emily Seebohm's response to Advance Australia's anti trans advertising. 

“That is a statement that I’ve never said and I don’t suggest nor support that and ... the photo is just horrific! So the whole thing is just awful to me.”
#auspol https://t.co/x2731WNbvP",1519089878167736321,Notyourbabe89
Emily Seebohm fires back over Advance Australian billboard campaign against transgender athletes https://t.co/jYpYG15WwC,1519089326432292864,BerkleyBearNews
Emily Seebohm fires back over Advance Australian billboard campaign against transgender athletes https://t.co/Ryp1XT0wqn,1519088570958434304,worldnewstweet_
"""Advance Australia formed in 2018 in response to “woke politicians and elitist activist groups”.

""Woke"" means ""alert to justice in society,especially racism""

Transphobic billboard angers Emily Seebohm https://t.co/7BrPLYj9dV via @newscomauH",1519047836490670080,some_sense
"V
‘Horrific’: Photo that’s infuriated swimmer Emily Seebohm
======

https://t.co/uw9eAFKrse https://t.co/H7vofcWnPq",1519043003754721283,triantafyllidi2
"Transphobic billboard angers Emily Seebohm
https://t.co/e3OppLKMLO",1518970836849418242,BalkansTimesEu
Transphobic billboard angers Emily Seebohm https://t.co/TdibW03qt2,1518957393371086848,aw_journal2021
"“I have no idea who Advance Australia is..."" Ms Seebohm

“That is a statement that I’ve never said and I don’t suggest nor support that and...the photo is just horrific! So the whole thing is just awful to me.”

https://t.co/1TOlIElUaw",1518952308469809153,SimonBanksHB
Emily worked hard to achieve what she did. Trans Athletes should not be able to compete against women.  It is disrespectful and unfair.  It’s not transphobic. #theprojecttv should be making a stand and stop being so politically correct.   https://t.co/LaBNyxAM4J,1518882893107707905,Antoine13174528
"That was poor from Emily Seebohm on @theprojecttv tonight. The poster wasn’t calling her transphobic, it’s having a go at @zalisteggall for saying anyone who wants a female only category is transphobic. Emily does think males shouldn’t compete against females. Missed opportunity.",1518882886317129729,colwight
Emily Seebohm on tv trying to distance herself from terf branding and…failing,1518882105354514432,chrisopotamia
So Emily Seebohm does want to exclude trans people from sport - in a “trans only” competition. Ugh. #TheProjectTV,1518881592382746625,hollycreenaune
