full_text,tweet_id,screen_name
Jack Draper's win on clay capped unlikely British hat-trick along with Emma Raducanu and Dan Evans https://t.co/SNz7boSwLV,1520913860412289030,bouncenationke
"Exclusive: 'What he is doing is incredible' - Raducanu impressed by Alcaraz's journey: ""Emma Raducanu may have enjoyed her own fairytale 2021 which saw her battle through US Open qualifying to win the Grand Slam at Flushing Meadows in her debut season as… https://t.co/GXAO4KqGBt https://t.co/D9lvLT64f8",1520903079989694464,BetterknowYou
"Emma Raducanu wins - and drops only 3 games - and we barely get a peep from the press.

Guessing we will get the same reaction if she does not #MutuaMadridOpen",1520902539507646466,lmabeyofficial
"Li Na: ""Congratulations to Emma Raducanu for the Laureus Award"" https://t.co/zT6r3urCIo",1520902234585841667,itennis4
"Photos from Emma's win today at the @MutuaMadridOpen 🇪🇸🥘

#Raducanu | #EmmaRaducanu | #MMOPEN https://t.co/gtLmGU1FBL",1520899820973658112,RaducanuNews
"5/1/22 Recap:

Jil Teichmann ML (Tennis) ✅ 
Emma Raducanu ML (Tennis) ✅ 
Bobby Portis o13.5 Pts✅
Jaylen Brown o2.5 made 3's✅
Hol Rune/Van de Zandschulp o2.5 (Tennis) 🅿️
Jayson Tatum 1+ Block❌
Warriors -2 ❌

🚨FREE DISCORD link the bio🚨🚨

#GamblingTwiitter #DontMissOut",1520896548040810497,vanguard_bets
"Straight set win for the British sensational, @EmmaRaducanu https://t.co/gYZqnCsycI",1520883705866244099,RoundTalk
Emma Raducanu R2 Interview Madrid #MMOpen https://t.co/8XsBYeRLZF #EmmaRaducanu Discussing Drop Shot Addition,1520883673146478593,minxymartin
"If your name is Emma Raducanu, you have full permission to slide in my DMs 👀",1520883633074155522,NotClarky
Emma Raducanu vs Marta Kostyuk was on Tennis Channel. Coverage presented by Dani Klupenger. Prakash Amritraj is providing punditry.  For more details see https://t.co/YwrOyqcnOs #EmmaRaducanu #MartaKostyuk #TennisChannel,1520882352754462720,ICDb_tv
Miami Open: Emma Raducanu cruises past Marta Kostyuk after convincing performance - Sky Sports https://t.co/ziCEqH5tUI,1520877988715270144,Tennisfansclub1
INTERVIEW: Emma Raducanu; Madrid 2R Win https://t.co/JBIP1vkcTt,1520875679159619589,Zandile14770556
@Annabel_Croft hi Annabel I have just watched Raducanu’s match against Kostuvik. Emma played so well. Definitely more shades of US OPEN TENNIS. Addictive viewing. I wonder how far Emma can go she has nothing to lose amazing,1520873372795740161,klitz_justene
For all the bad stuff in the world I will be forever grateful to whoever invented Twitter because without it we wouldn't have that Michael Owen / Emma Raducanu thread which thankfully gets revived on a regular basis and is one of the funniest things ever. It's never not hilarious,1520871574454341637,ToryglenRangers
@markpetchey hi there mark I have just watched the replay of Raducanu’s match it was so good. Your commentary is fantastic the best. Emma is playing so well. Definitely shades of US OPEN. Emma is so good with her fans I love it,1520871257834676227,klitz_justene
"#MMOPEN R3: 🇪🇸💃

🇺🇦 Anhelina Kalinina vs. 
🇬🇧 (9) Emma Raducanu 

Who will win? 🤔🫣🧐🫡",1520868902250881024,wtaaddict
Emma Raducanu keeps Madrid Masters hopes alive by defeating fellow teen Marta Kostyuk https://t.co/2Y6gQzETFB,1520867360403562498,LeeMajella
Impressive Emma Raducanu Into Last 16 In Madrid | Tennis News https://t.co/ndJJjzwQiY,1520867352212086785,VirasthNews
Emma Raducanu hits the heights in straight-sets win over Marta Kostyuk https://t.co/EEmnpiYDnb,1520866777089122305,ViudaAlegre13
"I didn’t know Emma #Raducanu split from Torben Beltz. They’ve only worked together for 4 months — too bad it didn’t work out. Beltz is a good coach so someone will hire him soon. 

#MMOPEN",1520865278963466240,BeingKimmie
Emma Raducanu continues impressive form as she thrashes Marta Kostyuk in Madrid  https://t.co/lvv3NBX9rs,1520864556641251329,MrLim8888
Emma Raducanu has ‘nothing to lose’ as she continues clay-court education by thumping Marta Kostyuk in Madrid https://t.co/Q5iyOBXKax,1520863757014085634,CrimeNewshub
"What’s happening
Cricket
·
Yesterday
IPL 2022: MS Dhoni returns as CSK Captain🏏
Trending with #CSK𓃬
Entertainment · Trending
Drew Barrymore
3,526 Tweets
Sports · Trending
Emma Raducanu https://t.co/8dmcr8rN4d",1520863322937114625,MariaHarriet10
Impressive Emma Raducanu Into Last 16 In Madrid | Tennis News https://t.co/8bRKZGxydd,1520863103281508359,NelofarTach
