full_text,tweet_id,screen_name
Guy and his son at FYC event!  Love him! @dinersdriveinsnddives @guyfieri @televisionacad @ Emmys / Television Academy https://t.co/elOE0aeBP0,1520914067673780225,jjhollywoodtv
"they'll be getting their emmys again 
https://t.co/pgsoNwK0Cd",1520913761376288770,theecali
Still not sure if #GaslitSTARZ will turn out a great series.. but wow does Julia Roberts and Sean Penn put on a #masterclass in acting. 2 titans at the top of their game. #Emmys,1520912841267720200,RichardBudman
"#Ozark concludes in solid fashion. Might not necessarily be the ending a lot of us wanted to see, but ultimately still felt organic I think. Props to this entire cast &amp; crew for crafting a thrilling and memorable show. Linney &amp; Garner gunning for those Emmys 🔥🔥. https://t.co/iw0Bcv1wqy",1520909222111850498,willmovies
rooting for laura linney to win best actress at the emmys this year,1520907948595109888,daysmillcr
Alan Ruck deserves so many emmys for playing Connor Roy,1520905223220482053,gerrikillallmen
"Emerald Fennel terrorising the oscars and the emmys was not enough, she must come for the tonys as well https://t.co/v7h7Yd25m2",1520903831269548032,shriiiitt
LeVar Burton will receive a Lifetime Achievement Award at the new children's Emmys  https://t.co/ePpFOFMJ39 @BSancher @frat627 @setheli @MrWalkowicz @acuomo37 @ian_gagne @kcowell7 @Ms_Elise_Malone @Kathleen_Caprio @KaraGelormini,1520900257021894657,nat_vaughn
Lead Actress In A Limited Series Or TV Movie Emmys 2022 Predictions &amp; Contenders https://t.co/U5ReFnDvbC via @ThePlaylist,1520899973877018629,FdavisFrank
thinking of future me who is gonna have to deal with yellowjackets tlou and house of the dragon at the emmys next year,1520895041014837262,jaunasjorts
After Apple Tv+ won over Netflix with Coda at the Oscars this year. Both of the streaming services will go hand and hand at the Emmys AGAIN! https://t.co/OHeR1o5Vm4 https://t.co/w511WrIEIS,1520894862387822598,nayndreamynay81
So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @closet_emmys #poshmark #fashion #style #shopmycloset #maccosmetics #jeffreestar #milkmakeup: https://t.co/z8BpqZQSYH https://t.co/ZRjP1bmQ54,1520893108648497152,AnaLemper
