full_text,tweet_id,screen_name
enola holmes becoming my new comfort movie https://t.co/FGTh5I2lUz,1520910805251891201,iHeartSugaD
"Why doesn’t @netflix have any pay-for-content options? For casual browsers who might want to watch a season of The Witcher, or Enola Holmes? Or even for subscribers who want to watch a newly released movie??? 
Nah, just lay off employees.",1520884241596305414,jefffreak
"Ok, I finished watching Enola holmes and I really enjoyed it. Like I was off my devices except the TV and saw it all. Definitely worth a watch in my opinion.",1520870145689800708,ll0ydz5r0
I just watched Enola Holmes it was so british it was poggers,1520863934319927298,LordPotato_0192
"enola holmes got me in my longing feels, wishing i was a teenager again. never thought something could take me back to those dreadful days",1520860521033080837,kwyntessential
"The #Soundtrack for the #AppleTVPlus original series #SlowHorses is out. The music was composed by Daniel Pemberton (Birds of Prey, Enola Holmes, Ocean’s 8). Also included is a song by Mick Jagger. The show stars Gary Oldman, Kristin Scott Thomas, Olivia Cooke and Jonathan Pryce. https://t.co/oqJPRmAgLb",1520842158684745730,Thugut71
"Ppl might call it a young adult movie but...

""Politics doesn't interest you. Why?
Because you have no interest in changing a world that already suits you so well."" 

- Edith (Susan Wokoma) in Enola Holmes https://t.co/96788tzAeO",1520802007673872384,DBroodingBreed
enola holmes was a cute movie 🥺,1520797422900809729,_shailynnamber
That line from Enola Holmes these annoying bitches always use,1520791495485231104,exeqlwew
i remember having a huge louise partridge phase and now im rewatching enola holmes i think it's coming back😭,1520751058565312512,chumenique
"🔗 https://t.co/nWuLdDJ3u8 / #EnolaHolmes
When her mother left suddenly, without giving Enola clear instructions on what happened, it was hard for her to figure out how to navigate the world. Yet, she figured it out based on the training her mother provided throughout her ch…",1520665982989123585,ramyeonjpg
"For those who love listening to #BookReview #Audio #Podcasts over reading them...
 Book Review: Enola Holmes 
 
 on:  @spotifyindia",1520646705234026497,thinkerviews
"Enola holmes , the notebook, mean girl https://t.co/3u3g9tUvLP",1520645307012292608,coeurbleubeni
no one told me about enola holmes 2?!?!?,1520628618333892608,rbdhyh
has anyone here watched or read enola holmes i was OBSESSED with it omg,1520618675430170628,nelsonsnellie
Are there any books like Enola Holmes for adults? (Not that I don't read &amp; watch kidlit! Just sometimes I want adult fiction too!),1520606816861786112,melissa_marr
I just watched Enola Holmes and I think it was clever and at points directed very well.,1520548255192518659,frightfulHoblin
"Encanto, Disney Coco, Enola Holmes, When Marnie Was There, The Wind Rises, The Secret World of Arrietty, Spirited Away! https://t.co/mUadlGAfBP",1520526456811520000,herschelsfleu
ENOLA HOLMES IS SO GOOD,1520475489739374592,https913
"cite enola holmes ni agak bosan sebenarnya, but i'm looking forward to the love story between enola and tewkesbury!",1520474855182798849,jyKeding
i used only the three things i can reach for the enola holmes look and i'm proud of myself https://t.co/Af74OVb7Y1,1520412396078043136,lulslureyn
Does Enola Holmes 2 have a release date? 🤔,1520395712873312257,Katie_Murphy776
"Omgg what is time

Also, when’s enola holmes 2 gonna release plssss https://t.co/gLTmOS3VRK",1520389332288172032,nerarashi
"Cant wait for Enola Holmes 2 so i can watch it for the plot

The plot: https://t.co/VUJf3XWsE7",1520386440923955200,Aquasuperbat
"""perhaps it's the world needs changing""

Enola Holmes https://t.co/qkPdtyNvDi",1520318171252936704,_rhyeeraa
"For those who love listening to #BookReview #Audio #Podcasts over reading them...
  Book Review: Enola Holmes Mystery - The Case of the Missing Marquess | ThinkerViews  
  https://t.co/x1nYQHqhcm 
 
 on:  @AmazonMusicIN",1520284319096397824,thinkerviews
"""I wanted to miss you but I kept getting dragged back towards you""- Enola Holmes. 
Never thought I could relate to her...
even if it's not  the same context..I can now understand what you meant. #EnolaHolmes #infj #books",1520272614693818368,njkkr
watching enola holmes always makes me feel so inspired to actually do something with my life,1520232169662480384,enctgay
"you're being emotional. it's understandable, but unnecessary.
—enola holmes",1520221216401162240,catschacha
"Finding out the goss that Henry Cavil is into under age girls really makes.... The Witcher, Enola Holmes, ecta a bit eek for me",1520214099824578562,Sloth__Kween
Millie bobby brown in enola holmes looks like young keira knightley in pirates of the carribean 1,1520146015478861824,Kamiko_ow
"I just reviewed Enola Holmes: Mycroft's Dangerous Game by Story by: Nancy Springer, Written by: Mickey George. #EnolaHolmesMycroftsDangerousGame #NetGalley https://t.co/9KOyQIZvD7",1520115871884136455,SabrinaAccalai
"ENOLA HOLMES X ANCIENT ALIENS 
Locked up after her sister disappears, Emerald has only her cat for company until inventor Tock arrives. For her freedom, they must foil the Automatons plot to steal the secrets hidden in her blood. Farty Horror #WMPitch #MG #H",1520114931361796102,Butterfly_Hart
enola holmes watch thread,1520111489666863104,fearofbeings
mayhaps i shall watch enola holmes hmmm i do like the cast,1520105584451735552,fearofbeings
"GALLANT x ENOLA HOLMES

Haunted by the previous nanny's ghost, an 18-year-old Edwardian governess investigates her predecessor's unsolved murder. To save the little girl in her care—and herself—she must catch the killer, before she becomes the next ghost.

#WMPitch #YA #H #M",1520070414952771584,belindareinado
enola holmes 2 release will be hell because people will make it all about louis again,1520065778539802625,NORAOMALLLEY
