full_text,tweet_id,screen_name
This is the best music. Listen now Escape'02 - ������� �����=ENRIQUE IGLESIAS on https://t.co/WcL9J6qdja,1520915553975689220,Musicstradio20
Listen the best music. Now Could I have this kiss forever - Whitney Houston &amp; Enrique Iglesias on https://t.co/nzuGyJoJj4 https://t.co/gRr5TnOaRY,1520886323627933696,_Hits_music_
Oh I'd been wondering what Enrique Iglesias has been up to https://t.co/KuM5V9mVOl,1520881282623979520,Sevenofnot
rock pop dance classic hits now: Duele el Coraz�n - ENRIQUE IGLESIAS Feat. WISIN on https://t.co/euPh0ZZYk8,1520852656981516293,Musicstradio20
"Top Artist: Enrique Iglesias 
Top Album: Greatest Hits: Enrique Iglesias 
Top Track: Tears Dry On Their Own
Scrobbles: 283 https://t.co/RLo3KXlhxT",1520848422982541314,AllisonFinkler
The #music don't stop Tired Of Being Sorry - ENRIQUE IGLESIAS feat. NADIYA on https://t.co/WcL9J6qdja https://t.co/TtakZtQrDf,1520843552997187586,Musicstradio20
Cleaning today &amp; listening to Enrique Iglesias CD Escape. What are you listening to?,1520837297117310977,ClesterRebecca
"Now playing 🎵Enrique Iglesias feat. Farruko - Me Pase 14.01.22
Listen here: https://t.co/lTNBlEsX5O 🏆NO.1 RADIO STATION 🚫NO COMERCIAL BREAKS 🔀 24hr NO REPEATING SONGS",1520822397267546112,dfmliveradio
En ce moment sur vinyleradio Enrique Iglesias - I Like It' https://t.co/aGq2SkqdHE,1520817052994445315,vinyleradio
"Now playing Enrique Iglesias, Myke Towers - Te Fuiste.mp3 by  #like #oyentes #emisoras #o #retroradio #diversion #radios #periodismo #envivo #f #dise #entrevista #barinas #laquemanda #tendencia #operadores #rap #xtremeradiopty #comunicacion #radioenvivo #mix #tbt #tv #llano #r...",1520806039247106049,el_palabreo
"I wouldn't change anything. I've made mistakes, but thanks to those mistakes, I've learned.
-Enrique Iglesias
ⓈⒾⒹ 🄱🄳
 MUNAWAR FOR THE WIN
Start using....
 #LockuppKhurafatiMunawar",1520793597808762881,Mr_Dewan_BD
"Whitney Houston with Enrique Iglesias - Could I Have This Kiss Forever (... https://t.co/To3Z7yr7t6 via @YouTube 
As we have an expiration date it is wise to give more love than hate. # Protect yourself.🙏👌🌟👌🙏.🫦",1520777478968692737,YECHOBETH
"Enrique Iglesias, Nicole Scherzinger - Heartbeat (LIVE HD) https://t.co/ZayTi2UFFb via @YouTube",1520774903946825729,podworzynski
"Don't You Need Somebody (feat. Enrique Iglesias, R. City, Serayah &amp; Shaggy) - RedOne",1520772971534733314,cVraiRadio
"En el aire: ENRIQUE IGLESIAS - I Like How It Feels [Feat. Pitbull], la escuchas en: https://t.co/7UW3Kraq8S",1520734377956847616,TopLatinoRadio
"Kristen Bell vs Enrique Iglesias, who would win in a fight?",1520725796758822912,abfkjabd
Enrique Iglesias Feat. Kelis - Not In Love,1520681817623441410,megaradiouk
"i’m at work and i just remembered how 2 years ago, when i started working here, we used to play enrique iglesias cd, where one song goes “you’re the only reason i’m trying” i wanted to end the job and the only reason i stayed here was that i needed money for 5sos tickets",1520680237666820097,louisissunn
I'm listening to Bailamos by Enrique Iglesias on Cheesy FM with the Radioplayer mobile app. @cheesyfmuk 😁👍🏻🧀 https://t.co/DaN9VBG46p https://t.co/hUM9omHq9w,1520678987151912961,kipper196988
Enrique Iglesias - El Perdedor (Pop) ft. Marco Antonio Solís https://t.co/xZEewSepkM via @YouTube Thinking about the future. Action plan in order for all my 3 cut and closure will be very happy.,1520671614463057920,daomuendorn
Bro I hate that I was in middle school when “I like it” by Enrique Iglesias came out. I bet that shit got the club going crazy!,1520669774245736448,LoganThornton28
"En el aire: ENRIQUE IGLESIAS - I Like How It Feels [Feat. Pitbull], la escuchas en: https://t.co/7UW3Kraq8S",1520661784969027584,TopLatinoRadio
hiphop reggaeton soul RnB music np Can You Hear Me - ENRIQUE IGLESIAS on https://t.co/Wg3ueOYXGF https://t.co/EeIeCN4JfK,1520647247406551040,POPXXICENTURY
I pulled up on someone with this lil bitch bumpin on my shoulder playing Hero by Enrique Iglesias I guess you could say I’m the romantic type https://t.co/iW8rqpLSXZ,1520642242725040129,lost_lonely_
Now Playing: 'HERO' by 'ENRIQUE IGLESIAS',1520628026106593281,3FMradiomusic
enrique iglesias hits so diff when your heart b hurtin,1520624116231024640,gxbynavarro
"Sometimes when I listen to Enrique Iglesias’ songs (the newer stuff), I feel the need to smoke a cigarette and I don’t even smoke…gracias Enrique for always making things hot up in here.",1520623085564534785,BritneyTreece1
"Now Playing on 234Radio, Enrique Iglesias - Hero.

Listen live on https://t.co/CtrpndTCI7

Download 234Radio mobile app on iOS and Android.",1520618064638844940,my234Radio
