full_text,tweet_id,screen_name
"Team USA, Team Toyota’s Erin Jackson Wins First Olympic Gold Medal at Olympic Winter Games https://t.co/mvA49VjKXv https://t.co/BxHGOG6tgq",1520864081338503168,JohnPay91891171
"Team USA, Team Toyota’s Erin Jackson Wins First Olympic Gold Medal at Olympic Winter Games https://t.co/8SqPA8mGG9 https://t.co/lu5W6R5oZS",1520864071549038592,JohnPay91891171
"Team USA, Team Toyota’s Erin Jackson Wins First Olympic Gold Medal at Olympic Winter Games https://t.co/4XovNf3mF8 https://t.co/KEYrqivXXG",1520864062493495297,JohnPay91891171
"Team USA, Team Toyota’s Erin Jackson Wins First Olympic Gold Medal at Olympic Winter Games https://t.co/4K3gCLZffh https://t.co/W6T6yx5Bdk",1520864052792111104,JohnPay91891171
"Team USA, Team Toyota’s Erin Jackson Wins First Olympic Gold Medal at Olympic Winter Games https://t.co/iYdbJRtVlo https://t.co/upk2sdQgw7",1520864045154271233,JohnPay91891171
"Erin Madlangbayan Diaz of Mangilao graduated from U.S. Army basic combat training at Fort Jackson, S.C., on April 28. https://t.co/Xy1hcDyrPu",1520827914928934912,PostGuam
"Erin Jackson, first Black woman to win speed skating gold at the Winter Olympics, discusses her historic win in the 500m race.",1520741951796039682,WilliamMfalme
"Team USA, Team Toyota’s Erin Jackson Wins First Olympic Gold Medal at Olympic Winter Games https://t.co/CyzTTGpLNc https://t.co/M873dXLtWV",1520620444298006528,MassiveNelly
"Team USA, Team Toyota’s Erin Jackson Wins First Olympic Gold Medal at Olympic Winter Games https://t.co/TcMlqUinpW https://t.co/Ce6ikp2BPy",1520620426707103744,MassiveNelly
"Team USA, Team Toyota’s Erin Jackson Wins First Olympic Gold Medal at Olympic Winter Games https://t.co/tkpayKvsNF https://t.co/OO9ZHjkUW1",1520620409061724161,MassiveNelly
"Team USA, Team Toyota’s Erin Jackson Wins First Olympic Gold Medal at Olympic Winter Games https://t.co/hcPSWEMDVt https://t.co/6IyBIOuq4V",1520620393463230464,MassiveNelly
"Team USA, Team Toyota’s Erin Jackson Wins First Olympic Gold Medal at Olympic Winter Games https://t.co/FtNzBUwKC7 https://t.co/6r5nklVoqO",1520620376086048768,MassiveNelly
"Congrats to Erin Johnson, Kimbriel Winfield, Keegan Jackson and Kerrigan Jackson for winning the 4x100 relay and the 4x200 relay!! The girls also set a new school record in the 4x100 of 50.85!!

@johnvarlas @memphispreps",1520412056733859840,Gryphnation
"Here were some of the top Evansville area athletes on Friday

Erin Hoehn (North Posey)
Blake Meade (Vincennes)
Jackson Mitchell (Castle)
Clayton Weisheit (Forest Park)
https://t.co/M3bolCDXGN",1520410142398828544,courierthescore
