full_text,tweet_id,screen_name
Throw eteri tutberidze to jail for a life sentence fr https://t.co/nnkX24Q8vP,1519911317297053697,k82zamo
eteri georgievna tutberidze I will fuckin murder u https://t.co/7KCNTsyxeV,1519699773699223553,morgischoreo
Eteri Tutberidze CAN GO to the United States ● Figure Skating 2022 https://t.co/Nz3e6xhyZw via @YouTube,1519699641276715008,u1h64XIpg9Ml9Hp
therapy isn’t enough I need to k!ll eteri tutberidze,1519688418959269889,themaninglass
"this is "" Eteri Tutberidze moral compass has finally pointing the right way"" level of fuck up https://t.co/4uQPziYhWE",1519256852638613505,ContessaVitali
i feel like eteri tutberidze absolutely loves maiia,1519236564857012224,yourlittldevil
Eteri Tutberidze can be anti-war *and* abuse teenage skaters. Just like teenage skaters can be pro-war *and* victims of child abuse. People are many things.,1519067938682114048,thisoneiserin
"Rumor has it, Eteri Tutberidze demanded to remove banners with ""Z"" symbol from the facade of the building during the ice show ""Champions on Ice"". 

#figureskating #iceskating #figureskate #iceskate",1519031976883335171,fs_gossips
please stop woobifying eteri tutberidze. just bc she is just protecting her own international interests by being somewhat anti-war doesn't erase the fact that she's THE EMPRESS OF A CHILD ABUSE EMPIRE come the fuck on.,1518956651344244736,kostornaiya
"Eteri Tutberidze - Show ""Champions on Ice"" ● Figure Skating 2022 https://t.co/dhHWf2U20Y via @YouTube",1518940318351114245,u1h64XIpg9Ml9Hp
