full_text,tweet_id,screen_name
Well we’ve gotten Minnesota series Eugenio Suarez this road trip. That’s a bummer,1520855662112116736,controlthezone
"Eugenio Suarez grounds into a double play. No runs for the @Mariners.

Mariners 5 - 1 @Marlins as we head to the bottom of the 7th.

#SeaUsRise #MakeItMiami #SeattleMariners #MiamiMarlins #Baseball #MLB #MarinersBaseball",1520855535708344320,CirclingSports
eugenio suarez with the Adam Lind Special right there,1520855452862623745,OnlineJosh_
2022 TOPPS ARCHIVES SIGNATURE E #sportscards https://t.co/IoxjitKRq3,1520852131217129473,cardwatch123
"Longest HR’s hit by #Mariners this season:

Julio Rodriguez (450 ft)
Tom Murphy (423)
Abraham Toro (420)
Ty France (417)
JP Crawford (417)
Eugenio Suarez (415)

Julio’s HR would have been the 2nd longest HR by an M’s hitter in 2021. Jake Bauers (!!) hit a 460 ft dinger last Sept.",1520849579784097792,luke_arkins
"this is what getting rid of sonny gray, eugenio suarez, nick castellanos, and jessie winker looks like https://t.co/5I9jlDGLFR",1520828949936459776,AmenTheProducer
"So to Jake Fraley, Justin Dunn, Brandon Williamson &amp; Connor Phillips best of luck! I hope you guys become the best players YOU can be, and our fans can stop making you live in the shadows of  Jesse Winker and Eugenio Suárez.",1520809863240105984,WhoDey2112
"#Mariners Lineup 05/01/22

1. Adam Frazier 2B
2. Ty France 1B
3. Jesse Winker LF
4. Eugenio Suarez 3B
5. J.P. Crawford SS
6. Abraham Toro DH
7. Julio Rodriguez CF
8. Jarred Kelenic RF
9. Tom Murphy C

Starting Pitcher : Logan Gilbert",1520774719863107585,DailyMLBLineup
"5/1 Seattle Mariners Lineup:

1 2B Adam Frazier
2 1B Ty France
3 LF Jesse Winker
4 3B Eugenio Suarez
5 SS J.P. Crawford
6 DH Abraham Toro
7 CF Julio Rodriguez
8 RF Jarred Kelenic
9 C Tom Murphy

 SP:Logan Gilbert #SeaUsRise  #MLB",1520774625256476674,GSMLBPicks
"Seattle Mariners lineup:
1. Adam Frazier (L) 2B
2. Ty France (R) 1B
3. Jesse Winker (L) LF
4. Eugenio Suarez (R) 3B
5. J.P. Crawford (L) SS
6. Abraham Toro (S) DH
7. Julio Rodriguez (R) CF
8. Jarred Kelenic (L) RF
9. Tom Murphy (R) C
https://t.co/Y3W1k9vpkY",1520773245296951298,AwesemoMLB
"Most games with 0 hits and 3+ strikeouts, Reds in live-ball era:
Jay Bruce   49
Adam Dunn   43
Eugenio Suarez   39
Joey Votto   35  (incl Sat)
Tony Perez   34
Reggie Sanders   31",1520616284618117121,dakern74
Eugenio Suarez strikes out looking. Two outs,1520566768980348935,Hector_Baseball
"Eugenio Suarez vs Jesus Luzardo
#SeaUsRise

Flyout 💢

Exit velo: 103.4 mph
Launch angle: 38 deg
Proj. distance: 378 ft

This would have been a home run at Wrigley Field and nowhere else

SEA (1) @ MIA (0)
🔺 4th https://t.co/PNxZJ8a5Aj",1520544024456663040,would_it_dong
"Eugenio Suarez off LHP Jesus Luzardo - 103.4 mph, 38 degrees (378 ft Flyout, .420 xBA)
84.3 mph Curveball
#Mariners @ #Marlins (T4)",1520539574170275846,MLBBarrelAlert
Eugenio Suarez walks. Winker advances to second,1520527541353816064,Hector_Baseball
"Seattle Mariners lineup:
1. Abraham Toro (S) 2B
2. Ty France (R) 1B
3. Jesse Winker (L) LF
4. Eugenio Suarez (R) 3B
5. J.P. Crawford (L) SS
6. Luis Torrens (R) DH
7. Tom Murphy (R) C
8. Julio Rodriguez (R) CF
9. Dylan Moore (R) RF
https://t.co/Y3W1k9vpkY",1520488235998363648,AwesemoMLB
"#Mariners Lineup 04/30/22

1. Abraham Toro 2B
2. Ty France 1B
3. Jesse Winker LF
4. Eugenio Suarez 3B
5. J.P. Crawford SS
6. Luis Torrens DH
7. Tom Murphy C
8. Julio Rodriguez CF
9. Dylan Moore RF

Starting Pitcher : Robbie Ray",1520482852294471680,DailyMLBLineup
"4/30 Seattle Mariners Lineup:

1 2B Abraham Toro
2 1B Ty France
3 LF Jesse Winker
4 3B Eugenio Suarez
5 SS J.P. Crawford
6 DH Luis Torrens
7 C Tom Murphy
8 CF Julio Rodriguez
9 RF Dylan Moore

 SP:Robbie Ray #SeaUsRise  #MLB",1520481730871889921,GSMLBPicks
"Imagine Tommy Pham with Jesse Winker, Nick Castellanos and Eugenio Suarez😳 @reds make this happen!!",1520246329955745792,theharris32
"tucker has the third-highest fly ball rate in baseball behind mike trout and omar narváez. 

alex bregman is #7 on the list.

other players in the top 10:

mookie betts, byron buxton, joey gallo, miguel sanó, eugenio suárez and patrick wisdom.

it’s good to lift the ball. https://t.co/nJxlUbWJFk",1520214712528551936,Dan_Martin4
