full_text,tweet_id,screen_name
"Co-incidentally. Leave em in a morgue on a table. 😎

She wrote these stories for me. Talking to Gabrielle Union, Eva Longoria, Angelina Jolie. 🤔 https://t.co/KMoR7iaprV",1520914065626959872,aegyptiangod
"there will never be another show like it between the suicide, murder, airplane crash, mafia, tornado, grocery store shooting, mid-show run time jump, mystery, sex, slavery, scandal, eva longoria having an affair with high school john tucker must die, itll never be topped https://t.co/xGy31wDeC1",1520907332334587904,ayyytommylmao
1212 eva longoria marry me please,1520888987484925955,wickvdesires
Eva Longoria killed this look https://t.co/kYBGTh2oxg,1520799272752455681,BellaNoirdoll
Projected his intentions on Eva Longoria and Becky G. Thinking he fooled me. Making him feel real powerful. Like when they killed Pac and big. When they sold their souls...  I see. 😇,1520726398784229377,aegyptiangod
"Its unreal to me that in less than a year of graduating community college, i’ve worked with Robbert Downey Jr, Matt Damon, Cillian Murphy, Josh Brolin, John Cena, Will Forte, Elodie Young, Adan Canto, Florence Pugh, Clint Eastwood and Eva Longoria to name a few. GODS PLAN 🙌🏾",1520636698685673472,thejourneym1
"✅®️™️🇺🇲®️™️🇺🇲🌎®️™️April 30+2020®️🇺🇲🌎®️Jencarlos &amp; NO
Eva Longoria &amp; NO Paris Hilton Brother &amp; NO Fox NO®️®️™️🇺🇲®️™️🇺🇲🌎®️™️Don Omar NO &amp; Some &amp; You Forget FORGET FORGOT The Names &amp; Tell You Later®️🇺🇲🌎®️PRIVATE PRIVATE PERSON PRIVATE PERSONAL Ordinary®️™️Ordinary®️™️OR WSkye®️ https://t.co/GEbZnWgqBy",1520602351584768002,SKYEWCALIFORNIA
8nuu763 she’s harrasing me that’s the kourtney Eva Longoria or whatever freaking human canival alien stop harrasing me https://t.co/R5xNHxsuK9,1520596488870514688,DarlingSodaPop
"Boss Beauties, an NFT collection of “beautifully diverse, empowered women” 
has deals with Barbie and Neiman Marcus. Eva Longoria bought two NFTs.",1520596368514899968,xiaomai76409159
tony Parker does not need a doc on Netflix after breaking Eva longoria’s heart,1520574783716564994,nascarfr3ak
Not Eva Longoria being a producer on John Wick…,1520509731755937792,w19sby
Eva Longoria was the Director of #blackish https://t.co/OENSKDwut4,1520497712520699905,_IamCoachBrian
Eva Longoria Offers Wisdom &amp; Style in Thong Sandals With Rhinestones – Footwear News... https://t.co/etcRrPBUKW #fashion https://t.co/2HKNM0iXle,1520459636096253953,omnitee_designs
Wanna feel old? Eva Longoria is turning 323 today,1520411086230413314,wanna_feel_old
Eva Longoria and Gwyneth Paltrow Enter the NFT Space https://t.co/IGwgYURgHP,1520373491765194752,nazmulmarketer1
"“Baking is too precise for me. I cook with a pinch of this or that” - Eva Longoria

This copy of #BreadsongBook is waiting at Kitty and Al’s ACTUAL BAKERY in Oxfordshire!

#ibelieveinbookfairies #bakery #TBFBreadsong https://t.co/h9NLDb11Ku",1520345153805893632,the_bookfairies
We put Eva Longoria's pet sheep (who works as an wizard) and their tooth pick in a salal berry and now they are feeling childish,1520336303853740033,purpsbear
"The Global Gift Gala will again host a star-studded evening including performances and a live auction, this time against the French backdrop of Cannes. Find out more here: https://t.co/rWeNyEXYfD

#globalgiftgala #abudhabi #latestnews #event #liveauction #ukraine #cannes",1520304497683222530,itpliveme
Eva Longoria Reveals That She Doesn't Celebrate Christmas - FIND OUT WHY! https://t.co/iNeOyEnYkA #Christmas #EvaLongoria #Holidays https://t.co/AnOMKQszYf,1520263576358957056,AaronRFernandes
I sincerely doubt they'd have served this dry cheesesteak to Eva Longoria. Would a caring God allow this?,1520248323298394112,thisbadsandwich
EVA LONGORIA for Tony. Have a great weekend . https://t.co/fHZiqUFUsN,1520214795672330241,Kevin10919728
@Kevin10919728 happy weekend! How about Eva Longoria,1520213030017114113,Ynot_t
#latestnews Eva Longoria slooks stunning in a strapless white dress - https://t.co/5yzayE3Z56 (POST_EXCERPT} https://t.co/Gz8hbfP7NC,1520154934360129538,ClickySound
"As I've been watching ""Star Trek: Picard"", I've been wondering: 'why haven't I seen Eva Longoria yet? I swear I saw her in the credits'. 🤦‍♀️

Evan Evagora.  The actor is Evan Evagora, Nikki. https://t.co/JnWtamJ7rE",1520152403772948488,SHENSATIONAL
Not Eva Longoria reposting the TikTok of me CRYING 😂,1520104028843102208,JolieJanet
@LOrealParisUSA found this on Facebook/clip of Eva Longoria ad for @LOrealParisUSA used falsely? https://t.co/b8DLodNgse,1520058274187341824,Iamrhys3
"You bitches think if Hale Berry, Eva Longoria during the Desperate Housewives days and J Lo can all be cheated on; and you can't? Lol",1520040874494758912,JamesJet19
