full_text,tweet_id,screen_name
"“There's just too much that time cannot erase” 
#Evanescence 💙💙’ https://t.co/F59UkTJ1bH",1520914625067421696,itsh0x
rock fest’s lineup this year seems kinda lame plus i’ve already seen evanescence.,1520912455282708482,lordoftitty
"""Not gonna let this day go by
I'm gonna save this wasted life 
And nothing can stand in my way""

#SongLyrics #Evanescence #EraseThis #AlternativeMetal",1520909756894167040,BretteFtzgibbon
the thing about me is i can go from the smiths to paris hilton to grimes to taylor swift to my chemical romance to blackpink to eminem to evanescence to phoebe bridgers,1520908722587029504,hanniaaq
Evanescence - My Immortal (Live MULTICAMARA) https://t.co/qlgJ5Fkhxu via @YouTube,1520908164178272259,NAMORAYroman
"meu top álbuns (sim, aleatório):

Avril Lavigne - Under my skin
Evanescence - Fallen
Linkin Park - Meteora
Paramore - Brand new eyes
Queen - Greatest hits II
Madonna - Confessions on a dance floor
Maroon 5 - Overexposed 
Slipknot - Vol. 3: the subliminal verses
RHCP - By the way",1520908054862172162,_lzmdl
"June 2018, Cologne, cloudy 

I was listening to Evanescence, letting the bus and U-Bahn drive me to Innerer Grüngürtel. He was wearing my favorite white shirt when I spotted him. 
While we were walking along the Rhine, he told me: Du bist noch jung.",1520904522826084352,KoelnH
O dia q vi M. shadows cantando bring me to life do evanescence,1520904274078797825,ScorpAraujo
Bring me back to life- Evanescence https://t.co/QbnmWJUc9D,1520903785618583553,Chrislegend_35
Evanescence - Bring Me To Life (Official Music Video) https://t.co/XW0J4bHBeE via @YouTube,1520897525808566272,TateOrion
"ฮืออออออ 😭
Evanescence - Bring Me To Life https://t.co/U76tsrc0Ju ผ่าน @YouTube",1520895817711726592,eeuunnkkll
"แงงงๆๆ นักเสียงเจ๊เอมี่ 
Evanescence - Call Me When You're Sober (Official Music Video) https://t.co/tJGXeAiFzH ผ่าน @YouTube",1520893383601917953,eeuunnkkll
Evanescence https://t.co/j59SY6d4nD,1520892238439407616,bonnie_park3r
Bring Me To Life | Evanescence | Fallen,1520891913750130691,WZIGfm
Gonna listen to Thw Charismatic Voice doing Evanescence and I’m gonna levitate,1520889853772275714,cabanasgirl
evanescence https://t.co/A1XmU1vgqY,1520887239131160577,__cora____
"Frozen inside without your touch, without your love, darling~ Only you are the life among the dead~ | Evanescence - Bring Me to Life",1520885608415375360,VocalyricsOst
From last night.  Definitely one of the best songs on Ev3.  🎹🤘❤️ @evanescence @AmyLeeEV @JenMajura @Tim_McCord @WillFnHunt @Troy__McLawhorn https://t.co/oVWs2ZAiXh,1520884558908071936,fcpadgett3
"aaghhh this song means the world to me - this honest to God is the reason I started music. Broke me down, built me up &amp; up until today is one of the most beautiful raw and honest songs there is to find !! @theevcommunity @evanescence @EvaWebsite 
@AmyLeeEV https://t.co/j9dbHUCQ15",1520883740259586050,Metjoeww
there’s something really nice about listening to evanescence while playing DBD 😂,1520883723893297152,mpeeps_
"Good bye my love (Ailee), Don't say good bye (Davishi) y en su momento Missing de Evanescence https://t.co/HEHOrC3fNN",1520882917030830080,Nat_Chirlito
Evanescence - My Immortal (Official Music Video) https://t.co/1y1fsHY759 via @YouTube,1520882406965882885,DJHammmick
"Listen to ‘My Immortal’ by Evanescence, it’s how I feel @emie720",1520881373447438347,Devlin37631753
"To hype our next episode dropping on Tuesday: Day Six of @Evanescence fun facts!

The band’s big debut was not on their first album, but on the soundtrack to 2003’s “Daredevil,” starring Ben Affleck and Jennifer Garner! #HardRock #Evanescence #HeavyMetal https://t.co/Yfzbvh1gQZ",1520880517662400515,SophisticatePod
Bring Me to Life (Evanescence); Cover by The Iron Cross https://t.co/eMvXhEplvD via @YouTube 1,1520875077079912448,faronhall1
"BEST LYRICS FROM SINGLES/EPS

#19 | This evanescence always fleeting like a flame (COMPLETE MESS) [133 votes, 45.4%] https://t.co/SDOC8MUT29",1520873709157986304,ranked5sos
"Sunday drawing. #evanescence #halestorm #amylee #lzzyhale done in Procreate. Need new things to draw, send some suggestions. :) https://t.co/HOxLf7XKL2",1520872690223095809,Suleidys
Evanescence Medley (Cover) by honeymoon-1611 https://t.co/uqnnS3OBaJ #HIVE #crypto #music,1520871294698500096,music_hive
these are the only cds i have in my car aside from the evanescence mixtape i burned onto a disc a few years ago https://t.co/eCbraTzfnj,1520867744970911747,vivivindicator
Evanescence- bring me to life,1520867284142673921,LorranAlvesss
Play Evanescence fuckers!!!!,1520865553992273921,equiposwagg
Shuffle just served me up Evanescence ‘Lost In Paradise’ and Celine ‘Ashes’ as I walked home in the rain. Safe to say I’m now a complete wreck 😭,1520863906792714240,peterg153
In 5 weeks today @evanescence will be playing in Athens!! 🇬🇷,1520850008458813441,EternalRemorse
My Immortal - Evanescence - https://t.co/Ez41LRD7r0 https://t.co/29S2xFNXeU,1520849121875214338,lalivettu
"Evanescence performing Imaginary live at Rock Am Ring, 2004.
#Evanescence #AmyLee https://t.co/UpripfsPeJ",1520848951926304769,Daily_Ev
#NowPlaying #Evanescence -  The Change https://t.co/GeC2fosH6Q,1520845519328845827,MetalvoiceRadio
"A local classic rock station played Linkin Park and Evanescence today and I would like to unalive myself, tbh.",1520842404584116226,NotJohnDenver
rock pop dance latino music 24/7 np #chr2 BRING ME TO LIFE - EVANESCENCE on https://t.co/CPIMBvk3qx https://t.co/dKurvOuJ96,1520840600395911168,classichitradio
why Evanescence came on and my friend said “what in the name of twilight is this” 😭🥲,1520838094169251840,TheMonse_
Listen now MY IMMORTAL - EVANESCENCE on https://t.co/EVPHltYmIi https://t.co/5VUCRTAZ7W,1520829461003968514,_Top_Radio
"June 2018, Cologne, cloudy 

I was listening to Evanescence, letting the bus and U-Bahn drive me to Deutzer Brücke. He was looking around when I spotted him. 
While we were walking along the Rhine, he told me: Wollen wir nach Hause?",1520828994987323393,KoelnH
vampires love evanescence!,1520826992555347970,darkrcmantics
"so MCR AND evanescence played donkey konga, anyone else I'm missing?",1520824842899050497,AABatteryPack
"my immortal is a top tier pop ballad, those of you who weren't evanescence girlies simply don't get it, tasteless, classless",1520821167455670278,sojgly
playing  evanescence in  this thrift......  maybe i should  look  ONE more tiem,1520819942211391492,fairyyrot
"Surprised I can still talk today after singing karaoke at the top of my lungs, including MCR, Evanescence, Olivia Rodrigo, shriek classics. 😱",1520818550268518400,Electrahurt
Bring Me to Life (Evanescence); Cover by The Iron Cross https://t.co/eMvXhEplvD via @YouTube,1520818187587235841,faronhall1
"My Top 4 list of women in the music industry that I relate to

1- Amy Lee of #Evanescence 
2- Sharon Den Adel of #WithinTemptation 
3- Cristina Scabbia of #LacunaCoil
4- Lana Del Rey https://t.co/OP9qwaPpPP",1520814959088656384,MustafaOfGotham
My immortal - Evanescence https://t.co/ox7V6IHNDg,1520808702923743233,lampsy008
"My 6 favorite singers 🥰

#withintemptation #tarja #leagueofligths #moonsun #evanescence #elliberlin https://t.co/2MGXJfySys",1520802176838385675,TheSoundOfMyHe2
#amylee (evanescence) https://t.co/6fMAuEZJNi,1520800630859874304,enz1946
Evanescence - Bring Me To Life (DareDevil) https://t.co/MuhZD3Qyh4 #FreedomMarvelRP,1520799115290222593,FreedomMarvelRP
wait evanescence this time,1520798656361902080,hyvnjnlver
One more thing! I would love so song suggestions for covers! I'm already thinking of Evanescence as a few but what else do you want to hear from me? Anything new? Something different you want to hear from me? I'm wanting to broaden my horizons in singing. It's my biggest passion.,1520798059537465345,TDaughn
"#Music
Evanescence-Bring Me To Life lyrics https://t.co/PMvfkRUcmK via @YouTube",1520795437724311555,theunfo69529513
Idk if I should build Evanescence on Dash n Slash (which I have only the layout done half).,1520794454646562817,CodeXNate
"Why does this newspaper crossword for boomers have ""American band"", answer: Evanescence https://t.co/US1yJiQhlT",1520793767162396672,Boxy_FT
Evanescence - My Immortal (Official Music Video) https://t.co/Y0dhiPtN16 via @YouTube,1520790082013343745,Resident_Alien_
evanescence if they slayed https://t.co/4sVi0Qh0bg,1520784583490424832,stjgmata
Evanescence - My Immortal (Official Music Video) https://t.co/TltSewxkpr via @YouTube https://t.co/SyjKIxpFS3,1520783576194682880,JulieParker144
Evanescence - Bring Me To Life (Official Music Video) https://t.co/eFJjLhMDVj via @YouTube https://t.co/8gnnvkw5QZ,1520783211864879104,JulieParker144
"Limpando meus ouvidos, ouvindo o bom e velho 🎸🤘 

● Evanescence tds kkkkk
● AC/DC - Back in Back, Highway to hell. 

● Kiss - I Was Made for Lovin'you
● Metallica - Northing Else Matters, The Unforgiven.

● Seether - Broken.
●Audioslave - Like a Stone. 

#rock https://t.co/VZYvykBSgE",1520783206664089601,Wennya_SPORT87
"Absolutely misery business, and either haunted, my immortal, imaginary, or bring me back to life by evanescence https://t.co/B51l3rqkWA",1520780348405207041,hvtmessxpress
"Frozen inside without your touch, without your love, darling~ Only you are the life among the dead~ | Evanescence - Bring Me to Life",1520779926684590081,VocalyricsOst
had a dream i bought tickets to see Evanescence and Korn and it felt so real,1520776443147563011,1sickpuppie
#NowPlaying in the Treehouse : Across The Universe by @Evanescence ... listen via #TuneIn on your smart phone or smart speaker #THRadio,1520773828586229760,treehouse_radio
Music now CALL ME WHEN YOU'RE SOBER - EVANESCENCE on https://t.co/EVPHltYmIi https://t.co/usGLRrIXUL,1520771076439085058,_Top_Radio
Evanescence - Going Under is playing on our station. ID: 1651412642,1520760964370604032,NGRadioShow
Evanescence - My Immortal  #nowplaying #radiostation #listenlive #goodmusic #80s #newhits #eradiosa #gardenroute #Knysna #George #Mosselbay #CapeTown #southafrica #westerncape - Tune in: https://t.co/yaayRJxmoU,1520743264915234817,eradio_sa
"“never was and never will be, you don't know how you've betrayed me, and somehow you've got everybody fooled” - Evanescence",1520741786989211649,allmusiclyrics7
"Greeen ×2 : ✅
Against the Current: ✅ 
Beartooth: ✅
I Prevail: ✅
Electric Callboy: ✅ 
Architects: ✅
Within Temptation ✅
Evanescence:  ✅
BMTH ✅
A day to remember: ✅
The Amity Affliction: ✅
Fever 333: ❌
Halflives: ❌
Bad Omens: ❌
Falling in Reverse: ❌
Skillet : ❌",1520738212234375168,skaikrusgirl
Evanescence – Secret Door (Official Audio) https://t.co/EmBVUGXrxb,1520734812163637249,medicinehelp
"@LZZYHALE @AmyLeeEV @Halestorm @TheJoeStorm @AREJAYHALE @evanescence 

Mz Hale &amp; Lee

I must keep tweeting u to get ur attention, I’m chronically ill &amp; #domesticviolence is the core of it. I’m in danger, local authorities WONT protect me

Please help

https://t.co/bDnyiY9K8j

~JP https://t.co/OrFGqnW4dh",1520730819798650880,chanellpowerrn
This song #MyImmortal @Evanescence. You listen to it and you beat me more with it. Because agawawa. The soulness in it is indescribable.,1520726288436236289,TNakanwag
"En el aire: EVANESCENCE - Everybody's Fool, la escuchas en: https://t.co/7UW3Kraq8S",1520717458260254721,TopLatinoRadio
Evanescence https://t.co/ewk6GsIP1j,1520714557559537664,theWORLD_with_X
Now Playing this jam Call Me When You're Sober - #Evanescence COMMERCIAL FREE ALWAYS - https://t.co/A5DLpYk3TY https://t.co/Fom3GFKokt,1520712234770608128,thevarietyradio
disco electro techno pop music now Bring Me To Life - Evanescence on https://t.co/Wg3ueOYXGF https://t.co/KtwTOzDFpd,1520694801510850561,POPXXICENTURY
"bf: what’s that band that sounds like that word
Me: evanescence?
Bf: yeah. Remember evanescence?
*starts signing affirmation by savage garden*",1520688962045886464,gouramigrl
My Uber playingimmortal by  Evanescence ok Brb gonna cry,1520688397739778052,franchestnuts47
"Reminds me of ""The Fifth Element"" or when someone songs ""Bring Me to Life"" by Evanescence https://t.co/G8h5JR9sfD",1520678667709403136,Twitch_CeCe4U
Evanescence - Bring Me To Life (DareDevil) https://t.co/MuhZD3yp2W #FreedomMarvelRP,1520670779259584513,FreedomMarvelRP
Top music. Now playing Bring Me To Life - Evanescence on https://t.co/mvGwqYdzO8 https://t.co/THNVmdSioZ,1520663103943417856,blow_inthewind
rock pop dance latino music 24/7 np #chr2 CALL ME WHEN YOURE SOBER - EVANESCENCE on https://t.co/CPIMBvk3qx https://t.co/dAnXQ5MSYF,1520658863426613250,classichitradio
"This one goes out to my twin sis. Elizabeth, you have been gone for 7 years today. Not  a day goes by that I don't think about you. R.I.P.

Evanescence - My Immortal https://t.co/RzLdfspPDm via @YouTube",1520655116428210176,Micky_Alleyn
Evanescence - If You Don’t Mind,1520652173423611906,247PraiseRadio
