full_text,tweet_id,screen_name
"New York City FC ⚽️ ✅
New York Yankees ⚾️ ✅
FC Barcelona ⚽️ ✅
Golden State Warriors 🏀 ✅",1520912088205611009,tee_jay67
"@AlvaroMorata Please go to FC BARCELONA. 
@DanieleRugani GO HOME to ARSENAL",1520907772765868032,CryptoBARKLEYB
New offensive of the PSG by a crack of the FC Barcelona https://t.co/8eBcnntKSl,1520905790818856960,theblazetrends
"Fc barcelona went from buying players like Neymar, griezmann, dembele etc to getting linked with HARRY MAGUIRE😭😭",1520905303885295620,saberofindigo
FC Barcelona dominates Mallorca and regains second place https://t.co/ecqzxUuLpM ⚽️⚽️  📲 Bet now via ⟶ https://t.co/0I4IIflkwI √ https://t.co/YfmYFsW0eN,1520905193356898305,SportsbookBTC
"Ladies and Gentlemen, FC Barcelona. https://t.co/wo4PYMfW5w",1520903119995281408,tamrma1
FULL TIME: #LaLigaSantander: FC BARCELONA 2 vs 1 RCD MALLORCA. [25' Memphis Depay 54' Sergio Busquets; 79' Raillo] #BarçaRCDMallorca https://t.co/MgLr3M8lz5,1520903020787036161,kakyuds
"My favorite teams and their depressing rankings:

1) Sacramento Kings. I mean, no playoffs since I was in high school? 🤬

2) FC Barcelona. Fall from grace, face first. 

3) Cal Basketball. They can use the change but won’t do it.

4) Oakland A’s. The most heartbreaking tear down",1520900114096607233,Bryanne_Aler
"This user is a great fan of FC Barcelona, Messi and Nice Ass 😎 3 goats on earth https://t.co/98npoDM9zI",1520900069876289537,wayne_rubby
"🚨🚨| If FC Barcelona cannot sign Lewandowski this summer, Alvaro Morata could be an option for the club.
@victor_nahe [🎖️] @BarcaDaily_",1520898238949167104,B4Barca
#e_RadioUS What Barcelona MUST DO to catch up to Real Madrid next season 🤔 | ESPN FC https://t.co/YhTukMjW9m https://t.co/2HJHvyIFll,1520891167214297091,eRadioUS
"GANAN 🔵🔴

#fcbarcelona 2️⃣-1️⃣ #rcdmallorca 

#3vzsports #laliga #laligasantander #barça #fcb #azulgrana #blaugrana #viscabarça #memphisdepay en Camp Nou (FC Barcelona) https://t.co/nQStSecs4Y",1520887590093737984,3vzsports
Had to get a jersey made for my first FC Barcelona match. @ Camp Nou (FC Barcelona) https://t.co/DJgZMUIgtE,1520886271928942593,d_weezy
Memphis Depay leads Barcelona in a win over Mallorca | LaLiga Highlights | ESPN FC https://t.co/kWTLiNEGoL,1520883813441810435,TipsUy
#e_RadioUS Craig Burley NOT CONVINCED Memphis Depay is an automatic starter for Barcelona | ESPN FC https://t.co/kZ2w8sGXVj https://t.co/UVwn48WC1U,1520883647468945410,eRadioUS
#e_RadioUS Memphis Depay leads Barcelona in a win over Mallorca | LaLiga Highlights | ESPN FC https://t.co/EiFIOuQtaC https://t.co/y5kZxnR95d,1520883617819467776,eRadioUS
