full_text,tweet_id,screen_name
angrily listens to fall out boy,1520914493072723975,h3m0rrh4g3
I love fall out boy,1520913725867413505,whipnaenae2013
"Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/h0uNKHp1xx",1520913399579693056,dreamiie79
⁦@EmmaWatson⁩ did you get MI6 to target me? I am definitely not responsible for 7/7 or the Boston Marathon bombings. 7/7 coincided with the release of the novel Incendiary and the Boston attacks coincided with Fall Out Boy’s Save Rock and Roll.  https://t.co/T2MvYBtBjC,1520912021729988608,thejeffdonahue
i like emo bands like fall out boy and shit,1520908508803215361,mokou_en
"En el aire: FALL OUT BOY &amp; JOHN MAYER - Beat It, la escuchas en: https://t.co/7UW3Kraq8S",1520908305769635840,TopLatinoRadio
this early album fall out boy title https://t.co/Ta9uX7Asp9,1520908080027893761,ORBlTO3
Smoking with my roommate and listening to Fall Out Boy to celebrate me turning in my last assignment,1520905526862827521,ValkEer1e
watching adaptation which i know has a fall out boy reference in it somewhere but i don’t actually remember what it was so let’s wait and see if i’ll notice it,1520904505654661122,thmscrthmsry
"My son requesting Fall Out Boy for the car ride - this is a proud moment, I'm teaching him right🥹",1520903403760627713,sammyzilla_
Fall out boy please come home the kids miss you,1520903352745353217,seastar474
can't even deny the white allegations i'm listening to fall out boy rn,1520899361173118980,gIaciaIkiss
"Here's A Peak Of My New Skillet And Fall Out Boy Mashup Of The Resistance.
Go Check It Out On YouTube, I would appreciate the feedback. 
https://t.co/LfGBBXjtaT
#FallOutBoy #Mashup #Skillet #FanMade @falloutboy @skilletmusic #music #rockmusic https://t.co/0Ek3bMuzHG",1520895751508971522,asp_exec
"I don't know how to answer 'Has anyone ever told you you look like that guy from Fall Out Boy?' 'Yes, yes I have heard that?",1520893722397122560,GWAbackstage
Fall out boy’s best album is either folie a deux or American beauty American psycho,1520892620788146182,thectrlprint
"Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/63XDemqJ0Y",1520887946483847168,SEPHSTGRM
Kinda love how fucking geeky Fall Out Boy are!,1520885713230864385,claireasmud73
i desperately need fall out boy to release music like JUST A SINGLE GIVE ME SOMETHING I BEG,1520883282652532736,N0EASYLIN0
"i got your love letters, corrected the grammar and sent them back
- the music or the misery by fall out boy",1520881442951024640,arospecquotes
“perfecting regrets” maybe??? GOD i want a fall out boy tattoo,1520879504754978822,2myfavoriteliar
"maybe i should just get “to my favorite liar, to my favorite scar” yes i’m still thinking about a fall out boy tattoo",1520878614614523912,2myfavoriteliar
Can't believe that there is no other Fall Out Boy fan in existence to match my wavelength. smh my head. :(,1520877995883261952,xk_omen
i hate fall out boy so much how are you gonna write some of the most incredible and intelligent lyrics and then FUCKING MINT NFTS I WANT PETE WENTZ’S HEAD ON A PLATTER,1520877800219197440,seeIevoIIereis
"Dance, Dance | Fall Out Boy | Now That's What I Call Music! 21",1520877349817962496,WZIGfm
@johnsadak may have just pulled the first Stroke 9 reference in MLB history. Looking forward to future nods to Sum 41 and Fall Out Boy.,1520875604639375367,adbartel
I wish I was a boy so I could do the bare minimum like grow out my hair and paint my nails and have every girl fall in love with me,1520871071326425088,AlexCastela
"♫ My Top 5 #lastfm artists: blink-182 (5), Fall Out Boy (4), Gorillaz (4), Paramore (4) &amp; Weezer (4) via @tweeklyfm",1520870707038605312,100thDoctor
ugh we would’ve slayed fall out boy fr,1520868491666112512,PrincessAhona
"Fall Out Boy - Sugar, We're Goin Down - Radio",1520868045543165956,cuco_radio
Uma Thurman by Fall Out Boy,1520865647617576961,wikdplaylist
"baby seasons change but people don't, said fall out boy https://t.co/n7kx70LuZK",1520863762017890304,BVLQUIS
Fall Out Boy - Thnks Fr The Mmrs (Thanks For The Memories),1520863425949224960,cuco_radio
"top ten of interests because i want more moots‼️‼️
mcr
cobra starship
fall out boy
invader zim
iDKHOW
decaydance as a whole
steam powered giraffe
the true lives of the fabulous killjoys
monster high
heartstopper",1520862364979150848,kazmustdiee
"https://t.co/lcx88a8ZCV　Fall Out Boy - Dance, Dance　ノレる！！！！",1520858501878542336,KmusicG
That fall out boy feature got to be his worst https://t.co/AdkHVs4XwN,1520857606461480966,Jr73Cadet
@tweetgrubes centuries by fall out boy @tweetgrubes,1520857580603641856,trent1304
"Panic! At The Disco Heardle #2

🔉🟥🟩⬜️⬜️⬜️⬜️

https://t.co/uD0noU9DyB",1520857110044631043,lowkashell
i am literally listening to fall out boy while i'm wearing a fall out boy shirt and telling mack about fall out boy just so he puts it on one of his fucking pirates playlists,1520855855691878401,evilmaster37
"I found the fall out boy heardle 

Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/42pMdgh8Q9",1520855369181974532,MxSatanPunk
hiphop reggaeton soul RnB music np Centuries - Fall Out Boy on https://t.co/Wg3ueOYXGF https://t.co/cZ9NBfVZNB,1520853351327543298,POPXXICENTURY
why is this person playing centuries by fall out boy full blast in a nail salon,1520849101138579460,danyshosanna
"Nick A007 Music: Volume 94

TRACKLIST
Korn: Clown
Incubus: Nimble Bastard
Fall Out Boy: Grand Theft Autumn/Where Is Your Boy
Deep Purple: Burn
Black Veil Brides: Goodbye Agony
Everlife: Real Wild Child
Seether: Broken
Motley Crue: Dr. Feelgood
Breaking Benjamin: Until the End",1520842308765175809,ProNickA07
"Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/ctOIPxiwE1",1520841944439656448,demolitiondriv
If Green Day is coming to argentina in september (supposedly) and they are playing with Fall Out Boy in Rock in Rio does it mean theres a chance we will have green day AND fall out boy in argentina?????? https://t.co/Khnw8mRKpe,1520841748284469248,StumpomaticIDC
@tweetgrubes centuries by fall out boy,1520840957792595969,trent1304
"wbk
Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/Wp1uTxwIvp",1520840584205946882,taste4suicidal
"Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/WvOZtaND0M",1520840212443717632,carcrashdhearts
"Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/9AHfXOxxB1",1520840210266828800,cemeterymikeyy
"Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/oPamjSJy5X",1520840169234083841,Wafflelord84
"Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/6dp0XX7s6N",1520839656111235079,thmscrthmsry
"Fall Out Boy Heardle #17

🔈⬛️⬛️⬛️🟩⬜️⬜️

https://t.co/yeHNbwM59N",1520839153566453760,21pgay
"Dear gravity, you held me down in this starless city

-Tiffany Blews, Fall Out Boy",1520838902017191937,Words_of_DN
"PinkSlayer13 was my first aim screen name. Shout out to my girl Buffy Summers.

Then I had xXxFrictionxJeansxXx which was a nod to Fall Out Boy. 

Anyway, Pen15 on Hulu is the best, most cringe show about growing up in that time period. https://t.co/PQSkRCbLRG",1520838901530873859,InRegardstoAli
"lol
Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/u0O1vO3ezO",1520835964268019712,theloserlane
"yessss

Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/Q3mAJdxGc9",1520833731111444480,clikkiejosh
"Still tear up talkin bout my boy, but dont nun fall I think Im all out ❤️‍🩹 #LLKOT4",1520832623236587520,_1Griselda
"#NowPlaying on The Ali Clark Show Show on @LexiconRadio with @dudeinthestudio: 

 Fall Out Boy -  Sugar, We're Goin Down  

Listen to Matt on https://t.co/A9tNaIjXv3 or with the Lexicon app!

@TheAliClarkShow is off tonight!

#radiostation #Radio #music #Lexicon #UKRadio https://t.co/QUvcnE5JoJ",1520830527204433923,Jessicab1985_6
definitely not fall out boy https://t.co/DIJ5m4RLlu,1520829893000396800,pen15ridiculous
"Fall Out Boy Heardle #17

🔈🟥⬛️⬛️🟩⬜️⬜️

https://t.co/vkD2zwST1u",1520827656513765383,inwudus
"https://t.co/TfFYJfcX0X
Fall out boy, a little less sixteen candles a little more",1520826665320042497,JeremyOverby6
forcing everyone at work to listen to fall out boy idc,1520825984081010688,bizkitbumper123
"Seeing as I was/am an Emo kid

xTradexBabyxBluesx

Morethanuselesss

I was big into fall out boy and Relient K lol https://t.co/dYpWOXEpoU",1520821046814953472,jv1437
"Fall Out Boy - Sugar, We're Goin Down https://t.co/BrOMHaEOq1",1520819346137915392,securenet
Beat It x Fall Out Boy ft. John Mayer https://t.co/AJuOYlIMWJ,1520818390570577922,Dimiya_
remember when people would see sentences like this and ask if its a fall out boy song https://t.co/s9ynuHO07J,1520818379250372608,JUUL1ET
"Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/xGHiPtnqda",1520817953733857282,justaharpy
"Fall Out Boy Heardle #17

It was spoiled for me but I swear I would've got it otherwise. 😭

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/LswKflPeiY",1520816122714501120,nofuneralplease
"Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/ox8V0Ysr10",1520815974114541575,worstkindofdrug
Will we ever graduate the fall out boy era of novel/comic titles,1520815682627469312,actuallylilac
It’s Ro”Bot” awareness month. Please call out the bots. You can tell a boy by their lame far left troll type comments. Simply respond with “Bot” to their comments. Do not fall for their attempt to make you lose your mind.,1520815413143040000,mendozazachary3
I’ll wait till the middle of the season to make that bet your boy better ball out this year he gone fall fast https://t.co/hwp1D8mGTR,1520814776972197888,pdollarsss
wouldnt it be so sexc if i tattooed “detox” and “retox” above each knee??? i want a fall out boy tattoo so bad lmao,1520813172646629376,2myfavoriteliar
I love fall out boy I wish clover was real,1520810395371552769,nxwinvention
"Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/0fGY6BvSaH i don’t have a problem I promise",1520810130526416896,asajjvxntress
"singing “baby seasons change but people don’t” to myself as I got ready for my race this morning listening to fall out boy, just like I did all through high school",1520808940757565440,bri_elizabeth28
"You're wearing our vintage misery
No, I think it looked a little better on me
I'm gonna change you like a remix

-The Phoenix, Fall Out Boy",1520808691007909888,Words_of_DN
#nowplaying on @PrimordialRadio Beat It by Fall Out Boy  Listen now: https://t.co/g2DEFzgNka,1520808327453851653,PrimordialPlays
"Fall Out Boy Heardle #17

🔊🟩⬜️⬜️⬜️⬜️⬜️
YUS
https://t.co/3meJNq1IMg",1520807231121498112,feIixgender
"1 ticket to Hella Mega Tour: Green Day, Fall Out Boy &amp; Weezer at RDS Arena - Dublin, 27 Jun, 5% below face value (plus fees). Buy with protection: https://t.co/rfG6OA3rXj",1520805882296246273,TwicketsIE
