full_text,tweet_id,screen_name
"Born 2000 ATP Titles

Sebastian Baez - 1
Sebastian Korda - 1
Thiago Seyboth Wild - 1
Felix Auger-Aliassime - 1

Born 2001 ATP Titles

Jannik Sinner - 5
JM Cerundolo - 1

Born 2003 ATP Titles

Carlos Alcaraz - 4
Holger Rune - 1

*Born 2002 ATP Titles - 0",1520798489193553922,vanshv2k
"Ich hab‘ auch von allen nichts, leider. 😥🐷🎾 #NYT

„built a composite player who has Dominic Thiem’s forehand, Nick Kyrgios’s serve, Novak Djokovic’s backhand, Rafael Nadal’s attitude, Roger Federer’s net game and Felix Auger-Aliassime’s footwork.“ https://t.co/62fuBKQsl5",1520739597289992192,sitzplatztobi
"MADRID MASTERS | Gael Monfils opens against Carlos Gimeno Valero – winner gets Novak Djokovic in round two.

Felix Auger-Aliassime, seeded eighth, has a first-round bye and will face Frances Tiafoe or Cristian Garin in the second round.

📸 | Jose Manuel Alvarez &amp; Tiago Petinga https://t.co/rM5O5k2Ria",1520569969964199936,BlackSpinGlobal
"Felix Auger-Aliassime reflects on turbulent start to the season, saying: 'This year has been so long' - Tennishead https://t.co/1yJ0kpdmYW",1520480818795147264,RonSmit45793507
‘This Is Unfair Question’ – Coco Gauff Loses Out to Felix Auger-Aliassime in a Unique Battle on Roger Federer - EssentiallySports https://t.co/6YG9XXnTmy,1520338177755475968,RogerFederer365
"Felix Auger Aliassime recovered from a slow start to beat Carlos Taberner 1-6 6-2 6-2 after 1 hour and 55 minutes reaching the quarter finals at the Millenium Estoril Open.

#Estoril 
#Tennis https://t.co/71PLPfwBmB",1520333888895078401,TennisExplorer
If you’d told me a in 2018 that by 2022 Felix Auger-Aliassime has won 1 tournament and only reached 1 grand slam semi final I wouldn’t have believed you. Ranked in the top 10 but his career has been a disappointment so far it must be said,1520305403766128640,ClassicCiarzo
"Ah. I see Felix Auger-Aliassime lost to Sebastian Korda last night. 6-2, 6-2. A match I was expecting to be 🔥🔥🔥. Eesh. How wrong I was.

#EstorilOpen",1520282524144082944,Beeorlicious
"Madison Keys fell to fourth seed Maria Sakkari 7-6, 3-6, 4-6 in the first round in Madrid.

Sloane “Olufemi” Stephens also lost on Friday to Anhelina Kalinina in straight sets.

In Estoril, Felix Auger-Aliassime was unable to get past Seb Korda in the quarter-finals.

📸 | Getty https://t.co/eUfblzfUw7",1520239051827204098,BlackSpinGlobal
"🇺🇸 Sebastian Korda @SebiKorda upsets top seed 🇨🇦 Felix Auger-Aliassime @felixtennis 6-2, 6-2 and will face 🇺🇸 Frances Tiafoe @FTiafoe in the semi-final. 

#EstorilOpen https://t.co/Cmvzjkittl",1520179044976939009,liezbrown
"Sebi to the Semis!

Sebastian Korda picks up the third top 10 win of his career, coasting past #1 seed Felix Auger-Aliassime, 6-2, 6-2 in Estoril.

With the win, Korda sets up a semifinal against Frances Tiafoe, guaranteeing an American will contend for the title on Sunday. https://t.co/7uC9h0psXT",1520178026557890563,TickTockTennis
"ATP 250 ESTORIL: 
#37 (8)Sebastian Korda def
#10 (1)Felix Auger-Aliassime 6-2, 6-2.
SK was good but another poor showing by FAA. After 8-1 (plus title) in Rotterdam and Marseille, he's 4-6 since. He has now played 4 weeks in a row on clay, 2 more to go, Madrid and Rome, before RG https://t.co/ZgPauMGWMt",1520167236501180417,tomtebbutt
"🇺🇸Sebastian Korda defeats 🇨🇦Felix Auger-Aliassime 6-2, 6-2 from the @EstorilOpen.

Next stop for Felix - Madrid!",1520164306633072640,MatchPointCAN
"Congratulations to Korda fans, commiserations to Auger Aliassime fans. Sebastian won 62-47, or 57% to 43%. Pretty clean kill.

I had Korda to win this, but not quite so comprehensively. Key stat: Felix won only 50% of his first serve points.",1520163135113551873,burtonad
"Felix Auger Aliassime has to be one of the luckiest players to get TOP10 in ATP. He's playing good 1 month/year, then goes in hibernation mode.",1520162459469991936,theoj217
"Sebi is a ringer on clay... 

Defeats Felix-Auger-Aliassime 6-2, 6-2 to reach the semis at Estoril... https://t.co/pbMeZtWCGy",1520162417929428993,Tennis_Now
Sebastian Korda defeats Felix Auger-Aliassime - and for the second time in his career a top 10 - to reach the semifinals in Estoril. https://t.co/CRUC9LLbyn,1520162333229817856,RelevantTennis
goodbye felix auger-aliassime💔,1520162205563564038,rafasfederer
"ALERT: New high roller bet posted!
A bet has been placed for $17,354.42 on Auger-Aliassime, Felix - Korda, Sebastian to win $23,428.46.
To view this bet or copy it https://t.co/3gGLTkKrUP https://t.co/rxag7SoYOG",1520158579201695744,stakehighroller
"Felix Auger Aliassime, one of the most overrated tennis players in the top 15",1520154874826182658,lambdatweets
How the hell was felix auger aliassime favorite ? Guys a fucking joke,1520154173957890055,Prince7289
Sebi Korda is playing well and is now a set up on Felix Auger-Aliassime. One set away from setting up an all-American SF with Frances Tiafoe. #EstorilOpen,1520151177933074432,dekelloyd
"Felix Auger-Aliassime, just a set 🙏",1520148529003614209,SuroNipa_
Felix Auger-Aliassime has so much performance anxiety it’s insane. 😂,1520146811498946566,refsbetonsports
Felix Auger Aliassime +120 live for fun.,1520145281966350336,BrianBevo10
Felix Auger-Aliassime sure is a blow hard 😂,1520144131712028673,refsbetonsports
“It feels like the year has been so long!” Felix Auger Aliassime reflects back on his journey to get back his rhythm and glory https://t.co/WgUBvNSFNz #Tennis #FelixAugerAliassime,1520143778723508225,SportzFirst
Sebastian Korda vs Felix Auger Aliassime is on Tennis TV . With commentary from Jonathan Overend.  For more details see https://t.co/PWMfI7B6L2 #SebastianKorda #FelixAugerAliassime #TennisTV,1520142760883412992,ICDb_tv
Sebastian Korda vs Felix Auger Aliassime is on Tennis Channel. With commentary from Mark Knowles.  For more details see https://t.co/PWMfI7B6L2 #SebastianKorda #FelixAugerAliassime #TennisChannel,1520141527200247808,ICDb_tv
"ATP 1000 MADRID: Draw
#10 (8)Felix Auger-Aliassime bye then
#29 Frances Tiafoe or #30 Cristian Garin

#16 (14)Denis Shapovalov vs Q then possible
WC #81 Andy Murray or (PR) #93 Dominic Thiem
1 seed: Djokovic, 2 seed: Zverev, 3 seed: Nadal 
STARTING NOW in Estoril: FAA vs Korda https://t.co/wFTfyYa381",1520139498834771969,tomtebbutt
"🇨🇦 Felix Auger-Aliassime is the No. 8 seed at this year's Madrid Open... His potential draw...
1st Rd Bye
2nd Rd Tiafoe / Garin
3rd Rd (10) Sinner
QF (2) Zverev
#ATP #MMOpen",1520130268568432640,SportsHorn
"Quarter-final | #EstorilOpen

🇨🇦 (1) Felix Auger-Aliassime @felixtennis
🆚
🇺🇸 (8) Sebastian Korda @SebiKorda

Who will win?",1520111925706719233,liezbrown
"Felix Auger-Aliassime reflects on turbulent start to the season, saying: 'This year has been so long' - Tennishead https://t.co/1yJ0kpdmYW",1520109065673740294,RonSmit45793507
"Estoril

Felix Auger Aliassime VS Sebastian Korda

Winner Prediction: Felix Auger Aliassime@1.83

See Detail
https://t.co/IZUZcwOdET

#tennis #ATP #WTA #Estoril #Auger #Korda #bookmaker #betting",1520106449879199744,tennis_luden
"POTD:

🎾Felix Auger Aliassime ML -125 vs Korda",1520098572879937536,skateboardGbets
