full_text,tweet_id,screen_name
Gabriel Landeskog: Back in action Tuesday https://t.co/5MSjIg0rgc,1520858116224651264,RotoWireNHL
Gabriel Landeskog: Back in action Tuesday https://t.co/kOPbKHh2ZN,1520858115293462528,RotoWire
"Per Bednar:

Gabriel Landeskog is good to go for Game 1. 

Nazem Kadri missed practice with a non-COVID illness but is expected to be ready for Game 1.",1520846148503629824,rboulding
@MoneyPuckdotcom Is there a reason that Gabriel Landeskog doesn’t show up in your playoff fantasy spreadsheet?,1520787382093729794,RusselProuse34
"$15.00 - Shipping Included: (🇺🇲 / 🌎 - BMWT)
Player: Gabriel Landeskog
Team: Colorado Avalanche
MFG: Upper Deck
Year: 2021-22
Set: MVP - Black Script #3/5

@ReplinApp Reviews:
⭐ 5.0 (399 Ratings)
✅ eBay: krupp-34 (142) 100%

Take: https://t.co/pUunF7t8xC

@HobbyConnector",1520770772456771584,RockyMtn_B_A
"$5.00 - Shipping Included: (🇺🇲 / 🌎 - PWE)
Player: Gabriel Landeskog
Team: Colorado Avalanche
MFG: Upper Deck
Year: 2020-21
Set: O-pee-chee Platinum Cosmic 60/65

Buy: https://t.co/eBZDQUk7Ma

@HobbyConnector",1520770740689068033,RockyMtn_B_A
"$5.00 - Shipping Included: (🇺🇲 / 🌎 - PWE)
Player: Gabriel Landeskog
Team: Colorado Avalanche
MFG: Upper Deck
Year: 2019-20
Set: O-pee-chee Platinum Artic Freeze 42/99

Take: https://t.co/pDQ00ke6EH

@HobbyConnector",1520770710703988737,RockyMtn_B_A
"$7.00 - Shipping Included: (🇺🇲 / 🌎 - PWE)
Player: Gabriel Landeskog
Team: Colorado Avalanche
MFG: Upper Deck
Year: 2019-20
Set: O-pee-chee Platinum Seismic Gold 23/50

https://t.co/hqymXqhykj

@HobbyConnector",1520770681599787009,RockyMtn_B_A
"All the gitty Wild fans are too dumb to realize Bowen Byram, Devon Toews, Cale Makar, Valeri Nichushkin, Ryan Murray, Nathan MacKinnon, Gabriel Landeskog were all scratched. They think they're beating the Avalanche right now, it's comical. #COLvsMIN #GoAvsGo",1520213390505181184,bafriesen
"$7.00 - Shipping Included: (🇺🇲 / 🌎 - PWE)
Player: Gabriel Landeskog
Team: Colorado Avalanche
MFG: Upper Deck
Year: 2019-20
Set: O-pee-chee Platinum Seismic Gold 23/50

Buy: https://t.co/hqymXqhykj

@HobbyConnector",1520033190273896448,RockyMtn_B_A
