full_text,tweet_id,screen_name
"2012 Bowman Chrome Gerrit Cole Auto BGS 9.5

$205

@sports_sell @HobbyConnector https://t.co/DEYIUHOnor",1520914231603965952,Wainman82
I'm not real big on putting celebrities on a pedestal.  But Robin Williams would be the guy for me.  I'd like Gerrit Cole to be our waiter though. https://t.co/GLBA1sGiNd,1520892172966502400,robncypress
Gerrit Cole single handedly got Gary Sanchez fired. Hate to see it,1520889431615545345,JayLeRey
"if the dodgers can fix andrew heaney and tommy kahnle, imagine what they can do with gerrit cole",1520885642728673280,DodgersMark
"More positive signs from Gerrit Cole in his last 2 outings:

12.2 IP
9 hits
0 earned runs
15 strikeouts
3 walks.

👏👏👏

#Yankees #RepBX #MLB",1520878325903904770,danrobh93
"I take back what I said about Gerrit Cole, Suarez is officially worse",1520876481672466432,garciapete2000
"Jacob DeGrom this. Gerrit Cole that. Max Scherzer. Corbin Burnes. Walker Buehler. Blah blah blah. 
Mike King is the best pitcher in baseball.",1520872770866978817,YanksMoviesUFC
"Gerrit Cole: 2-0

Corbin Burnes: 1-1

Was told Burnes is better",1520869770052222978,HoodieMaybin
"Watch Walker Buehler. Reaches for his right hip/butt after every pitch, has a dark mark there that seems similar to the Gerrit Cole debate where he was accused of foreign substance.",1520867593342660617,AdeptQs
"@DetroitMoments watch Walker Buehler. Reaches for his right hip/butt after every pitch, has a dark mark there that seems similar to the Gerrit Cole debate where he was accused of foreign substance.",1520867443509497857,AdeptQs
"Sure yeah it’s fine it makes sense Jim Crane couldn’t pay George Springer because he had to save money to pay Gerrit Cole who he couldn’t afford to pay because he had to save money to pay Carlos Correa who he couldn’t afford to pay because he had to save money to pay

… 🤬 https://t.co/CzQcHw1Stt",1520866456237481987,jzimmermann11
"Didn’t get a game item from my birthday goals last night, but Joey went above and beyond with getting me a Hunter Dozier double off Gerrit Cole from last night! Beyond grateful! Thank you! ⁦@Legend_Of_Joey⁩ ⁦⁦@BugHave⁩ https://t.co/VMcWpqymhY",1520866185872654338,TKrueger71
This is gonna be a Gerrit Cole 68 pitches in 1.2 innings start I fear,1520862509808431105,GausSupremacy
"So nice to see Joe Musgrove pitch better for other teams than he did for the Pirates. Just typical Pirates, see also Gerrit Cole, Tyler Glasnow and Miles Mikolas. Besides Musgrove in the Cole trade, the Pirates got nothing for them:",1520860807831199744,jrgsstuff3
"Is there enough people who are @AEW and @Yankees to start “Boom! Gerrit Cole bay-bay!!” ?? 
#aew #yankeesbaseball #yankees #yankeebaseball #wrestling.",1520838527163854849,Craig203Gooners
Gerrit Cole can’t pitch without Spider Tack they said. He was done they said. 😂😂😂😂😂😂 https://t.co/6wIbVJUVpI,1520831016818126850,JerseyMack1331
Went to the evil empire this weekend and flipped off gerrit cole from inside a bar in the west village. Peak “you really showed that guy” moment. Great pizza and bagels tho! https://t.co/LQutU76VUh,1520820343291658240,soxpropaganda
All those Gerrit Cole trash talkers been real quiet the last week,1520819837270106112,nsiliverdes86
"MLB pitchers this season with at least a 30% whiff rate on 5 pitches (min 10 swings per pitch):

1. Gerrit Cole

End of list.",1520810900474810368,HoodieMaybin
