full_text,tweet_id,screen_name
I say ✨Latinas✨not in a Gina Rodriguez type of way but in a Lele pons type of way 🙄,1520888008056000513,MattelXavier
Gina Rodriguez saying “mama let’s research” lives in my head rent free. I started telling the 3d “mama let’s research” when I accidentally look there and know that what I’m seeing can’t be right😭 skksks,1520723477627650048,EnchantingGames
"“Every morning, my dad would have me looking in the mirror and repeat: “Today is going to be a great day; I can, and I will.” – Gina Rodriguez
#gadgets #goodmorning",1520669349333282817,products_ex
Jane The Virgin Star Gina Rodriguez Opens Up About Hashimoto's Disease | SELF https://t.co/MM5H1SR4U1,1520441978722340864,nazmulmarketer1
Gina Rodriguez is a great actresses indeed.,1520392339654643713,MAIA96_
#Health #Wellness #Wellnessomega : Jane The Virgin Star Gina Rodriguez Opens Up About Hashimoto's Disease | SELF https://t.co/aIMkd8hVb8,1520370417055244288,kamzou08
"guy i’m talking to said i look like gina rodriguez…i’m sorry, WHERE",1520208428786139136,luvsicangel
all hate to gina rodriguez but she and lakeith did what they had to do in someone great https://t.co/8O3ce6jGcU,1520171865511239680,fejloves
"“Every morning, my dad would have me looking in the mirror and repeat: “Today is going to be a great day; I can, and I will.” – Gina Rodriguez

ANJI FeelsTheConcert 
#AnjiSalvacion",1520112720309153792,bleuejeans_
"Usher, Joanna Johnson, Jennifer Finnigan, Rome Flynn, Gina Rodriguez.  Lots of people were famous/successful outside of soaps before appearing on B&amp;B, too https://t.co/FzcpZBvalX",1520079869811597314,Ky71Matt
"The male version of Gina Rodriguez, huh? https://t.co/5z8xaqOaqb",1520070317422616577,Jbernardoo
I need a #YouAndMeOnVacation/#PeopleWeMeetOnVacation adaptation starring Gina Rodriguez as Poppy and maybe Paul Mescal or Jonathan Bailey as Alex?,1519967583822573568,TekilaMockngBoy
It’s giving Gina Rodriguez https://t.co/3cxKX59E5B,1519945922175586304,XenoIncognitos
"this, gina rodriguez heebie jeebies and omar go home and get the gun was playing in my head on repeat  https://t.co/cRaMyoaKJ5",1519896386799644672,crierswhre
I dig Gina Rodriguez!,1519894556220657664,Desi_No_Aka
whenever i listen to ready or not i am reminded of gina rodriguez 😂😂😂,1519878450898690050,why_kass
One of my favorite quotes is “Niggas give me heebie jeebies”-Gina Rodriguez,1519791344910278658,lys_locs
Not this Gina Rodriguez take https://t.co/tNLtekm1C9,1519764609514844160,ZintelM
Lakeith Stanfield &amp; Gina Rodriguez: Someone great. https://t.co/L2Q1EKVxrH,1519763843815297025,FeziShobede
Everytime I see this I think of Gina Rodriguez . Idk why https://t.co/tTjtNmA3N4,1519752579021955073,onlydaz
