full_text,tweet_id,screen_name
"#NewProfilePic 
You don’t need Givenchy you need Jesus😘 https://t.co/UGkhaSwBbw",1520915605095813120,escobarjkeila
Nah why is there a 40 year old man in shed with a Givenchy top on shouting at ppl to move as if he’s a bouncer 😭😭😭 go home 💀,1520912391592161280,Danixlkelly
"Kendall and Kris will be dressed in givenchy , Kim Balenciaga and Kylie is wearing Versace Khloé and Kourtney ???? https://t.co/5PVi5P4sxe",1520909599037083648,canastafox
"Coochie hella juicy and it taste like Voss, lookin a bitch I bet you wonder what it cost, lookin like Givenchy and you bitches giving Ross!!😭🗣🗣 https://t.co/cntj6PKVhg",1520908747513778177,tay_bangz
LOOKIN LIKE GIVENCHY AND YOU BITCHES GIVIN ROSS?? Yoooooo that was sick😭😭😭 Check out allxmllr's video! #TikTok https://t.co/z88Vm3nCZV,1520906381091643394,mr20somethin
"i have no idea what shes going to wear omg last year we all know (or atleast for me) shes going w givenchy bc she stars their campaign... what if she wears an archive for tomorrow, i'll lose my mind",1520905672509980672,blessedjenners
girl aespa alone bagging givenchy under their name dont get brave https://t.co/gTeIH4L0In,1520903838806409216,aes_woo12_7
"You don’t need Givenchy, you need Jesus!",1520901620749508609,iCant_beBroken
"You don’t need Givenchy, you need Jesus",1520900692201906183,Christina_Beena
PoLo on me but it feel like Givenchy,1520895731560816641,wingandfry
Excited to share this item from my #etsy shop: Givenchy GORGEOUS swirl gold tone designer fashion jewelry brooch pin vintage jewelry stamped Givenchy Paris New York Givenchy Runway https://t.co/wo1yydaFHi https://t.co/l4vVueAnh0,1520894347918594053,LoriStoudt
Givenchy easily https://t.co/1R4lSj4mXS,1520890856621981697,Roebi_H
givenchy fw00 https://t.co/of9s5kPOpJ,1520887810034601986,MOSSYVIBES
"You don’t need Givenchy, you need Jesus. @jackharlow",1520887524528377856,hiLohi1234
I need some givenchy Burberry dolce gabanna Amir’s Gucci Louie Prada,1520885188137529346,moneymanboi
A bunch of you think you need Givenchy but you need Jesus and it shows.,1520884602109313026,ThadMessenger
duko dale la haces re larga con Givenchy,1520881171155931137,Geronimomoya1
So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @ViktoriaMarie18 @lzfoster2571 #poshmark #fashion #style #shopmycloset #aritzia #givenchy #naot: https://t.co/h1kpQZHyf0 https://t.co/osFOUsoiiN,1520878112396824576,Poker91020
CRY IN GIVENCHY (Official Music Video) https://t.co/wmrFdk5yGi via @YouTube,1520877080719859712,MShabani4
"that black beaded givenchy number is an amazing 1920s inspired silouhette, but i wouldn’t expect you to get that bc you bitches wouldn’t know high fashion if it pissed on you https://t.co/Phyaf1sCds",1520876567311884288,shutupminaa
McQueen / Givenchy,1520876560332599298,Wahranii932
"Water activated shorts are a thing now &amp; I would just like to know when fashion decided that we should all look like 12 year olds because huhhhhhhh????????? What’s next, Givenchy sneakers with hidden wheels in the soles? Spare me. I beg!",1520876337883402241,myblackassmind
"HIGH QUALITY GIVENCHY TEES 
PRICE:15,000 NAIRA .FOR IMMEDIATE PICKUP / DELIVERING https://t.co/o21A3nD3Y5",1520876266915876866,ShepokingWealth
Bite My Gray Givenchy Bag. I Honestly Look So Sexy.,1520875570359275521,GucciOsclde
Beyoncé’s Sheer Givenchy Gown 🤤 https://t.co/7H0MLG9vB6,1520875327685369856,PUMMELitOUT
"I’m mad asf , I ain’t even gon cap .",1520874843536822274,givenchy_gang
"@SMiTHiE___ 

Where's Alex: four eyes Edo boy",1520872775577227270,givenchy_sir
Wrong…….I’ve seen that feathered Givenchy in person and the photos do not do it justice. https://t.co/UIE96wkzaE,1520872714436849664,Melanated_AF
"PULL UP TD, I GOT TEN IN MY JEANS
POP OUT WITH ME, WAS ON TV
PATEK PHILLIPE, GIVENCHY TEE",1520867674036879361,pop_smoke_lyric
givenchy givenchy givenchy givenchy gi,1520867134787706881,oaokev
I just think that Beyoncé in custom givenchy at the 2015 met gala https://t.co/zbLx7FgzsY,1520865604303036417,dannah__montana
It's giving Givenchy vibes. Love it https://t.co/miVkMzr588,1520865173652840449,NoblismObi
I want a pink Givenchy purse &amp; a purple one! 💖💜,1520861614534275073,cara_elleace
"My boyfriend doesn’t care about designer, he cares about car parts for his 800 horse power vehicle. 

he will wear Givenchy I gift him …to fix his car.",1520860577568071692,NUKELAIR_
800 en un labial de givenchy https://t.co/78EKO76ZhB,1520857655983710209,mv251607
"No one:
No one at all:
Me: you don’t need Givenchy, you need Jesus",1520856432635121664,brittanyaterry
Matt Williams went on his new givenchy collection,1520853426191671296,PhillipaImani
"Givenchy PI EDT 100ml. Oriental, woody fragrance explores essences of bergamot, lemon and sage, blended with notes of jasmine, orris and sandalwood. This scent is deliberately masculine, woody and intense and is intended for the naturally confident man. https://t.co/Hh70BJH0Rc",1520852508691902468,Itz_teyanna
Looking like Givenchy and you bitches giving rosssss,1520851460765798400,regiisssss
coochie hella juice &amp; it taste like voss ❗️ looking at a bitch i bet you wonder what it costs 💰looking like givenchy &amp; you bitches giving ross,1520850002284843008,chasssney
"You don’t need Givenchy, you need Jesus.",1520848932200493059,Falilatt_
did you eat my fucking Givenchy lipstick https://t.co/KLQu04p3QA,1520846301960802304,figliarosa
"You don’t need Givenchy, you need Jesus.",1520845015391477760,ohnoitsjoee
You don’t need givenchy you need Jesus,1520841558957776897,JBABYYYY___
"You don’t need Givenchy, you need Jesus",1520841257488203776,lilpicasso_
"Givenchy Logo Slide Sandals $179 sizes 11 &amp; 12 

Link: https://t.co/KJDX6QN8oQ https://t.co/X670fmUH5n",1520840626241249283,bkdealguru
I got rashika Givenchy lip gloss and if she ain got it by now she not getting it,1520838486118608896,beeazzzzy
If my cleaners can’t get this makeup off my Givenchy dress ima cry,1520837913013014530,autttyyz
Givenchy and Supreme Release New Collab Capsule Collection,1520837282432909313,fashion_updatez
“Looking like Givenchy and you bitches giving Ross” 😭😭.,1520836193813991431,JayMonaeeee
"My shirt say givenchy, yours say pink dolphin😂😂😂",1520835268844179458,IordCinco
Do I get Valentino Uomo or L’interdit Givenchy?? Decisions decisions…,1520833946283565059,ummitahjega
"You don’t need Givenchy, You need Jesus.",1520833584071860226,KidGucci_CPT
Looking like givenchy while you bitches giving Ross https://t.co/j42WPFhP3m,1520828669710815234,beverlyhoodshit
"You don’t need Givenchy, you need Jesus https://t.co/EC6lXGrnci",1520823599262625792,eazyt420
"You don’t need Givenchy, you need Jesus..",1520823576022163457,drserven_ESQ
"these givenchy, I ain’t worried bout no new jays.",1520823068511326208,JusttJadeeee
Givenchy Vintage Silk Scarf 34 x 34 inches by FloralStreetArt via @Etsy https://t.co/66ZB71LFNq,1520822766123032577,floralstreetart
You don't need Givenchy you need Jesus..,1520819053148971010,Ashley__473
Had to spray the Givenchy today Let’s see what i attract. 😂😈,1520818704400986112,ArleciThomas
"You don’t need Givenchy
You need Jesus 
                                       - @jackharlow 
#YBFR #BON #BeardGang #LazyEyeDrip #YattedUp #JustDoIt https://t.co/IHjXSyUbvq",1520817657242701826,corylamar8
These people rip off Gucci and Givenchy etc all the time. It’s nothing for them to rip off an independent fashion label they don’t care https://t.co/9kN16vthMC,1520813055352971270,JaphethsSon
"“👑 Sunday Brunch Crowd Funding” w/ @JeSuisNiiLee, @watavessel, @SerenaTheGoddes, @darodaresu, LIA GIVENCHY, @DrJulio__, @travisbelieves, @BlackerTheGary, DJ Hollywood Oompa, @deehoney18, and Life Of A Transwoman. Today, May 1 at 2:00 PM EDT in @clubhouse! https://t.co/EGAOsbQeZn",1520812233231642626,Hersupreme_
You don’t need Givenchy you need Jesus,1520811518727700481,isaabelneira
"you don’t need GIVENCHY, you need JESUS.",1520811022432587776,midemichaell
Lee McQueen closing his 1997 debut Givenchy show in a fab oversized fit https://t.co/xH8PY5Df8A,1520811006443671552,mooglare
"They put the Holy Ghost into this Givenchy Prism Libre powder! 😍

This foundation is staying PUT!",1520810893986209793,TheEmersonWay
"You don’t need Givenchy, you need Jesus",1520809535916724227,MarcyTV
“I need Givenchy and Jesus” -@WiederLauren,1520801872780709889,kathmcgrady
"Like my boy Jack says “You don’t need givenchy you need Jesus” 

Happy Sunday ladies &amp; degents. I grew up dirt poor, but always had faith in myself and the man above 👆🏼 always looking out for me. 

Love you Dad 🙏🏽",1520801520740098051,Crypto____Villa
#Look Authentic #Givenchy Silver Tone Stud ##Dangle Earrings TicklePink Sparkling Stones #ebay #ebayseller #greatdeals #today #peace #sundayvibes https://t.co/ML6mIMQ7yA https://t.co/0KuViRpkin,1520798171181436929,jbhighendstuff4
"Wearing my mother's perfume, Givenchy III, to honour her memory. She passed away on the first of May 1996. I still miss you, mum 💔",1520797476445429761,natachef
Pastor done change from the spike Loubs to Givenchy.,1520797365287936000,Golden_Lotus24k
"Nobody: 

My brain: Holy shit, girl queen pussy boss… Coochie hella juicy and it taste like Voss.. lookin at a btch I bet you wonder what it cost… lookin like Givenchy and you btches giving Ross. 🤸🏼‍♀️🤸🏼‍♀️🤸🏼‍♀️",1520795017601822721,lnglivekushy
"(FREE) @1GunnaGunna x @MoneyMan Type Beat 2022 ""Givenchy"" 
#instrumental #typebeat 

https://t.co/HsWaaglXrX",1520794788974444547,Skylar_Blaze
looking like givenchy while you bitches giving ross,1520793745335013376,marisolvapor
Off-White and Givenchy Release New Collab Capsule Collection,1520791726645862400,fashion_updatez
I think it's givenchy ~ https://t.co/JcAEQo3bL0,1520791319618199558,xmanzi01x
Looking like Givenchy &amp; you bitches giving Ross🤣,1520790603142991873,X_TheAdraa
balenciaga medium le cagole bag and the givenchy moon cut out bag😭 https://t.co/LHisiwLAR4 https://t.co/zJgB9zzjOl,1520790563200684044,iguethh
L’interdit rouge by Givenchy  smells really funny 🥴🥴🥴🥴 giving it away …,1520787977764581376,IAmKatiaMXO
So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #hollister #givenchy: https://t.co/B8I2DGDird https://t.co/H86NkaRFgx,1520787578332479488,ljames58
Boy this givenchy my girl got me on everybody be wanting to know what I’m wearing 🔥,1520787485562974211,Therealdeljuan
"CELINE                                    GIVENCHY
PRADA                                                 Dior https://t.co/yvUS8uyg17",1520786310050762752,abs190522
"my new givenchy foundation is… *chefs kiss* 🤌🏻😙 highly recommend, 10/10. makes me wanna wear make up everyday hahah",1520783727978196992,_jentru
sadly i need givenchy AND jesus,1520772968552488961,nicksgoodtweets
"Y yo te compro un Banshee, Gucci, Givenchy.",1520771138015711233,vrmorganie
Pickford face after he got a ball smashed at his face 🤣 #EVECHE #PremierLeague https://t.co/f2R8WSNnOt,1520770842715643905,Ali_Givenchy
"ช่างภาพเพิ่งลง 😍
…
@givenchy Spring Summer 2022 
Photographer @bert_sivakorn 
Fashion Editor @kokonichakul
Model @mark_prin
Grooming @parplernmakeups
#givenchyss22 
#PPGroupThailand 
#BertSivakorn 
#BertSivakornChotanakarnsatit
https://t.co/n6RV2je4Xu
#หมากปริญ
Cr bert_sivakorn https://t.co/b0KpNFOb2r",1520770466310283264,Cayla_Iris
"👀🌪🌊🌊🌊
VeVe is digitizing decades worth of content from the largest 250+ brands in the world, think about that🤯⭕️🐐🚀#TheCalmBeforeTheStorm #VeVe #Ecomi #PremiumLicensedDigitalCollectibles 
#DigitalCollectibles #nft #nfts #ip #brand #Disney #Marvel #Givenchy #DC #Universal https://t.co/kr9OohmdDj",1520766494623387651,johnnydunn777
Your financial history can have a big effect on your current m... More for Aquarius https://t.co/RyxXhUM5Xn,1520765122012016646,King_Givenchy
Traveling for the next 2 weeks! I really don't need givenchy i need jesus bc this is insanity!,1520764242068230145,JustAStanOrWTV
"someone said it's 11 photos within 3 months, but no matter how many times i counted it, it's 9 (3 givenchy, 2 mlb, 4 coachella) 😁",1520761551787274240,starrykavin
i forgot she had a contract w givenchy so they did her looks every year https://t.co/zgp4AIO6Q6,1520758304636555265,colormetaay
"Jack Harlow: you don't need Givenchy you need Jesus
Me: https://t.co/W92Y9uO3Nf",1520755201917046785,SkyeTutu
"no i aint rockin givenchy
switched that shit to saint laurent
https://t.co/e8Q8S8VKac",1520743987841310726,xPaaarK
Il me faut absolument le son Rvlxam - Givenchy sur Apple Music,1520743261094264833,aldenfinalfx03
Givenchy,1520742989844287488,kimtheislander
"Who's ready for Kim Kardashian's 9th Met Gala?
2013 - Ricardo Tisci for Givenchy
2014 - Alber Elbaz for Lanvin
2015 - Peter Dundas for Cavalli
2016 - Olivier Rousteing for Balmain
2017 - Vivienne Westwood
2018 - Versace
2019 - Thierry Mugler
2021 - Demna for Balenciaga
2022 - ? https://t.co/jpuASbzE21",1520739565270675457,sirSHALLY
"jack harlow was so right for ""you don't need givenchy u need jesus""",1520738164520140800,jazhatescalz
How yal thick bitchs wear these givenchy boots? Cause why they don’t go up my legs 🥺 and I went up a size 🙄,1520734667766382592,sy_bananas
That Givenchy number in the second frame remains my fave https://t.co/ElaslB9dqU,1520734604302467072,LukeIzaks
“You don’t Givenchy you need Jesus.”,1520731838427262977,ucewaynee
Every time is smell this Givenchy lotion I get ptsd. Bruhhh first three days of that trip was a disaster. Never again dear lord 😂,1520729028080160770,bhadgirlcoco
looking like givenchy and you bitches giving ross,1520726987056287746,Big_Daddy_Vee
So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #givenchy #valentinogaravani: https://t.co/vTcGTjBBPO https://t.co/Rfwg0cuSp9,1520726986137620481,deannefdrake
"Nice,@_i_lona @Cryptelle1 @givenchy @niwreg https://t.co/nWC12m92EX",1520725799061622784,Raoulkuik
Out And About With My Drop-dead Givenchy Coat. Wild Hoe Be On The Loose.,1520724524852912129,GucciOsclde
Y’all don’t need givenchy y’all need Jesus,1520722066814631937,xanil_7777
Givenchy L’Interdit https://t.co/udJIQ6b0st,1520719359819276290,danfs000
"Don’t Count Any One Out….. 
Sometimes the underdogs Turn into legends 💯 

MAY is An Unusual Month Of Bless Blessings 🙏 🙏 🤲.

Outfit Design- Paul Cyprus🇨🇾 
Styling- Dave Adams 
📸- BJ STUDIOS
GIVENCHY 👞- OZ Shoe Collections https://t.co/uBzxwEhk98",1520713580349468673,iamnonsolomon
"This ain't no Gucci this is Givenchy
I'm with the gang in New York in a Bentley https://t.co/5dfIOf7fkd",1520712521082155009,s7abnee
GIVENCHY New 38 Black Zip Collar Wool Blazer $1560 https://t.co/SY4MdYyJbG eBay https://t.co/GTOJjRzmRu,1520710256250089472,BlazersMen
Looking like Givenchy and you bitches giving Ross,1520692420215775234,ms_lildebbies
I got blood on my Givenchy’s,1520688550857089024,PacHenley
"Both Patrick Hughes pies of art will be grails on the app. They mirror very high real world value, innovation and are extremely enjoyable. Felt the same way about Givenchy Pride. #patrickhughes #veve #VeVeFam #modernart",1520682949187936257,SilverBackOmi
"You don't need Givenchy
You need Jesus",1520678741982150656,shadowlizwarren
"You don’t need Givenchy, you need JESUS! 
-JH https://t.co/IUExJvPst1",1520675254946906118,johnson_jr18
Givenchy Turnlock Navy 2 Way Bag - 01200 Shoulder Bag Handle Bag https://t.co/7GsaTQXyQ9 eBay https://t.co/u0iLuOHJu8,1520669624320200704,HandbagsBags
Givenchy Turnlock Navy 2 Way Bag - 01200 Shoulder Bag Handle Bag https://t.co/Goybc511hm eBay https://t.co/qlDbLNLmgH,1520669620843073537,WomenBagsandHa1
"PATEK PHILLIPE, GIVENCHY TEE
I NEED A MIL', BEEN IN THESE STREETS",1520663829704843264,pop_smoke_lyric
