full_text,tweet_id,screen_name
"Slab 6.
Shipping info in pinned tweet.
- BGS 9.5 Gleyber Torres refractor: $22
#UMBstack #thehobby @Hobby_Connect @HobbyConnector @CardboardEchoes @sports_sell @TheHobby247 @HobbyRTs @hiveretweets @sportscardsflRT @Dailysportcards @sportscardhoby https://t.co/Qz9fafak8G",1520898680890572803,UltraModernBall
"Twitter isn't perfect, but it does allow me to do things I couldn't do otherwise, like ask Gleyber Torres what his favorites Decembrists song is.",1520895831838277638,NunanRMC
2019 Stadium Club Chrome Gleyber To #thehobby https://t.co/5KwIZoE9Sf,1520885004636729346,HR_cards
Miguel Andujar is a better hitter than gleyber torres,1520870893588828161,sheffsaysftwat1
The double play from Gleyber Torres is really hurting us now…,1520866687104557056,JayJay_NYY
"I here reaffirm my past statements Gleyber Torres is a bum. Bases loaded and an opportunity to at least push one more run and what this idiot does? Swing for the fences and when he fails, he takes a defensive swing and hit into a an inning-ending double play.",1520866667596632064,bronx_ed
There’s not a team in MLB that would give up on a 25 year old Gleyber Torres. https://t.co/7XscBJxkTk,1520866453565628417,nateDJay
Another DP for Gleyber Torres…Rally Killer. Please sent him to Scranton Triple A. Oswald Cabrera can’t be any worst. https://t.co/D1LBZw6Ih0,1520866381230657537,mealicea9
"Gleyber Torres is 1/3 of the player he used to be. Sad, really.",1520865932377210886,BillDeFilippo
gleyber torres needs to go. my god. how can you mess that up????? https://t.co/Hf7jhFMlhj,1520865902127951872,noroohs2
"GLEYBER TORRES GROUNDS INTO A DOUBLE PLAY WITH BASES LOADED.🙄🙄🙄
#Yankees #GlyeberTorres https://t.co/glkLekVgZ6",1520865662285058056,MichaelKeithDa2
Can we trade for 2019 Gleyber Torres?,1520865635588362243,Sarajane_99
What trade value does Gleyber Torres have left?,1520865511533338624,camwoolleyshow
"Gleyber Torres can't tack on more runs .. GIDP to end the threat
#Yankees 5 #Royals 4 B7 https://t.co/Gn0xV0k7AL",1520865383275802624,Sports_24x7_
"I don't know. Gleyber Torres is a liability. Guy needs to find his swing again, and soon.",1520865312819847169,MichaelVadas
Gleyber Torres... I really hope that the Yankees change this guy..💩💩💩,1520865296617140225,iThePunisher_LP
"Ladies and gentlemen, Gleyber Torres! https://t.co/dUjAxYoCea",1520865249196453888,NeilKeefe
Gleyber Torres is 🚮,1520865245262233602,LuffyTheKid81
I don't care no more please ship Gleyber Torres out of here!!!!!!!!!!!!,1520865182347579394,MikeJay75712347
#NYYvsKC - Gleyber Torres. https://t.co/Q75dCdGhVJ,1520865153553682433,TonyBarrios_24
I cant stand this fucker Gleyber Torres he is fucking dog shit! George would’ve never put up with him,1520865134452817922,DemocratStupid4
Gleyber Torres - when he's not groundout/pop out/foul out he's hitting GIDP. 🤦🏼‍♀️ FFS,1520865067750895616,Annies_Oakleys
If the Yankees lose it will be because of that Gleyber Torres at bat,1520865014378287104,CanyonofHeroes_
i hate gleyber torres with everything in me,1520865011597467649,FrostAdvisory69
Gleyber Torres sucks!!!,1520864999132045319,SalBerritto1
Gleyber Torres. Rally killer.,1520864940160073729,ilabachrn
Gleyber Torres makes me sad,1520864938172071939,CTWeigs
Gleyber Torres is fucking dogshit and I don't regret that statement at all,1520864934782976000,anatalizio0523
Gleyber Torres is fucking garbage,1520864914700709888,billyfeola
Gleyber Torres stinky. 🗑,1520864889492975622,Straw_Manning
Gleyber Torres is so bad,1520864887433740288,jsilverman81
Gleyber Torres is booty cheeks. #NYYvsKC,1520864773990191104,HalSteinbrainer
Gleyber Torres swing just looks so uncomfortable. #Yankees,1520864695921651713,Sunnydays142
gleyber torres grand slam,1520864395647234051,jvIias
Gleyber Torres be useful challenge,1520864235856838659,HoodieMaybin
"Yankees  5  (Batting: #25 Gleyber Torres)
Royals  4  (Pitching: #58 Scott Barlow)
Top of 7th, 1 Out, Bases loaded",1520864090746507264,OllieNYankees
Gleyber Torres sucks,1520856469788192768,stickyclicksm
"Gleyber Torres completely robbed by the camera man NOT standing his ground.

#Yankees",1520855901573427200,JoeGelsomino
Gleyber Torres is a numbnuts if ever I've seen one. #NYYvsKC,1520855899107209216,HalSteinbrainer
Gleyber Torres: No. 5 hitter.,1520855884733288450,NeilKeefe
"I am so tired of Gleyber Torres. That ""shhh"" gesture they were doing at the end of 2019 must have been to be quiet about juicing, because that boy ain't been SHIT since.",1520855879976951808,Noles212
GLEYBER TORRES SHOULD AUTOMATICALLY BE BUNTING IN THAT SITUATION.,1520855843553611776,billyx18
Fucking Gleyber Torres always finds a way to piss me off. #Yankees,1520855823819448321,YankeeFan_3
"Yankees  3  (Batting: #25 Gleyber Torres)
Royals  4  (Pitching: #45 Taylor Clarke)
Top of 6th, 0 Out, Man on first and second",1520855274759901191,OllieNYankees
"Brian Cashman has been on record in the past saying “I can’t trade Gleyber Torres, I have to walk around in this city” yet some people think they wouldn’t resign Aaron Judge",1520848992103411714,YanksBar
"Top reasons people think the Orioles moved back the wall:

5. They hate Gleyber Torres
4. They hate Buster Olney
3. They hate their own hitters
2. They hate baseball and fun
1. They hate you",1520848661772750849,mattkremnitzer
"RONALD ACUNA JUAN SOTO GLEYBER TORRES 2020 DYNASTY 3 PATCH On Card AUTO 1/5 1/1

Ends Mon 9th May @ 2:19am

https://t.co/oxtJkrMOei https://t.co/SLMvQfMtwj",1520836794123759617,America52498360
2016 Bowman Chrome Prospects Re #sportscards https://t.co/kDKsriRuPD,1520833590015270913,cardwatch123
"Gleyber Torres 8-pitch AB ends in F9 for the 3rd out
#Yankees 1 #Royals 0 B1 https://t.co/QVNr43BBug",1520832028182302722,Sports_24x7_
"Cont: 1 out. Josh Donaldson works a WALK. Giancarlo Stanton flies out to CF. 2 outs. Gleyber Torres flies out to RF, to end the inning. *Pitcher threw 33 pitches this inning. 1-0 #Yankees #NYYvsKC #RepBX",1520831923236622340,YDugout99
"Yankees  1  (Batting: #25 Gleyber Torres)
Royals  0  (Pitching: #52 Daniel Lynch)
Top of 1st, 2 Out, Man on first",1520830744159035395,OllieNYankees
"Gleyber Torres is back baby!!!
Refractor RC Auto: $150
Blue Wave RC Auto: $250
Mini POP 8. $200
Hi Tek Auto. $125 https://t.co/D4xepXR9bw",1520825216628318208,ArumsCards
"Gleyber Torres vs #Royals (rated A+)

A+ vs SP Daniel Lynch
C+ vs Royals bullpen

4.62 projected PAs
To hit a HR: 10.5% (+852)
2+ hits: 31% (+220)
2+ bases: 45% (+121)

#RepBX https://t.co/FwJoVmwXPL",1520800317453086720,BallparkPal_NYY
2019 Stadium Club Chrome Gleyber To #thehobby https://t.co/pbOSYffgey,1520792118255665152,HR_cards
"Today’s #Yankees lineup: 

DJ LeMahieu 1B
Aaron Judge RF
Josh Donaldson 3B
Giancarlo Stanton DH
Gleyber Torres 2B
Aaron Hicks CF
Miguel Andújar LF
Isiah Kiner-Falefa SS
Kyle Higashioka C

Luis Severino SP",1520782451345403904,NewsBronx
"#Yankees Lineup 05/01/22

1. DJ LeMahieu 1B
2. Aaron Judge RF
3. Josh Donaldson 3B
4. Giancarlo Stanton DH
5. Gleyber Torres 2B
6. Aaron Hicks CF
7. Miguel Andujar LF
8. Isiah Kiner-Falefa SS
9. Kyle Higashioka C

Starting Pitcher : Luis Severino",1520781462873595904,DailyMLBLineup
"5/1 New York Yankees Lineup:

1 CF Aaron Hicks
2 RF Aaron Judge
3 DH Josh Donaldson
4 LF Giancarlo Stanton
5 1B Anthony Rizzo
6 3B DJ LeMahieu
7 2B Gleyber Torres
8 SS Isiah Kiner-Falefa
9 C Kyle Higashioka

 SP:Luis Severino #RepBX  #MLB",1520781448223117315,GSMLBPicks
"New York Yankees lineup:
1. DJ LeMahieu (R) 1B
2. Aaron Judge (R) RF
3. Josh Donaldson (R) 3B
4. Giancarlo Stanton (R) DH
5. Gleyber Torres (R) 2B
6. Aaron Hicks (S) CF
7. Miguel Andujar (R) LF
8. Isiah Kiner-Falefa (R) SS
9. Kyle Higashioka (R) C
https://t.co/Y3W1k9vpkY",1520780785757962240,AwesemoMLB
Gleyber Torres’ expected numbers continue to climb. https://t.co/XlBEDcX0Ud,1520768113402593280,YankeeSource
"Gerrit Cole, Bullpen Shutout Kansas City Offensively , Isiah Kiner -Falefa , Gleyber Torres Provided The Offense As New York Extended Winning Streak To 8 Games With 3-0 Win Saturday  https://t.co/jdwbV4OF6s",1520767554658177028,AbigailHustle
Gleyber Torres 2018 Topps Chrome Ro #thehobby https://t.co/QBXhWeO5IA,1520735216511430658,CardCrawler
"2018 Topps Pro Debut Gleyber Torres #50

👉 $2.50 + Shipping
👉 PayPal Link: https://t.co/3ceFXu9B6m

@CardboardEchoes
@84baseballcards
@TheHobby247
#tradingcards https://t.co/ft7vm6GFy4",1520728091798216704,blackriverbc1
2017 Bowman Chrome GLEYBER TORR #baseballcards https://t.co/GXB6AiH7Hu,1520676482263265286,FinderCard
"4/30/22  Gleyber Torres, IKF drove in runs and Gerrit Cole throws six shutout frames in #Yankees Win😊👍👍 #RepBX https://t.co/XmBwpLnaSl #MLBFilmRoom via @MLB",1520639730781589504,RonBF
"Lineup Prediction 

1. DJ LeMahieu - 3B 
2. Aaron Judge - RF 
3. Anthony Rizzo - 1B (L) 
4. Josh Donaldson - DH 
5. Gleyber Torres - 2B 
6. Aaron Hicks - CF (S) 
7. Isiah Kiner-Falefa - SS 
8. Tim Locastro - LF 
9. Kyle Higashioka - C",1520612680704442368,papa_gleyber25
YANKEES WIN The Yankees won their 8th straight game as they shut out the Kansas City Royals 3-0. Gleyber Torres was 2-3 including 1 RBI. Gerrit Cole (2-0) started &amp; pitched well. Yankees improved their record to 15-6. They’ll go for the sweep tomorrow. LET'S GO BRONX BOMBERS. https://t.co/w8HXgldCC8,1520606296390610944,TigerMike77
2019 Stadium Club Chrome Gleybe #baseballcards https://t.co/NfrzXIvHX2,1520596190307532800,FinderCard
103-wRC+-Haver Gleyber Torres,1520593127588909056,YankeesFiles
"Yankees win over the Royals 3-0. 8 straight wins for the Yanks who are now 15-6 on the year. Quiet offensive night compared to yesterday, but the pitching was stellar once again as they cruise to a shutout

Top Performers:
Gleyber Torres: 2-3, RBI
Gerrit Cole: 6 IP, 0 R, 5 H, 6 K",1520588734575661057,DylanBacker_
Gleyber Torres on deck if Stanton hits a grand slam here.,1520585612339732481,BHIndepMO
