full_text,tweet_id,screen_name
#NowPlaying Gloria Estefan - Don't Wanna Lose You https://t.co/SJGTSnECCT,1520907183650713602,247RadioQUK
Gloria Estefan &amp; Miami Sound Machine - Anything For You (1988 Redeye Exp... https://t.co/8dBAvhPHFC @YouTubeより,1520903046728876033,vNi233vrU7FUp2c
Gloria Estefan &amp; Miami Sound Machine - Anything For You (Live From Seul ... https://t.co/Nn2Q6aosq9 @YouTubeより,1520902683342778369,vNi233vrU7FUp2c
Words get in the way - Gloria Estefan w/ lyrics https://t.co/BkIstmeY0c @YouTubeより,1520901917081104384,vNi233vrU7FUp2c
Gloria Estefan - Don't Wanna Lose You (Official Video) https://t.co/RZeXPUCa7h @YouTubeより,1520900377448787970,vNi233vrU7FUp2c
GLORIA ESTEFAN - OYE MI CANTO (HEAR MY VOICE),1520897094957125633,radiocalabriafm
Now Playing: 'GET ON YOUR FEET' by 'GLORIA ESTEFAN',1520866718737780736,3FMradiomusic
"@MattCollabro 
Just one or two ideas for your Divas concert. 😊
Evergreen - Barbara Streisand 
Anything For You - Gloria Estefan 
Strong Enough - Cher
One Moment in Time - Whitney Houston. 
When We Were Young - Adele 
Can't wait for this. 🥰",1520859178239156226,stephan19573
✨🙏🏼🧿 Manifesting Conga by Gloria Estefan next time I ride Cosmic Rewind 🧿🙏🏼✨,1520858463366270978,DankNFurter
Made a simple lunch and listening to some Gloria Estefan! 🥳 https://t.co/cZLIt1rQUW,1520835432325402624,_SteelyFran
Gloria Estefan - Turn the Beat Around (The Very Best of Gloria Estefan) https://t.co/ktbRJQLJ0a,1520821574575742977,KZSCspins
"BUY 25%-31% OFF TICKETS NOW
""ON YOUR FEET! LA HISTORIA DE EMILIO Y GLORIA ESTEFAN"" ¡EN ESPANOL!
$30 - $45
Thu May 5, 2022 - Fri May 13, 2022
at GALA Hispanic Theatre, Washington
Don't miss the world premiere in Spanish of the jukebox musical that took Br https://t.co/gyRUAvWhmF",1520818760239656961,HalfOffWashDC
Gloria Estefan - Rhythm Is Gonna Get You (Official Video),1520786970095534082,Radiolafusion
#NowPlaying Gloria Estefan &amp; Miami Sound Machine - Anything For You https://t.co/a4VqTxdb4q,1520776835512119299,peterbierhof
"#7.

""Can't Stay Away from You"" is a 1987 single by American singer &amp; songwriter Gloria Estefan, credited to Estefan &amp; her former band, the Miami Sound Machine.",1520771403510956034,SundownerTV
Gloria Estefan - Coming out of the Dark https://t.co/djFG2ZhD4Y via @YouTube,1520770779494981635,refinish69
"NOW PLAYING | Gloria Estefan - Oye Mi Canto
TuneIn: https://t.co/VKE33OWJl7
Web:https://t.co/8djwR3KaXv",1520770765452455937,LATITUDFM
Hits rewound(GLORIA ESTEFAN---TURN THE BEAT AROUND)🎧↩️🔊🔊⏪📼⏪📼⏪📼⏪📼⏪📼⏪📼⏪📼⏪📼⏪,1520758273758138369,MarcJ00
Top greatest hits music rock pop now playing: Turn The Beat Around (1994) - Gloria Estefan on https://t.co/MqRiE6QAUI https://t.co/VDpcFfsRmy,1520756969400905730,Musicstradio20
Let's go and enjoy: Anything for You - Gloria Estefan on https://t.co/jb6stDqK8O https://t.co/4TTiDqPEWs,1520743881943490568,stradiost11
Gloria Estefan - Hoy (from Live and Unwrapped) https://t.co/AbMhOVhE0o via @YouTube,1520710318917361664,Pascal43779379
Now Playing:  Gloria Estefan &amp; The Miami Sound Machine - Conga   Listen Live: https://t.co/HdPs3ksq6g,1520693419890380800,ADLWebRadio
"It’s been ages since I’ve been out, so super aliw ako sa all-female 80s lineup ni Kuya Grab. So far, Debbie Gibson, Irene Cara, and Gloria Estefan",1520686813735952386,arkiCpsanti
Gloria Estefan - Oye Mi Canto (from Live and Unwrapped) https://t.co/q2wnXMZZJ1 via @YouTube,1520641181142634498,CiroBrajer
Get On Your Feet | Gloria Estefan | Saturday Nite Party,1520639536715468800,WZIGfm
Mr. Bill Radio is playing Anything for You by Gloria Estefan KKMB-DB #60s #70s #80s #ClassicRock #music #radio https://t.co/NrQxjLdSEx https://t.co/0MoqDUVQ8J,1520614099318673414,MrBillRadio1
"Now playing Rhythm Is Gonna Get You - Gloria Estefan  at https://t.co/5RmFVIOTSZ 
Focus on Future

Focus on Future",1520578485856710657,4Master_Servant
"'Notable Immigrants' list in my curriculum:
Albert Einstein GER
Greta Garbo SWE
Samuel Goldwyn POL
Patrick Ewing JAM
Alexander G Bell SCT
Isaac Asimov RUS
Felix Frankfurter AUS
Bob Hope ENG
Bela Lugosi HUN
Martina Navratilova CZE
Gloria Estefan CUB (spelled ‘Estafan’ in the book) https://t.co/iskgWxaHni",1520517987815542784,natebyr0n
Gloria Estefan - Rhythm Is Gonna Get You (Official Video),1520498583539224577,Radiolafusion
Now playing Bad Boy by Gloria Estefan!,1520466547889876994,DESIFOTOLISBOA
Now Playing: 'RHYTHM IS GONNA GET YOU' by 'GLORIA ESTEFAN',1520464484032290817,3FMradiomusic
Gloria Estefan even then I could see the absolute beauty of a woman and all she entailed. And as beautiful as ever today @GloriaEstefan 💕💕 https://t.co/0OUaxayBIF,1520439432524046337,MrsLouiseWS
"Gloria Estefan, Miami Sound Machine - Can't Stay Away from You",1520412901437288450,RadioBeccles
Gloria Estefan - Hoy (from Live and Unwrapped) https://t.co/AbMhOVhE0o via @YouTube,1520407608913539079,Pascal43779379
"Gloria Estefan, 'N Sync - Music Of My Heart https://t.co/pprVOtW4mo via @YouTube",1520403489549037568,laksupalak
Gloria Estefan - Can't Stay Away From You (Official Video) https://t.co/NdCRmOVi2p via @YouTube,1520402422971174915,refinish69
"“My guitar and singing was my way of crying.”
- Gloria Estefan.

ANJI FeelsTheConcert 
#AnjiSalvacion",1520356196766871553,444H0UR
"💖💖Reach by Gloria Estefan (Lyrics)
https://t.co/PYiPWcINzN",1520350364553392128,Npenns
music 24/7 now playing Music Of My Heart - N-Sync &amp; Gloria Estefan on https://t.co/Akde2uM66g,1520348823360528384,Top_Radio_
Listen -----&gt; https://t.co/ZZTAWPrsLB &lt;---- Gloria Estefan - Get On Your Feet - Single Gloria Estefan Carolina Classic Hits https://t.co/9kLAmxKdXS,1520300697681637383,MyClassicHits
"#fivesongsiheardtoday

Under The Darkest Moon - Boo Herwadine and Darden Smith 
You And Me - Boo Herwadine
Words Get In The Way - Gloria Estefan 
Waterhole - Dina Indrasafitri
Naomi - Nelson Riddle

https://t.co/9ROx7bKpN9",1520298698919452673,BudapestZani
"NOW PLAYING | Gloria Estefan, Miami Sound Machine - Conga
TuneIn: https://t.co/VKE33OWJl7
Web:https://t.co/8djwR3KaXv",1520284098190843904,LATITUDFM
"Gloria Estefan Hold Me, Thrill Me, Kiss Me Live, 1993 https://t.co/met5dAs0XF via @YouTube 

One of my favorite singers.  Awesome performance.  Enjoy.",1520252608111603713,PeaMyrtle
Gloria Estefan did her thang with the rhythm is gonna get you,1520251203707600896,Live2give3
"Goodnight, My Love  GLORIA ESTEFAN https://t.co/AZCxHSXcaP via @YouTube 

She does an awesome performance.  Love the lyrics.",1520249831142268928,PeaMyrtle
"Imagine they made T-shirts that had Gloria Estefan y la bandera de Cuba and the Gators 

Like they do in Miami",1520246788703211522,I_love_TRSMIAMI
For some reason during the NFL Draft stream they keep playing Conga by Gloria Estefan and it is gonna be stuck in my head for a month now.,1520223197827944448,adhesiveslipper
Now Playing Don’t Wanna Lose You by Gloria Estefan on Mr. Bill Radio KKMB-DB #60s #70s #80s #ClassicRock #music #radio https://t.co/NrQxjLdSEx https://t.co/plUDb4aMLK,1520217688810962944,MrBillRadio1
Gloria Estefan &amp; Miami Sound Machine - Anything for You https://t.co/kI4sut06r1 via @YouTube 🥺🙏,1520190216061005827,gemma8407
Now Playing : Gloria Estefan &amp; Miami Sound Machine - Dr. Beat On Shine 879 DAB - Download the Shine 879 App Today! #shine879 #radio #nowplaying,1520180668751355904,Shine879
