full_text,tweet_id,screen_name
"This tweet is to let @nicolebyer know how awesome she is. 

She steals the show in everything she’s in!! Been watching Grand Crew again and she’s fabulous",1520912739815854082,Mister_Hall
"Bears capture 47th Eastern Sprints with five Grand Finals wins!

📰 - https://t.co/Z3LmZrGB0W

#GoBruno https://t.co/KdK2SkHiQB",1520906947016499201,BrownWRowing
The novice 4 crew completed the WIRA Championships for @SPUrowing with a 6th-place finish. The first-year Falcons found themselves in a great grand finals field full of NCAA Division I foes. Watch the race here -- https://t.co/uf1HSj7gZa,1520859852309901312,SPUsports
I like @j_montgomery21 doing @RoyalsRadio commentary.   Don't know if this is a grand @mellinger plan or if someone on crew is off this weekend but Denny &amp; Jeff sound great together.   #TogetherRoyal,1520858723555577856,bballkansas
"The Breakdance Crew finals in the Grand Finale last night was an epic battle.  Congratulations to the 619 Crew on winning this 👏. 
#GloBattleOfTheYear https://t.co/KhG4tngUM2",1520858192548446208,omogeOlaide
"Chicago! SmartMove Furniture Grand Opening is TODAY and you know how we do at Grand Openings 😏 Make sure to pop out with @RawTvRadio and the crew as there will be drinks, food and of course entertainment! Located at 344 E. 71st St! 

#Chicago
#ThisisChicago
#Power92Chicago https://t.co/d9iWHI5zHY",1520853954116136962,Power92Chicago
"I need a new show to watch I'm only passively watching reality tv right now just finished abbot, grand crew, ghosts, American auto, pivoting and woke. waiting to watch black lady sketch show &amp; Atlanta with my sister &amp; dad next month, any suggestions????",1520842601989029888,holisticallyeli
It's 2022 and it feels good to have LAN w/ crowd! The excitement is there even though the production crew is working in a studio. Congrats to @GG_RSG for lifting the trophy in the third season Grand Finals. #MPLSG #S3 #GG_RSG #EVOS #mobilelegendsbangbang #esports #BehindTheScenes https://t.co/RNe7wkYFJK,1520827436270710784,DeQueue94
Ok I like Grand Crew,1520811137784295424,Brannnn_g
"Good luck to the cast and crew of @bedknobsonstage you have been amazing and its been an absolute pleasure to have you with us at the Grand Opera House this week.  

Still absolutely fangirling over the delightful @dipilky 😍",1520800368074108929,nicole_mckeown
Grand Crew is fantastic. Go watch it.,1520797336254881793,StanislausFilms
The crew from @SPUrowing finished third in the varsity 8 grand final Sunday morning at the WIRA Championships on Lake Natoma. NCAA Division II West Region rivals Western Washington &amp; Cal Poly Humboldt placed one-two. Watch the race here -- https://t.co/ZPuLV6qGaA,1520796512283873282,SPUsports
"Episode 66 is LIVE!

The Crew goes through a BEHEMOTH of content, discussing new Legends releases, Producer Video #6, Version 12.0 Update, Level Limit Break Power-up System as well as Grand Voyage!

Check it out now!
https://t.co/VNMRzWEfgW https://t.co/IzeYUaIT84",1520795188083318789,ggppodcast
One hour until the first grand finals race for an @SPUrowing crew at the WIRA Championships on Lake Natoma. The NCAA Division II varsity 8 event starts at 8:40 a.m. Three other Falcons boats will also compete Sunday morning. Watch live online here -- https://t.co/1ce887f07x,1520776636739645442,SPUsports
Did anybody else watch Grand Crew? #GrandCrew,1520774953385222144,IamNikaWatkins
"Today the crew met 1 year on from our first official meeting to discuss plans going forward. We are excited to announce that we so far raised a grand total of £33,623.23! https://t.co/H8orEocZdA",1520748771977617421,istead_park
"Where’s the 8:00 a.m. crew at?! I’m here at Turnstone this morning to watch 94 Feet Elite (17u) vs. Grand Park Premier UAA (17u).

We are locked and loaded for another full day of hoops at Run N Slam!!! https://t.co/wSNOnmQwtk",1520734101833236487,BRamseyKSR
TB to LE CREW MASSIVE down at Grand Canal Dock!!! Tag your mates so Leaf doesn’t seem such a stalker… #leaffaceofficial #leafface #dublinstreetart #irishstreetart #dublinstickers #leaffaces #streetart #stickerart #dublinstreetphotography #dublin #dublintown #dublincity https://t.co/uXLgo4POmj,1520733588517490690,leaffaces
Sarukani 🇯🇵 | GRAND BEATBOX BATTLE 2021: WORLD LEAGUE | Crew Showcase https://t.co/8VZxU8mqmh @YouTubeより,1520697058566361088,stnucpp5561
Here's your chance to WIN a @Crew_Clothing shirt signed by Celebrity Series Grand Finalists including @georgiebingham @officialkeith @Robbie9Fowler @15GavinHastings @mrdanwalker 👉 https://t.co/PWE41NkRsA https://t.co/YMZH2nm4OV,1520697031865610248,euLegendsTour
"My favorite shows rn:

1. Atlanta 
2. Grand Crew
3. Abbott Elementary
4. Young Dylan",1520650646831128576,BlackAndSuper
"The Coach. The Analyst. The CEO. The Captain.

The Smart Omega ML crew is here! Isang oras nalang bago ang balagbagan para sa Grand Finals! 💚💙

#OneShotOmega #SmartAko #SmartOMG #OMGML #PAYMAYA #UnleashTheBeast #MLBBEsports #MPLPhilippines #LakasNgPinas #BeLegendary #MPLS9 https://t.co/RhX3WQP8Kh",1520644900102221826,OmegaEsportsPH
Sarukani 🇯🇵 | GRAND BEATBOX BATTLE 2021: WORLD LEAGUE | Crew Showcase https://t.co/m0oq3IBgVj @YouTubeより,1520579516179320833,amamori_25
"Had a lovely day yesterday, slowly winding our way up the Grand Union canal to Hunton Bridge.
The weather was gorgeous, not a cloud in the sky. 
Such a beautiful way to celebrate my son’s birthday.
A big thank you to our boat crew, Michael, Lucie and Seamus at the @WaterwaysEXP. https://t.co/7I1vgaxQjA",1520568966665678853,RebelCallSign
@AmericanAir if my ORD flight isn’t leaving just let us know.  Been at Grand Rapids so long I should be a resident.  If your crew times out YOU need to get a new crew,1520563523314667521,Biledo
"14KG, Crew, Band and Director’s are bringing home Grand Champion at Nationals! Check out the trophy’s that are heading home! https://t.co/dbp8cNcwed",1520535184738852864,gottwins0821
All four Falcons crews advanced to Sunday's grand finals after a good day of heat racing at the WIRA Championships on Lake Natoma. Saturday's highlight for @SPUrowing was a 1st-place performance by the varsity 4 crew. Read the recap &amp; view videos here -- https://t.co/t6HsOUs68o,1520529908086173697,SPUsports
"Went by the @LimitedRunGames  Grand Opening and grabbed a shirt and Scott Pilgrim, even by noon the line was a few hours long to get into the store, so we stayed outside and saw the @mega64 and @MyLifeInGaming crew. Great event, I'll be back on a random day to check out the store https://t.co/kWUpGAtNX7",1520520510798548996,Xonticus
"#GROWatthwGrand comes to a close tonight at the Grand.

#Bravo to the amazing cast &amp; crew of this NEW 🇨🇦 production!

#Thanks to Title Sponsors Michael &amp; Stephanie McDonald and Season Sponsor @bmocanada for making this🌍 premiere possible!

📷: The cast of GROW
📷 by: @DahliaKatz https://t.co/g4BIc5BXol",1520516723027419137,thegrandlondon
The @SPUrowing novice 4 crew registered a 2nd-place finish in this afternoon's heat race to advance to Sunday's grand final. The Falcons time of 8:48.92 positioned them as runners-up to UC Santa Barbara.,1520514830297288704,SPUsports
Pictures before Grand March done for the youngest and her crew... https://t.co/sdmcbxiRGI,1520509425995427841,Astroliar
What are y’all’s thoughts on Grand Crew?,1520492909170204674,WGSMS
"I want to see more creativity, Choreography, and dance routines from most of the winners in Grand Finale. It was the breakdance crew finals and I expect nothing but the best.
Tonight is gonna be 🔥🔥🔥.
#GloBattleoftheYearFinal https://t.co/7W9nBzlHe8",1520482864063823872,gbelex_kid
"Feels wonderful seeing individuals of different backgrounds come together as a Crew in Grand Finale across 6 regions in the #GloBattleoftheYearFinal 

The event is  happening live right now https://t.co/Tkf8AUJgHG",1520478056938418177,dr_ayotunde
"I'm out for some creativity, Choreography, and dance routines from most of the winners in Grand Finale. It was the breakdance crew finals and I expect nothing but the best.

#GloBattleoftheYearFinal https://t.co/fYFhm6UDhU",1520477747008741383,Oluwaseyi_13
It's great to see individuals of different backgrounds come together as a Crew in Grand Finale across 6 regions in the #GloBattleoftheYearFinal https://t.co/i6yzYrYCnh,1520477649201676288,Oluwaseyi_13
It would be wonderful seeing individuals of different backgrounds come together as a Crew in Grand Finale across 6 regions in the #GloBattleoftheYearFinal https://t.co/xoVxPhPR93,1520477569015070722,sammiejozie
"I crave more creativity, Choreography, and dance routines from most of the winners in Grand Finale. It was the breakdance crew finals and I expect nothing but the best. #GloBattleoftheYearFinal https://t.co/F9u8uLBti3",1520477366719500289,HIDERABBY
"I want to see more creativity, Choreography, and dance routines from most of the winners in Grand Finale. It was the breakdance crew finals and I expect nothing but the best.

#GloBattleoftheYearFinal https://t.co/7Zv6DeXyWh",1520477289166868480,sammiejozie
