full_text,tweet_id,screen_name
Sure! It's fun. I like Guillermo del Toro stuff in general — Same I’m sure I’d like it!  https://t.co/BbGU3mDiqs,1520907996561293313,cosmic_creepus
“People are desperate to tell you who they are. Desperate to be seen.” Watched Guillermo del Toro’s extraordinary Nightmare Alley https://t.co/5Ui17N1jBS,1520904432862511106,seanjcostello
"I love the dating after 50 sites that entice you with profiles of 30 to 40 year old 'seniors' but what you actually get looks like a directory of the dementia wing at an assisted living facility in a Guillermo del Toro film.
Maybe that's just the free level.",1520898318464954373,exobscuritas
"Nightmare Alley and the best modern film noirs. #NightmareAlley #bluray #dvd 
https://t.co/dkKmK4AOIM",1520875408778055688,imajicaman
Nightmare Alley and the best modern film noirs https://t.co/VQl2y1j1D4,1520868261310652419,Eduardo21dc
"Ah, yes, Polytypic Buckshot Shirtman. They will be played by Guillermo del Toro.",1520853587051618306,KojimaName
"A rare occurrence this weekend: I watched two underwhelming, thoroughly dissatisfying films back to back, by filmmakers I otherwise respect. Stayed up too late rewatching a necessary palate cleanser, secure in the knowledge that Guillermo del Toro will never let you down.",1520818341602021376,ShepcatZero
I'm trying find a role for Guillermo del Toro do you think Unnamed Filles Anabaptismman would be a good role for them?,1520802816025108481,KojimaName
I'm trying find a role for Guillermo del Toro do you think Cantering Water buffalo would be a good role for them?,1520787718451646468,KojimaName
Nightmare Alley and the best modern film noirs https://t.co/gWDE7WjIGq,1520759554241445891,Cinemathon
netflix better sleep with their eyes open if i don't get to watch my guillermo del toro's stop motion pinocchio film. https://t.co/ChmqDN7xCf,1520759158341251072,bonaeartes
"On page 143 of 585 of The Strain, by Guillermo del Toro https://t.co/xO1pJEwyK0",1520740770478764033,limecola11
"On page 81 of 585 of The Strain, by Guillermo del Toro https://t.co/QyHInGJmb3",1520723185439854598,limecola11
"These are, in our opinion, excellent lessons in del Toro-ology. #Film #Movies #Geek #Monsters https://t.co/zyqI2FyEa4",1520719932924825600,WanMonCast
