full_text,tweet_id,screen_name
#MetGala 2015: Rihanna's golden Guo Pei look was one for the books 🙏 https://t.co/ENYoYQ4DMH https://t.co/8Au7kMO3rJ,1520868450733801474,wearesugareal
MET GALA 2015 Guo Pei gown worn by @rihanna https://t.co/SpoLhoQc0w,1520861189076668418,GhadaO
guo pei haute couture s/s 2018 beauty details https://t.co/hUH4c2cP21,1520822941956542464,CHERRYH3AVEN
ICYMI: Rihanna stole the show wearing this enormous yellow gown by Chinese haute couture designer Guo Pei. Zendaya's Cinderella dress by Tommy Hilfiger literally lit up the show. Here are some stand-out Met Gala outfits from recent years https://t.co/UP294WSwUE,1520780859158245378,EntebbeO
rihanna in the yellow guo pei gown at the 2015 met gala https://t.co/535X3DvQ0X,1520743310733807617,2000sthetic
Designs by Guo Pei. ❤️ https://t.co/uTbz3GXobd,1520738394564870147,Dina_Shakti
might finish my guo pei drawing I've been working on for like 2 years today https://t.co/AKdzNSeIrn,1520712359366569986,YaaMazz
"Guo Pei: Raised in the Cultural Revolution and inspired by her grandmother's tales of past dynasties, the visionary couturier is now the subject of a major US exhibition. Cath Pound speaks to China's queen of couture.
https://t.co/Mvqx2ZBgBW

#BathnesLibraries #SereneSunday",1520689482638442496,BathnesL
drove for a lomg ass time w my dad to see a guo pei exhibition istg best decision of my life i’m in love https://t.co/FjrHNcLrjS,1520545969204391936,bmiphobic
in the gallery dedicated to guo pei's fashion and i feel like i walked right i to another world,1520449691363602434,vanitaslovemail
I will never trust anyone who says that Rihanna butchered the China: Through the Looking Glass MET Gala theme when she wore Guo Pei. https://t.co/chZA1HWxgO,1520343883317923841,HaliyaJam
"This month I wrote about fashion designer Guo Pei's fantastical costumes - referencing history, architecture and forms inspired by the botanical world - which are the subject of an 80 piece retrospective at the Legion of Honor in San Francisco.
https://t.co/isxK0CzJDn",1520303289136386048,mindtheimage
Have you seen Guo Pei’s ‘Magnificent Gold’ in person? The rare iconic piece is now on exhibit at the Legion of Honor museum in San Francisco. https://t.co/QqbyHlUdNt,1520104042872987648,guopeiofficial
"VogueRunway: .@Rihanna dances on a table in 2015
Rihanna might've kicked off a meme bonanza at the 2015 #MetGala in her Guo Pei dress, but her biggest moment of the night was when she performed her hit “Bitch Better Have My Money” on top of a guest’s din… https://t.co/Dt1N8hKkSy",1519937503398092800,SilviaGeorgie
really want to see the guo pei exhibit in sf i need to go,1519844674223104000,fiddledeedees
"Still reeling from the magnificence of “Guo Pei: Couture Fantasy,” at @legionofhonor through Sept. 5. The imagination, the artistry, the craft, the thousands of hours of labor. One amazing example: the shimmery white stuff in photo #3 is mother-of-pearl woven with silk. https://t.co/r1i8oCOTZU",1519821134476181504,Fritinancy
Visited the Guo Pei Exhibit in San Francisco. My jaw is on the floor https://t.co/iWUhbMIhcQ,1519755211236995072,izzakko
Guo Pei’s ‘Alternate Universe’ exhibit at the Legion of Honor museum @legionofhonor @AsianCoutureFed https://t.co/x3Ok1YVfGC,1519718276489641984,guopeiofficial
My mentee and I spoke yesterday about the designer Guo Pei. I hope to wear her dresses one day. Why not wish for it?,1519557563167162368,realmonicajolie
I want to see a movie of The Goblin Emperor with wardrobe by Guo Pei.,1519452404273537025,iloivar
"A thread of Guo Pei art. 

I've got a book, but not that one. 

Pei is trying to save the arts that were used in China to make imperial clothes a century ago; of course now the clothing is made for the 1% instead. https://t.co/b1DLw2QMbt",1519410359618183168,JulieTheCranky
Guo Pei uses the artistry of light and shadow as part of her design element in her ‘L’Architecture’ collection. https://t.co/T74Ei3amar,1519371982868865024,guopeiofficial
"CHINA'S CULTURAL WEAPON OF CHOICE: GUO PEI , by @xintra https://t.co/kQ5HCBqeCb",1519334070525710338,ElizabethFalkn2
It’s unclear if Rihanna will be attending the Met Gala this year but her 2015 Guo Pei gown is one to remember! 💛 https://t.co/YJRcWd3RDT,1519299469405265922,DreamInLace
"Extraordinarily beautiful dyt? &gt; Guo Pei: Couture Fantasy celebrates the designs of Guo Pei—hailed as China's first couturier—and includes more than 80 works from the past two decades, highlighting her most important collections #fashion #arts https://t.co/g9nFnJrMfv",1519278949657759744,jennyeather
Someone pls pull up to the Met Gala wearing Guo Pei,1519182403574841347,arshaha
"Meet Guo Pei, the world's most fantastical fashion designer https://t.co/SiLHwUxjyv",1519137606918844418,amitsharmalie
"If you missed my article in the San Francisco Examiner about the phenomenal Guo Pei show happening in SF, TUCK RIGHT IN to this version here, replete with a bunch of photographs I took.  Free as usual on my Substack.  Don't miss this one, it's swanky.

https://t.co/Kr82vw4uSr",1519128684203937793,xintra
Guo Pei Couture @ Fairmont Pacific Rim Hotel https://t.co/i3sCcxW22C,1519105260916199425,wesley778
Guo Pei Couture @ Fairmont Pacific Rim Hotel https://t.co/qaBisbFsnK,1519104392229953538,wesley778
guo pei please dress someone for the met gala i’m on my knees https://t.co/7rwWeHGWSN,1519041087616208902,drivcmycar
Subtle and understated. You have to look closer to realize the true brilliance of Guo Pei. https://t.co/B3q8toRmAV,1519003683396067328,guopeiofficial
"""Raised in the Cultural Revolution and inspired by her grandmother's tales of past dynasties, the visionary couturier is now the subject of a major US exhibition.""  https://t.co/L4GktS9N3P",1519003192486469634,LophiusPat
Oh boy! Gotta get to San Francisco before this exhibition leaves!!// How Guo Pei created the world's most striking dresses - BBC Culture https://t.co/C0gbj4YQSu,1518902495728357376,agnesedwinachi
"Meet Guo Pei, the world's most fantastical fashion designer https://t.co/SiLHwUxjyv",1518783481030971398,amitsharmalie
i got a good grade on my history of design final. it was stuff about guo pei's works,1518779604131094530,auradoesstuff
"Meet Guo Pei, the world's most fantastical fashion designer https://t.co/Nx4Xt7WtLg",1518738832807677952,thaiparampil
How #GuoPei created the world's most striking dresses https://t.co/HygsfyfwKu via @BBC_Culture #fashiondesign #hautecouture,1518712897001644036,blvrdvr
"Guo Pei makes art from fashion, exemplifying the rise of Chinese couture https://t.co/BSSPX3FfU6 @sfexaminer @AsianCoutureFed @legionofhonor",1518693766525177857,guopeiofficial
Inside the Glamorous Opening Party for Guo Pei: Couture Fantasy https://t.co/dYXUZUQTf5 @townandcountry @AsianCoutureFed @legionofhonor,1518693624044609536,guopeiofficial
Guo Pei’s New Exhibit Puts Chinese Couture on the Map | Jing Daily https://t.co/Nw3GbEc4PI @JingDaily @AsianCoutureFed @legionofhonor,1518693316895805440,guopeiofficial
Designer Guo Pei Makes Fantasies In Fabric https://t.co/QsXDN4wnEa @cultured_mag @AsianCoutureFed @legionofhonor,1518693108250071045,guopeiofficial
Guo Pei’s “Couture Fantasy” Exhibition Bonds East and West https://t.co/gzsTjD1o1F @WMag @AsianCoutureFed @legionofhonor,1518692911092670469,guopeiofficial
Guo Pei And The Art Of Couture At Legion Of Honor Museum In San Francisco https://t.co/BFT1h0xmZr @Forbes @AsianCoutureFed @legionofhonor,1518692755198779392,guopeiofficial
