full_text,tweet_id,screen_name
Oh there’s a new @Sofology advert with Helena Bonham Carter. She needs the money. Always reminds me of this glory by @KathyBurke https://t.co/sFLuQ7WMmJ,1520908928460201988,dannysutcliffes
Guy who consistently mixes up Hillary Rodham Clinton and Helena Bonham Carter,1520893878999601153,staygolden91
"Helena Bonham Carter Sun☀️- Kathryn Hahn Moon🌕- Michelle Pfeiffer Rising⬆️
That's the tweet.",1520893183068102665,SowiaMama
"My Grandparents' War Helena Bonham Carter: Follow actress Helena Bonham Carter as she explores the heroism of both sets of her grandparents during WWII -- her grandmother, an air warden and outspoken politician, and her grandfather #TonightOnSCETV at 10:00 pm https://t.co/rTjuGPkUpJ",1520873506006867974,SCETV
"If you missed ""My Grandparents' War"" the first time on PBS, they're reshowing it starting tonight. Tonight is the Helena Bonham Carter ep which I enjoyed so much I'm recording to watch again. 10PM (hopefully not just my local PBS station). cc: @merujo",1520860760720740358,claireofRA
"everyday i wake up and ask myself "" would helena bonham carter wear that?"" https://t.co/HQ6S7sazVK",1520847781333811203,taakuce
"#NowWatching #DramaFilm #SatireMovie #FightClub
May's theme, follow one film with another that has a connection. Film #3 Fight Club. Connection - Helena Bonham Carter. https://t.co/9zgORqRiur",1520847461123825670,Gameguy69
"it’s giving fka twigs, it’s giving helena bonham carter https://t.co/qBW28zd8Oj https://t.co/3JmhBqu3Of",1520837462943100929,0jellypuppet0
"My Grandparents' War—Helena Bonham Carter | Watch Sunday, May 1 at 10 p.m. on WCNY-TV

Follow actress Helena Bonham Carter as she explores the heroism of both sets of her grandparents during WWII. https://t.co/2mcUJFxfvu",1520832935187959809,WCNYCONNECTED
"Tonight at 9pm on MY GRANDPARENTS' WAR, Helena Bonham Carter explores the story of her grandmother, an air warden and politician, and her grandfather, a diplomat who helped Jewish people escape the Holocaust as the Nazis invaded France. https://t.co/AxcPvRhcGX",1520821861462028288,APTV
Helena Bonham Carter’s Past Comments On Johnny Depp Resurface https://t.co/yEeV6YC92h,1520804016724365313,mrhelstein
helena bonham carter asmr makeup tutorial when 🤨? https://t.co/s66UKkKgx3,1520793882472198145,svperbrat
"Helena Bonham Carter The Unstoppable Sex Machine
#PoshBands",1520777637140082694,taylertoons
Fun fact about my D&amp; D character: she’s names after Helena Bonham Carter.#dnd,1520771836199407618,Tinydancer2160
helena bonham carter speaking french is hot lol,1520761953983303680,sicht_
"Helena Bonham Carter as Noele Gordon in ""Nolly"" new series from itv https://t.co/yhZTaarFDG",1520757041790427136,aveaquaticaa
"I can't wait to find out when T'Nia 
Miller/Lydia West/Hugh Grant/David Tennant [again]/James Corden*/Jessica Hynes/Helena Bonham Carter/someone else [delete as appropriate] is the next #DoctorWho

* please god no",1520745680658128896,dannylavery9
HAPPY HELENA BONHAM CARTER MONTH https://t.co/75PEJvcl1w,1520741418859470848,dillatrix7
Still in love with Helena Bonham Carter after all these years.,1520739728114475009,BonceMal
Really enjoying Ten Percent. But it's a long way down from Helena Bonham Carter to *checks notes* Phoebe Dynevor. I think. Although maybe I'm wildly out of the loop and she's now the biggest star in the world.,1520737589006852097,colinjthomas
"yes, I'm a fan of Helena Bonham Carter and Cate Blanchett.",1520733932341587970,sugarycoatbaby
"Helena Bonham Carter at the end.

#LFC https://t.co/ije5NEgMeO",1520723623211941888,MainStandULTRAS
"PBS SCHEDULE - WYES - May 1, 2022

6pm - Call the Midwife
8pm - Masterpiece Classic - Ridley Road
9pm - My Grandparents' War - Helena Bonham Carter
10pm - Luna &amp; Sophie - A Subservient Ghost
11pm - Seaside Hotel - The Cards on the Table",1520719856856875010,Sailorsam56
This fits with Helena Bonham Carter. https://t.co/p1CjAOOVhR,1520679497112391680,universwea
Johnny needs to get with Helena Bonham Carter thier both divorced single both play strange roles work well together seme age range https://t.co/BryjiZK5SM,1520633576898936832,DubtricksGaming
"Helena Bonham Carter and Johnny Depp, best duo &lt;3",1520631440748290048,han4k0_
Elizabeth McGovern and Helena Bonham Carter in a movie together is some serious 80s/90s pond crossing if I’ve ever seen it.,1520630053528350726,AlyssaSketchd
