full_text,tweet_id,screen_name
His Dark Materials Season 2 🤤,1520913497785307136,timi_RM
Kit connor from heartstopper playing pan in his dark materials so true,1520909245142740992,korraandthekrew
Should I start his dark materials? need insider info,1520831452669448192,cadewtf
I couldn't figure out where I could place nick's voice (from heartstopper) but kit voiced pantalaimon in his dark materials and i literally named my cat pantalaimon🥺,1520812544608325639,watermelloyello
HELP??!?? HOW WAS I NOT AWARE THAT KIT CONNER - MEANING NICK NELSON - WAS THE VOICE FOR PAN FROM HIS DARK MATERIALS JEHDBV JHEBFJD ARE YOU KIDDING??????,1520806149959868417,kayla_tpwk
"sooo bubble was a mix of weathering with you, his dark materials (especially the amber glass) and the direction of akudama drive, but... much more mediocre than any of those three? it was okay",1520804911340036096,dust_particles_
how did I not know @kit_connor voiced pan in His Dark Materials???? absolute legend !!!,1520781113018535938,bbjorose
"Tri-Reader Tournament, Most Overrated SFF, Prelim 1 -

A
@FoxesSnakes
Harry Potter
The Chronicles of Narnia
All Souls Trilogy (A Discovery of Witches)

B
@tarvolon
Dune
His Dark Materials
Locked Tomb

C
@jackclaver
A Song of Ice and Fire
The Lord of the Rings
Dune",1520769742566350850,Fantasy4theAges
I know I’m late to the party…but @Lin_Manuel as Lee Scoresby in His Dark Materials is ✨chefs kiss✨,1520768717050765312,RennyBehr145
starting his dark materials,1520767510588522498,satoruakgae
"His Dark Materials trilogy is truly, truly fantastic.",1520750892487946240,jakepaynting
"I have so many ideas for Resident Evil AU's🤩
One that I've had on my mind for a very long time now is a His Dark Materials AU. Which is pretty much just a excuse to give the RE cast a Daemon😂
(the physical manifestation of a persons soul that takes the form of a animal)",1520741552339001346,Figothefox
still  cant  believe  kit  voiced  pan  in  his  dark  materials……  all  my  interests  connect  in  some  form  this  is  so  wild,1520740980428660736,miserytowns
"❄️Our May Calendar just dropped if you're curious!❄️
Also, it's official we're starting our Watchalong of LOTR in July to then continue with the TV Show in Sept AND we will be readalonging ""His Dark Materials"" in Sept! (available to all Winter Wolves)
https://t.co/BoGQ5IuXaI",1520684400807223296,thewildSasha
"BBC takes a look at the idea of the Multiverse (focusing on Marvel and the upcoming Dr Strange movie). One they didn't mention is Philip Pullman's His Dark Materials.
https://t.co/PUGMPU2EhK",1520675466939613185,timboltonuk
"After watching heartstopper and his dark materials, I still can’t rationalise in my head that @kit_connor is both Nick Nelson and Pantalaimon. I mean it’s awesome but still 😂",1520550103211196418,ChaosDemon16
I've just watched episode S01 | E01 of His Dark Materials! https://t.co/kMNpdiq5Sc #tvtime https://t.co/kqLBBozFJD,1520510450785566721,lucyferhell1
Ruth Wilson as Marisa Coulter in His Dark Materials is phenomenal acting. I love how she can just snap from different emotions in a matter of seconds. Can’t wait to see her return for season 3. https://t.co/yaF34sb0Fd,1520510390400126978,chelseamc20
"anyway continuing His Dark Materials rewatch, on episode 5",1520506378867003392,_hospitalsoul_
"His Dark Materials is really good, thank God I found the series! #hisdarkmaterials",1520503178269184014,Orapeleng_M_
all i did while i was gone was start rewatching His Dark Materials and play Sims,1520484907054555136,_hospitalsoul_
"so kit connor (nick from heartstopper) has a voice part in his dark materials in which amir wilson (will) is a main character. amir wilson is cast in the upcoming movie the magic flute alongside jack wolfe (wylan in shadow and bone)

???? my 3 fav shows interacting in this way ??",1520476640337403904,eyesonhc
⭐⭐⭐⭐⭐ 5 star review from Jeffrey Z. https://t.co/qbhK1sFjMz!,1520474442656141313,minterrichter
comecei his dark materials,1520464208999206915,reysmorozova
"OKAY I JUST FOUND OUT THAT KIT CONNOR VOICED PAN IN THE BBC ADAPTATION OF HIS DARK MATERIALS

I STAN A HIMBO NOW",1520435505317523456,rodelcbrd
watching his dark materials,1520406362685153280,femmeclancy
"I'm really enjoying the show ""His Dark Materials"". I saw a third season coming soon. Imaginative, loving the imagery.",1520406021478535171,Braasnutz11B
"his dark materials spoilers /

the scene where astriel and marisa kissed and then tried to convince the other to join their side. and then their resigned expressions when they realized they won't ever choose their love over their mission, that they will be enemies forever",1520399797580349441,touyaseyelashes
"You cannot change what you are, only what you do.
Philip Pullman, The Golden Compass (His Dark Materials)",1520386178574258176,MrsBaker420
"The person who wrote the article is utterly ridiculous. What a smear campaign. I still like 'His Dark Materials' - always will - although I completely disagree with Phillip Pullman's stance.  Whether or not you agree with JKR, you can still enjoy the imagination behind her books. https://t.co/JO4LgPM54t",1520320033980829696,spk_truth_dove
Went to see this at the cinema this evening and it was incredible! I'm devastated there's not a recording of when they put on His Dark Materials. 😭 https://t.co/3zsyZGUUNR,1520319841172746240,GByronWilliams
Hmmmm well now is the perfect time to watch His Dark Materials if you haven't already because it is getting its final season and the story will conclude 😂,1520287645707943936,leDASHann
hbo cade a season 3 de his dark materials aaaaa,1520238456857047040,mindawayy
I JUST FOUND OUT THAT NICK NELSON = PAN FROM HIS DARK MATERIALS IM NEVER GOING TO BE THE SAME,1520225057653538817,avvngerz
"Lorne Balfe on ""His Dark Materials"" musical score https://t.co/GLyxPatLwY",1520212127646363649,UnrivalledTang
His Dark Materials https://t.co/LMc8VaUqrY,1520170228927406080,leDASHann
"Positives and achievement! 
+) His Dark Materials
+) Dog walk (pics from last few walks)
+) Newly learnt #Taekwondo tul
A) Worked
A2) Learnt lots of tul
#mentalhealth #bipolar #anxiety #OCD #BPD https://t.co/0SHrf6jt8Y",1520165570532069383,BipolarAletheia
