full_text,tweet_id,screen_name
New from Houston Chronicle — Astros insider: Takeaways from Blue Jays series https://t.co/8H46kDA9FZ,1520915880888225793,ChronTXSN
New blog post: Game #23- Houston Astros (11-11) @ Toronto Blue Jays (15-8) - game  recap https://t.co/kmYC73EqRf,1520915871140564992,jaysinthehouse
Check out Jeremy Pena 2020 Bowman Chrome 1st Bowman Houston Astros #BCP-61 #baseballcards #baseball #HobbyFamily #thehobby #tradingcards #topps #collectors #collector #whodoyoucollect #MLB https://t.co/VpmCDDZD14 #eBay via @eBay,1520914825286762497,Jayski711
Check out Jeremy Pena 2020 Bowman Chrome 1st Bowman MOJO Refractor Houston Astros #BCP-61 #baseballcards #baseball #HobbyFamily #thehobby #tradingcards #topps #collectors #collector #whodoyoucollect #MLB https://t.co/Bs1TRYa4QF #eBay via @eBay,1520914746064748547,Jayski711
"Literally the only reasons I like living in Houston: my Gma, my @astros , cheap flights to everywhere, and the food…everything and else is trash(especially the you know who)",1520911125273010176,kris_thib
"TEST, Seattle Mariners @ Houston Astros. https://t.co/UvmQEp9gnS",1520907389301628928,realKerryByard
MLB Baseball Game Betting Picks Simulator: 5/2/2022 8:10 PM ET - Seattle Mariners vs. Houston Astros - YOU CAN RUN THE GAME SIMULATION FOR FREE HERE: https://t.co/xn5XwSmoKT #mlb #gamblingtwitter #sportsbetting #freepicks #cappertek,1520905749182009347,cappertek
Toronto Blue Jays Vladimir Guerrero Jr. runs out of the dugout against the Houston Astros at Rogers Centre. @imagncontent @usatodaysports @mlb @ Rogers Centre https://t.co/4yVhiAAYEs,1520904512902291456,nturchiarophoto
"📅 Tue, Jun 1, 1976
📍 Astrodome (Houston, TX)
🎟️ Cincinnati Reds (28-18) vs. Houston Astros (22-27)
⚾ CIN 1 - HOU 2
#️⃣ #ATOBTTR / #LevelUp
🌐 https://t.co/Z2oxl0vqqO https://t.co/KZAQCagA3R",1520901053138587648,RndmBaseballBx
Some images from the Houston Astros at Toronto Blue Jays game this afternoon at Rogers Centre. It was a “pitching duel”. @imagncontent @usatodaysports @mlb @ Rogers Centre https://t.co/R0EUTeXCxM,1520900947907600386,nturchiarophoto
