full_text,tweet_id,screen_name
"Heartstopper (2022)
Cast:
Hubert Hurkacz as Charlie Spring
Jannik Sinner as Nick Nelson
Lucas Pouille as Ben Hope https://t.co/9BGJUhrl62",1520389500865679362,jazdahubi
"W 1. rundzie debla Hubert i John trafili na Ariela Behara i Gonzalo Escobara. 🎾
***
In doubles, Hubert &amp; John will play their 1st match against Ariel Behar &amp; Gonzalo Escobar. 🎾

📸 @HubertHurkacz Instagram
#ATP #Hubi #Hurkacz #Madrid #MMOPEN #HubIsner #TeamHH https://t.co/3qHaiEbbZp",1520118008718540800,HubertHurkaczFC
"𝗠𝗮𝗱𝗿𝗶𝗱 𝗢𝗽𝗲𝗻 Round 1

Hubert Hurkacz 🇵🇱 - qualifier

Some other players in Hubi’s quarter: Djokovic, Ruud, Shapovalov, Murray, Thiem

In the same half: Nadal, Alcaraz, Carreño Busta, Norrie",1520082385471213569,hubiupdates
"Wild Cards Hubert Hurkacz &amp; John Isner Edge Wesley Koolhof &amp; Neal Skupski For Miami Title | ATP Tour 
https://t.co/88ggWqgXNY",1519542004371361793,SwaveDigest
"Why Hubert Hurkacz Has Entered The Season Of Opportunity | ATP Tour #8216why #atp #entered #has #hubert #hurkacz #opportunity #season #tennis #the #tour
https://t.co/F71n2XwX8B",1519449241810313222,SwaveDigest
"https://t.co/LnzKGO7KJL Alcaraz, Hurkacz Face Off In Athens Exhibition: Pair stage rematch of the Miami semifinals at IMG Future Stars Invitational Tennis Tournament.
 Carlos Alcaraz and Hubert Hurkacz brought their Miami magic to Athens this week.
 
… https://t.co/QfkZ9PW8bL",1519382251661709317,_TennisCoaching
Hubert Hurkacz was it strictly necessary to do a shirt lift while playing golf 💀💀💀,1519362895439671300,Stupidg30551923
WATCH: Carlos Alcaraz and Hubert Hurkacz play exhibition match at IMG Futures Stars event in Greece  https://t.co/W3VTQQpbwM https://t.co/3JuL3JXTcP,1519315509153513475,TennisInfinity1
"Take Five: Ashleigh Barty, Hubert Hurkacz win 2021 Miami Open singles titles https://t.co/UmQcNILHOe",1519115501330382851,postxcanada
just a girl living in Hubert Hurkacz’s world,1518917722448486400,mooseKnuckles__
"Hubert Hurkacz &amp; Grigor Dimitrov will play doubles together in Rome (May 8-15). 🎾
#ATP #Hubi #Hurkacz #Dimitrov #Rome #IBI22 #TeamHH",1518884365706616833,HubertHurkaczFC
I turned vegan because I wanted the real grass experience - Hubert Hurkacz after his Wimbledon semis run https://t.co/oS8TZGtPeQ,1518723615293952000,pauliloveshubi
hubert hurkacz just won an exhibition match against carlos alcaraz in Greece…and it was a tiebreak https://t.co/1CJJlXLmQ2,1518639794393206785,jazdahubi
"Hubert Hurkacz on Alcaraz: ""When I won Miami the players were better"" https://t.co/1rq8mj4hqn",1518609148266614785,tennis_poetry
"hey hubert hurkacz, if you’re free and i’m free then maybe we can hang out some time and grab some coffee lol like we could get to know each other and stuff maybe take a walk, hold hands lol ahahaah and maybe dinner? so if you’re free and i’m free haha lol then yea we could total",1518590065726746624,jazdahubi
"Nice event organized by @IMGTennis this week with Carlos Alcaraz, Hubert Hurkacz and many young talents in Greece 🇬🇷",1518517483904380928,RaphaelDabadie
