full_text,tweet_id,screen_name
Young Hugh Grant is different gravy,1520904024396111873,stefimaddock23
hugh grant could’ve got it like 30 years ago😩 good lord,1520898177766936576,lietomefia
Hugh Grant 🥰,1520897324096106497,Franunica1
Hugh grant will always have a piece of my heart.,1520893448047542273,ParizaAamir
"Couldn’t be bothered to go to bed.
Ended up watching Hugh Grant playing a total wanker (Hugh Grant)
Going to bed🙄🙄",1520892624323940354,Nosey1968
Watching Four Weddings And A Funeral. Hugh Grant is blinking a lot,1520889194624786432,grizzpk
"Hugh Grant and Andie MacDowell star in BAFTA-winning rom-com #FourWeddingsAndAFuneral, 11pm on @Channel4 https://t.co/e973LMmjm6",1520878226653990915,4Viewers
GIVE HUGH GRANT A RETROSPECTIVE OSCAR FOR PADDINGTON 2 🍯,1520868935440162817,astoldbyangela_
"I enjoyed The Gentlemen, thought it was brilliant. Charlie Hunnam and Hugh Grant were a pretty good double act. @NetflixFilm @NetflixUK",1520866714103300097,faccinim
Curled up on the couch and watching the Ang Lee-Emma Thompson SENSE &amp; SENSIBILITY. I don’t particularly like Hugh Grant. Or Jane Austen. And yet somehow the combination of the two works for me. 🤣,1520864788636749833,badnecklace
Glynis Barber reveals she enjoyed 'fabulous snogs' with Hugh Grant https://t.co/9FZCbxyT3p,1520862033318756355,wizz_media
Dear @HackedOffHugh Loving you in #TheGentlemen You’re not em… Hugh Grant. @GuyRitchie1968 Classssss,1520861916914139138,master_the_mind
&lt;3 hugh grant &lt;3,1520853789011595265,kiwiseaside
a movie where hugh grant is harrys's dad please and thanks,1520853184226500613,kiwiseaside
Sportscaster Frank: I haven't seen an Englishman take a blow like that since Hugh Grant!,1520848477818740736,SouthParkey
Hugh Grant en Notting Hill es el hombre ideal,1520844194964725760,crislecrispin
gunluk hugh grant dozu,1520841475566804995,sarsilmaz_57
"🎬 No plans tonight? Check out Guy Richie’s brilliant ‘The Gentlemen’. Hugh Grant steals the show, but only just… BMAs Rubens is also fab 👏🔥💯

#TeamBMA #londonactor #actingagency #actor #talent #talentagency #London #actorlife #casting #audition #film #tv #bma #bmaartists https://t.co/u9kH9oIxEh",1520840567831371776,BMA_Artists
"Watching The Undoing and I just wish they’d let Nicole Kidman use her own voice in television. If Hugh Grant can, then Nicole Kidman can.",1520839399549784064,maxfischers
Un primer ministro como Hugh Grant en Love Actually.,1520834473830531074,eduardobertoni
harry as hugh grant in notting hill (1999) https://t.co/qsMmSo0yaV,1520831632822788096,endlesswilds
Who directed this 1990s movie where Kate Winslet and Hugh Grant share the screen? 5 min to answer! 🅿️ https://t.co/LFJq6jqb8M,1520830535576207364,whattheshot
