full_text,tweet_id,screen_name
Check out this listing I just added to my #Poshmark closet: LAST ONE J.Crew Mini velvet signer bag. https://t.co/L1lQqqx9Yq #shopmycloset @poshmarkapp,1520914630469582848,mirian56
Check out this listing I just added to my #Poshmark closet: J. Crew Yellow Corduroy Pants! 98% Cotton Favorite Fit!. https://t.co/cyGl2F4boe #shopmycloset @poshmarkapp,1520914148187459584,JRM26
Check out this listing I just added to my #Poshmark closet: Silver rose headband from J.Crew- excellent condition. https://t.co/ih0TdTUylK #shopmycloset @poshmarkapp,1520912874218016768,kd_fitz
"Check out this listing I just added to my #Poshmark closet: J Crew flat front retro polka dot shorts, size 2. https://t.co/jiMyOh6zDI #shopmycloset @poshmarkapp",1520907173198385152,sweetsistersgf
Check out this listing I just added to my #Poshmark closet: J. Crew dress. https://t.co/ft9i9yWKvG #shopmycloset @poshmarkapp,1520905907219038208,repsracesrepeat
Check out this listing I just added to my #Poshmark closet: J Crew ruched mermaid halter swimsuit with skirt. https://t.co/SRCD3euIZZ #shopmycloset @poshmarkapp,1520903602176331777,sweetsistersgf
J.Crew Ruffle Neck Eyelet Top- - Check out this listing I just added to my Poshmark closet: J.Crew Ruffle Neck Eyelet Top-. https://t.co/a2ctFwuVeG,1520902926461452289,janmrp6464
Check out this listing I just added to my #Poshmark closet: J.Crew Ruffle Neck Eyelet Top-. https://t.co/pfyPfw6t4x #shopmycloset @poshmarkapp,1520902919737937921,janmrp6464
"June 10th the Vibes and Trips Crew has you covered 🤩

Get your tickets here: https://t.co/E4fAUWfkG7

@VibesandTrips https://t.co/Q2OortOidf",1520902823986278400,Entertainer__J
"I guess the KayRod cast is good but I’m still annoyed and confused as to why ESPN broke up the Vasgersian, A-Rod, and Mendoza crew. That was my favorite national baseball broadcast booth.
#SundayNightBaseball",1520900852613005312,aaron_j_fc
Check out this listing I just added to my #Poshmark closet: J.CREW Silver Pixel Ballet  Flat. https://t.co/WZvjrJzmoR #shopmycloset @poshmarkapp,1520899815189610497,walkrunnnerr
J.Crew Silk Button-up Shirt In Black- - Check out this listing I just added to my Poshmark closet: J.Crew Silk Button-up Shirt In Black-. https://t.co/P6Llsw3LZP,1520897272954990594,janmrp6464
Check out this listing I just added to my #Poshmark closet: J.Crew Silk Button-up Shirt In Black-. https://t.co/EXhFQwBKBo #shopmycloset @poshmarkapp,1520897270576599040,janmrp6464
Check out this listing I just added to my #Poshmark closet: J.Crew Mercantile shirt Tail Blouse-. https://t.co/pofG88HkTL #shopmycloset @poshmarkapp,1520896040034996224,janmrp6464
J.Crew Mercantile shirt Tail Blouse- - Check out this listing I just added to my Poshmark closet: J.Crew Mercantile shirt Tail Blouse-. https://t.co/RF174kcO9Y,1520896039494029314,janmrp6464
