full_text,tweet_id,screen_name
NowPlaying 09-28-18 by #T.J.Miller #Chicago'sComedySceneRadio on https://t.co/ZXfTHVVZnx  Get the app. https://t.co/u74Q1PRwDs https://t.co/VDzEilMigj,1520825206654357507,CCS_Radio
Who is J.T. Miller’s wife? Know all about Natalie Craig https://t.co/TWMHr2rjLp #NHL #JTMiller,1520782732464312321,SportzFirst
NowPlaying 09-28-18 by #T.J.Miller #Chicago'sComedySceneRadio on https://t.co/ZXfTHVVZnx  Get the app. https://t.co/u74Q1PRwDs https://t.co/vzF5W0Gffk,1520732187053768705,CCS_Radio
NowPlaying T.J. Miller by #InterviewedOn09-28-18 #Www.Chicagoscomedyscene.Com on https://t.co/ZXfTHVVZnx  Get the app. https://t.co/u74Q1PRwDs https://t.co/4hH4lTMb42,1520702391598866432,CCS_Radio
@Steven_J_Miller a wee bit of nostalgia for you. A fab playground although I never did venture into the cave because I didn't want to get wet https://t.co/21CEI7GuEh,1520672524719296512,ValForsyth1
"FTG Track State Qualifiers
Reg.Champs
K.Smith-100M Hurdles
A.Whiteley-400M Dash
J.Miller-110M Hurdles
K.Smith-3rd 100M Dash
A.Whiteley-3rd 800M Run
Z.Hardy-3rd 110M Hurdles
4x100Relay-3rd
B.Macomb 
C.Waggle
Z.Hardy
T.West
S.Terry-4th 100M Hurdles
C.Glasgow-3rd 3200M
#ftg #okpreps",1520619941216595969,ftgsports
NowPlaying 09-28-18 by #T.J.Miller #Chicago'sComedySceneRadio on https://t.co/ZXfTHVVZnx  Get the app. https://t.co/u74Q1PRwDs https://t.co/AEHMwyL6Je,1520617225354420231,CCS_Radio
270 - A Feature 1 (Results): 1-Miller.M 2-Skias.P 3-Schmuck.C(Jr) 4-Rutherford.M 5-Meck.J 6-Kupp.C 7-Labe.D 8-Mieczkowski.A 9-Williams.D 10-Uhrich.M 11-Redcay.J 12-Cronrath Wittmer.B 13-Skias.M 14-Sweigart.C 15-Pence.D 16-Brown.B 17-Dietrich.A 18-Blumenshine.T 19-Sholley.B,1520610094672596992,LancoCMMS
NowPlaying T.J. Miller by #InterviewedOn09-28-18 #Www.Chicagoscomedyscene.Com on https://t.co/ZXfTHVVZnx  Get the app. https://t.co/u74Q1PRwDs https://t.co/EDmEWjJtLA,1520602973969260545,CCS_Radio
NowPlaying 09-28-18 by #T.J.Miller #Chicago'sComedySceneRadio on https://t.co/ZXfTHVVZnx  Get the app. https://t.co/u74Q1PRwDs https://t.co/tBhukvz6OW,1520578566370570241,CCS_Radio
270 - Heat 1 (Results): 1-Swavely.J 2-Blumenshine.T 3-Cronrath Wittmer.B 4-Sholley.B 5-Redcay.J 6-Skias.P 7-Miller.M 8-Labe.D 9-Mohring.W,1520557010445504512,LancoCMMS
"Kevin Colbert's career:

▪︎ 22 years with the #Steelers
▪︎ 1 losing season
▪︎ 2 Super Bowl titles
▪︎ 14 playoff appearances
▪︎ Hired Mike Tomlin
▪︎ Drafted Ben Roethlisberger, Troy Polamalu, Heath Miller, Antonio Brown, Cam Heyward, T.J. Watt

Hall-of-Famer. https://t.co/W9fGqQ7TBb",1520527074057928704,Bradley_Locker
270 - Heat 1 (Lineups): 1-Cronrath Wittmer.B 2-Stoyer.J 3-Labe.D 4-Miller.M 5-Skias.P 6-Sholley.B 7-Redcay.J 8-Blumenshine.T 9-Mohring.W,1520525525998997504,LancoCMMS
Kanye got the rest of the sex tape from ray j and gave it to Kim and she still wont take him back. Women ain’t shit keep your heads high kings,1520460545241063432,s13_con
"#walsallfc #Saddlers #upthesaddlers 
2021-22 30/04

G.Miller 12
C.Wilkinson 10
B.Kiernan 6
K.Phillips 5
E.Osadebe 5
J.Earing 4
T.Shade 2
O.Khan 2
A.Taylor 1
O.G 1
D.Daniels 1
R.Menayese 1
S.Perry 1

#topscorers #EFL #EFL2",1520454865050378240,XactScorers
"No denying J.T. Miller had a career year and was often the Canucks best player. Now, if he’s still playing for this team at the start of next season, it will be a massive mistake by this organization.",1520424429083193344,rjlaws
"#ICYMI: Oilers 3, Canucks 2 (SO): A season for the ages from J.T. Miller https://t.co/VXZONzgzJy https://t.co/PkAR1QntPN",1520418277008322561,whitetowel
"Congratulations to J. Barrett, T. Miller and A. Shaw on being awarded their Full Colours for cricket and thanks to @DavidByas6 (Yorkshire) for presenting them. #AmpleCricket #SHACsport. @schools_cricket https://t.co/8N8JDCcqIy",1520392060829900800,AmpleforthSport
NowPlaying 09-28-18 by #T.J.Miller #Chicago'sComedySceneRadio on https://t.co/ZXfTHVVZnx  Get the app. https://t.co/u74Q1PRwDs https://t.co/F6hzAsifTb,1520371750982324225,CCS_Radio
I Watched This Game: J.T. Miller comes just short of 100 as Canucks fall to Oilers in final game of the season https://t.co/Fc0JbDJRpy https://t.co/2P1BbHz34E,1520350016644149248,passittobulis
looking for you - rhythm outlaws https://t.co/5VYv1lxKMm https://t.co/e2LosjA3jH,1520325794115072001,78_sampler
"Oilers 3, Canucks 2 (SO): A season for the ages from J.T. Miller https://t.co/CnUBRmtbIR",1520303746563158016,usasharenews
NowPlaying 09-28-18 by #T.J.Miller #Chicago'sComedySceneRadio on https://t.co/ZXfTHVVZnx  Get the app. https://t.co/u74Q1PRwDs https://t.co/GyhrsGEiQW,1520295248454422529,CCS_Radio
"Oilers 3, Canucks 2 (SO): A season for the ages from J.T. Miller https://t.co/xt5YC4z8Cm https://t.co/okmWl9hHas",1520292099870105600,whitetowel
"Oilers 3, Canucks 2 (SO): A season for the ages from J.T. Miller https://t.co/aFWH0wvfm7",1520275054570967040,usasharenews
NowPlaying T.J. Miller by #InterviewedOn09-28-18 #Www.Chicagoscomedyscene.Com on https://t.co/ZXfTHVVZnx  Get the app. https://t.co/u74Q1PRwDs https://t.co/VhRC7P1lkg,1520274095950254080,CCS_Radio
"Oilers 3, Canucks 2 (SO): A season for the ages from J.T. Miller https://t.co/x3tCc0ssQ2",1520266786008092672,usasharenews
"Even though I am very sad😢😭that my boy #77 Brad Hunt &amp; his home team @Canucks won’t make 2021/2022 @NHL @StanleyCup Playoffs &amp; J.T Miller is still at 99 points &amp; Bruce Brudreau at 599 career wins as Head Coach, I am still proud that we battled hard until the end.🏒🥅 #Canucks https://t.co/7Jntu1LTv8",1520259720820318208,Tyrkinator
J.T. Miller: Quest for 100 falls short https://t.co/hUKjdMkgcU,1520258106135089155,RotoWireNHL
"Well, J.T. Miller ended the NHL regular season 1 point shy of 100, and Bruce Boudreau ended the season 1 win shy of 600 career wins as an NHL head coach. #Canucks",1520257023673200640,JBockhodt
"Oilers 3, Canucks 2 (SO): A season for the ages from J.T. Miller https://t.co/6RYg2HA2aE",1520255146831327233,NucksHockey
"Oilers 3, Canucks 2 (SO): A season for the ages from J.T. Miller https://t.co/FWmROBA5ew https://t.co/RAHxxv2x8v",1520254199585558528,provincesports
Sad to see J T Miller not reach 100 points this season. OT was looking Rly good for him and props to Bruce for calling a TO for him too. My favorite player in the league,1520249873542483968,persona3memes
The biggest W tonight was the Oilers prevented J.T. Miller from reaching the century mark,1520248929324994560,oilersdailyy
"Congrats to J.T. Miller on a great season. He falls 1 short of 100 points.

32 goals
67 assists 
99 points",1520246081333854210,DFlex2123
"J.T. Miller's season will end at 99 points.

So, I won't get to use this super-quick graphic I made based on @JustinMoris's creative vision. https://t.co/b66wvgRtGg",1520245952635760640,passittobulis
J.T Miller ends it at 99 :D oh well #Canucks,1520245794586054658,NoNucksGiven
That might have been J.T. Miller's best chance for point 100.,1520244170652147712,passittobulis
The season wouldn't be complete without another cross-ice turnover by J.T. Miller just inside his own zone.,1520242965158891520,passittobulis
"Live look at J.T. Miller telling the team to only pass the puck to him in the third period.

#MillerTimeTo100 https://t.co/1C5AtIpCWk",1520232796425314304,ChrisFaber39
I’d rather have an ECHL goalie than J.T. Miller.,1520231259745648640,ShaneTalksNucks
"J.T. Mil100r
J.T. M100er
J.100. Miller
100nathan Tanner Miller

I'm really struggling to figure out where to fit the 100 in Miller's name for when he gets his 100th point in this game.",1520230607552335873,passittobulis
"#Canucks Gave up a Euro goalie, an ECHL goalie and a KHL D flop for J.T. Miller. https://t.co/yGVGJAYWS0",1520228795847913472,Fan2Abby
J.T. Miller scores against the Edmonton Oilers to make it 1-0 #EDMvsVAN #LetsGoOilers #Canucks https://t.co/xuKWrznS8U,1520218869381668864,nopClips
"J
T
F'n
Miller

that's all",1520218203527335937,slyhockeyguy
"If J.T. Miller breaks 100 points, I will put #9 on my Canucks blank jersey",1520217620296863744,hezbruhllah
"🚨J.T MILLER #Canucks 

It was coming, we’ve been the better side and so far the end of season game is going to plan ✅

Oilers 0-1 Canucks",1520216616302219264,EllisHockey2003
J.T. Miller makes it 1-0 Canucks...99.,1520216395031580672,leepowellST
"99 points for J.T. Miller.

👀",1520216392816943104,ChrisFaber39
That's 99 for J.T. Miller!! #Canucks up 1-0,1520216392515026944,JoshuaGriffith0
My key to victory tonight: If J.T. Miller doesn't get at least 25 minutes of ice time to try and hit 100 points what are we even doing here?,1520212399781216257,LachInTheCrease
#Canucks just need to be setting up J.T. Miller breakaways tonight.,1520212091914768386,brianknotts
J. T. Miller talking during the Canadian National anthem go fuck yourself #LetsGoOilers,1520208450072248320,DhillonSteve
#Canucks game day: No McDavid or Draisaitl as J.T. Miller looks to hit the big 100 in Canucks’ season finale versus Oilers  https://t.co/H22M1FX02G,1520195228858212352,nucksiceman
who got less for j.t. miller? the rangers or the lightning? #NYR #Canucks #TBLightning,1520180729082167301,mtricNYR
"Some Day 2 
@iversonclassic Standouts:
Brandon Miller @brandmillerr (Bama)
Cason Wallace (Kentucky) @wallace_cason 
Jaxon Kohler @jaxonkohler (Michigan St.)
J.R. Smith @TheRealJRSmith 
(NC A&amp;T)
Keyonte George @keyonte1george (Baylor)
DJ Jefferson @4buck4t_ (open) https://t.co/rZh18SUlJt",1520180551264649218,Andrew__Slater
