full_text,tweet_id,screen_name
The Stanley Parable is the best thing ever. I haven’t laughed so hard since I went to go see Jackass Forever #TheStanleyParableUltraDeluxe,1520907275547860997,Angelo_Sardo_3
We were gonna watch Jackass Forever tonight but I am extremely tired AF.,1520906135703887875,apredatorposing
#Jackass is an American institution and Jackass Forever is a goddamn comedic masterpiece. https://t.co/Gw7Ruhik4t,1520904740212809728,SeanGorman777
my friend has been live texting me during his watch of jackass forever and i’m happy to see he is enjoying himself :) https://t.co/a1O5DcyrlH,1520901297729425409,Mahoneeeyyy
It’s a Jackass Forever kinda night,1520900754378264576,JasonAxel
"You don’t watch jackass forever
You experience it 
- -rupi carr",1520893589160665091,sleeplesshann
Watching Jackass Forever In 4K On Paramount + With My Mom #I❤️4K #DareDevilMovieTime ☠️🎬🍿 https://t.co/GiPoJbSpSA,1520889778337681410,jockamo357
"Dos Estaciones
After Yang
Jackass Forever https://t.co/Ma6ckYqvuj",1520887362103832576,LingoUnbound
I just watched Jackass Forever it was nothing short of cinema genius. 10/10 on par with the best Hollywood has to offer.,1520873232118824966,ScottGauth
[ there’s just something about Knoxville during the bear scene of jackass forever.,1520869188411301890,sadomasoxass
My dads review of Jackass Forever: “I laughed my ass off man. Poopies was hilarious but the movie had a lot of cock &amp; balls.”,1520869111986900999,THEBryanSternik
#TDAC Jackass Forever https://t.co/0CBfn3jsGG via @YouTube,1520867141293072384,AddictionMaster
watching the jackass forever extras 🤩,1520859525548441600,jhnnycocksville
So I never got to watch jackass forever on release so we are watching it now.... So far it hasn't disappointed at all... Still crazy as hell. https://t.co/qvnw5gsIdU,1520850787311796224,retroGaming2009
Watching Jackass Forever with my children because I am not a regular mom.,1520845794026340356,kitten_arms
"The Card Counter
We're All Going to the World's Fair
Jackass Forever
RRR
I'm Thinking of Ending Things

honourable ""is it a movie I guess sort of?"" mention: Can't Get You Out of My Head

guaranteed top 5 after a rewatch: Annette https://t.co/ugOMJ9iQNB",1520842774253342722,FartonFink
"1: The BATMAN
2: Jackass Forever
3: Scream 2021 https://t.co/X3voiQqqge",1520840100594307073,LoifeLikesThing
just finished jackass forever and yes i did cry at the ryan dunn forever clip at the end ok,1520838334544850946,grimalkintoes
Amazing triple feature last night. Jackass Forever -&gt; pewdiepie minecraft vids -&gt; American psycho. Would recommend,1520838131502698496,to_kingdom_come
"@wolfiecomedy what was it like to meet Tony Hawk and film with him during the intro for Jackass Forever? 
#goodshit #yeahdude",1520823951005343744,codysylas22
me everytime chris spoke in jackass forever https://t.co/cEsowQ7iei,1520812469819740161,queueius
"no order

Dune
no time to die
the green knight
mugen train
jackass forever https://t.co/YAc5IdDHxb",1520809018163355649,itsmeTylerG
"Watched Jackass Forever last night.  Obviously not everybody's cup of tea, but if you like that kind of humor, you'll love it. Best enjoyed with adult refreshments and your favorite gas station snacks.  I give it 4 Scrotezillas out of 5.",1520801884189171712,sairentohiru
"Jackass Forever (2022) - Read 77 Movie Reviews 
Link: https://t.co/KwCgPsPa8K 
#JackassForever #MovieReviews",1520780367204081666,cinafilm
Jackass forever is funny as hell 😂,1520777286571675649,mixturekush
"Jackass Forever 
Blu-Ray. Johnny Knoxville, Steve-O
List Price $31.99 
Now $19.96 
Amazon https://t.co/yAmt7wVo7b #ad https://t.co/92SvkdY9Li",1520771764191731712,PS5only
Jackass Forever is their best one yet. Lol,1520770622879580162,thetaylorfranks
Burns is a jackass guilt monger for the always and forever aggrieved J's. https://t.co/Qjz3Fkv9M1,1520764745069981698,JohnMHenni2
"@jackassworld it goes to show your sense of humour can mature as I watched Jackass Forever on Friday didn't laugh once guess at 36 peoples knobs, arses and people drinking semen these things just aren't funny rather watch some classic @BAM__MARGERA skits on CKY or Viva La Bam",1520760693330485248,MJCisWrestling
"Favorite first watches of April:

Everything Everywhere All at Once 
The Northman 
Bodies in Dissent 
Jackass Forever https://t.co/krwtjOnXY3",1520749858545713152,KevinGilBosquez
"RRR
Red Moon Tide
Drive My Car
Mad God
Jackass Forever https://t.co/v5k3ijRTgR",1520742381573844994,bartlebooth45
"First day in to May and there’s plenty of new music and movies on the way, wahey

Film/TV:
Turning Red
Uncharted
Jackass Forever
Doctor Who
Peaky Blinders
Chucky

Music:
Harry Styles
Liam Gallagher
Florence + the Machine
Arcade Fire
Emeli Sande
Halestorm

Preorder today! https://t.co/EVFwta4OWt",1520682145588645888,hmvMansfield
"Bored can't sleep insomniac watching jackass forever come hang out with me

https://t.co/4gLXsapSdo",1520672891779571712,fustinjalkin
jackass forever (2022) https://t.co/vZwyluIoTZ,1520664321562357760,isitcooltocrash
"I watched jackass forever lastnight and thats the reason TV shows end, and  without ever a reunion episode.",1520663541493207042,hodl4_joy
"My IG is FustinJalkin

I'm live right now watching Jackass Forever, join me, think I'm gonna go on Twitch soon, anyone want to hangout?",1520659008335585280,fustinjalkin
Just finished watching jackass forever. Best jackass movie hands down.,1520657978797428736,psychicswing774
Im watching Jackass Forever and LMFAOOOOOOO I’m crying real ass tears,1520652098190249985,Mister_Ward91
"Wow. What a month:

-Ambulance
-Paddington 2
-Jackass Forever
-Charley Varrick
-Dual
-I Am the Pretty Thing That Lives in the House
-Mr. Majestyk
-Rollercoaster https://t.co/MmDTc6eepp",1520644147274649601,The_Shape14
Jackass Forever is up on YouTube and it is taking me a crazy lot NOT to go ahead and watch it due to the lack of a certain Margera member. It just doesn't feel like Jackass without him.,1520633629134974978,tokenblackautie
now playing on https://t.co/zvLbMG3WS6: The Jackass Forever Movie Is A Sad Cope by https://t.co/YFVd3ETRHx,1520628374913396736,ecco_fm
"Horror Jackass Forever https://t.co/DxqUNQuflo via @YouTube   , FUCK FBs ZUCNENBURG's Nazi ASS",1520622627743801344,Brandon08910752
"Jackass Forever is truly the most ""Dudes Rock"" thing i've ever seen",1520618231832010753,WEYLAND_NZ
"Jackass Forever! EPIC! #jackassforever @ Orlando, Florida https://t.co/pGaDhqmAxA",1520616585844637697,Fearsman26
jackass forever movie of the year,1520614667667664897,kickboysega
Finally got around to watching Jackass Forever. It was ok. I feel like it was a bit forced comedy. The vibe was totally different from the other movies.,1520607906676506624,Kitty1114
Prosecco drunk and jackass forever might be the move tonight,1520607414269009920,krissballs
To be fair #Schramm has 199 less scenes of a penis than Jackass Forever #splatterday,1520592657944358912,MovieMikeC
finally watching jackass forever and screaming so loud I scared my dog,1520590185892786176,ash_caruso
"Just finished up Jackass Forever, not worth the hype. Go watch the older movies and tv series.",1520588175013556230,zzlint
Oh I’m gonna be in deep trouble for letting him watch Jackass Forever,1520582684870905858,tinpttwyaigu
Jackass Forever 😭,1520582041372401664,More__Reece
"Not sure anyone wants to watch, but we'll be watching Jackass forever either in 1 hour, or tomorrow. Let's get it!",1520576005944926208,drpi314159
"I watched Jackass Forever in the theater, but I bought the bluray today. I think it’s time for a second watch.",1520573477358551043,wvnottingham
Just saw Jackass Forever and you know it's a good one when you feel like you just got beat up from just watching it. It's cool to see these old dudes be so unapologetically being themselves and doing all this stuff. Jackass is special to me so I'm glad it played out how it did!!,1520568294666866689,minibarfs
Watching “Jackass Forever” tonight. A tireless affirmation of our shared humanity.,1520567166143193089,joshdgreenberg
"N (my manager): i watched jackass forever &amp; it had a lot of dicks in it
me: yeah S and i saw it in the theater &amp; it was uncomfy
N: i’m sure she was more uncomfy than you
me: um…why?
N: because she doesn’t like dicks 
me: N…
N: what
me: i’m a lesbian. we’re both lesbians",1520566032972267523,ghostsnghoulz
Bruh I should not have ate that damn edible then looked at jackass forever! 🤦🏾‍♀️😂🤦🏾‍♀️🫣 I can’t right now,1520563986441326593,i_FunSized
Jackass Forever and Everything Everywhere All At Once - 10/10 https://t.co/zbRK0gwP77,1520558361225404416,CodyNieset
"watching jackass forever
it seems very toned down compared to the other ones so far (aside from the one with hte bees)",1520552217878708224,BORDERLINEFOID
"World’s Fair, X, Batman or Jackass Forever tonight? Already seen the last two but liked them a lot",1520552156260184067,ZachWKelly
"Rewatching Jackass Forever, and I’ve decided if the Before Sunrise series is truly over, I’m just going to need a new Jackass every 10 years. @jackassworld https://t.co/b76P3Soipd",1520551438232997888,RandallLotowycz
What was the funniest part of Jackass Forever and why was it Preston accidentally shitting himself while wearing a skin-tight onesie,1520549956301508609,herbitore
I just watched Jackass Forever (2022) https://t.co/ZY0NASvORS #trakt,1520546367965380608,sethbokelman
Jackass Forever was absolutely brilliant btw. It was so good that it made my wife's dad uncomfortable and he went home. Oh the memories of 20 years ago.,1520544636552417286,willbolicious
"Pre summer movie season “best of 2022” movie list:
1. EEAAO
2. The Batman
3. The Northman
4. X
5.Jackass Forever
6 Ambulance
7. Kimi
8. Turning Red
9. Lost City
10. Scream(2022)",1520541427780005888,alehmkuhl34
Just watched jackass forever still funny as fck🤣,1520535030694567938,ralstoncsc
Jackass forever is super wild 😂,1520530410752684032,renzeeto
We’re watching Jackass Forever and the part where Steve-o’s dick gets attacked by bees was so goddamn painful to watch and I don’t have a dick,1520530071685156864,goodbyefriend
tyler the creator in jackass forever &gt;&gt;&gt;,1520523635160752129,zedrichie69
every day since seeing Jackass Forever I humble myself with the reminder that if I was playing the Dum Dum Game I would have the same outcome as Poopies. when he tries to solve the area of a 5x5 square and says 10 inches. very me.,1520514922211205126,faghusband
