full_text,tweet_id,screen_name
"Iron Penguin Award Winners

2019-20: Teddy Blueger &amp; Marcus Pettersson
2020-21: Jake Guentzel &amp; Bryan Rust
2021-22: Evan Rodrigues

#LetsGoPens",1520896144443949056,IceBurghPodcast
jake guentzel having a kid before crosby does smh,1520868355300859906,KAPRlZ0V
JAKE GUENTZEL FUCKS???,1520868082926948357,tjtracy92
JAKE GUENTZEL OR WHATEVER IS 27??????,1520865153922871297,amandaa_monacoo
where is everyone getting this jake guentzel intel ??,1520864016436023296,coldbrewabby
IS JAKE GUENTZEL HAVING A KID???,1520861129240682496,ratthewtkachuk
jake guentzel is NOT old enough to have child,1520859397026627585,53BLUEGER
jake guentzel is pregnant?,1520856787280355330,lorentzbff
"you can tell me that jake guentzel is 27, married, and is going to be a father all you want but i’m still not going to believe you",1520856631923200000,ivyjost
JAKE GUENTZEL PREGNANT???? SIDNEY AND GENO GRANDPARENTS????????????? AT 35????,1520856264695324672,fkatbhabhi
jake guentzel father??? does this mean sid (and geno) are showing up to grandparents day???,1520854065927831560,crosbyseguin
jake guentzel is gonna be a dad?? 😭,1520853516302098434,timeacola
"Matt Boldy finished with 0.83 points per game. That's tied for 23rd (with Jake Guentzel) for most by a rookie in the Salary Cap Era.

Ahead of:

Trevor Zegras (0.81)
Johnny Gaudreau (0.80)
Mark Stone (0.80)
Mitch Marner (0.77)
Nathan MacKinnon (0.77)

and more. #mnwild",1520827307749003264,OhHiTony
2018 19 OPC O PEE CHEE PLATINUM #hockeycards https://t.co/5g3LF5ZIK9,1520786939120660482,gems_card
Jake Guentzel is wondering if you took your meds today. Did you eat something?,1520669632411037697,nhlshitpost
"Jake Guentzel: God, is that you?Alexander Ovechkin: No, dumbass.",1520453147646324737,nhlshitpost
Am I the only one who thinks Jake Guentzel is hot?,1520352482219626496,nhlshitpost
Jake Guentzel wants to play for the Anaheim Ducks. He even had bedsheets with their logo on it as a child.,1520319763573927936,nhlshitpost
sources saying jake guentzel is elite? https://t.co/RtayRbiyZq,1520223330443407360,sidneycrosbys_
Sidney Crosby &amp; Jake Guentzel tie for the Pens Points Leader this season with 84 points a piece #LetsGoPens #StanleyCup,1520217491431202817,IceBurghPodcast
Penguins hang on for the win. Jake Guentzel avoids what could’ve been a bad injury in the waning minutes. The Clarks are playing What a Wonderful World in person. The last regular-season game is a success.,1520217145254326272,acarducci
McGinn just skunked Guentzel’s chance to lead the team in scoring this yr when he missed a wide open ENG on a pass from Jake. Crosby surely bought off McGinn on that. Lol,1520216818463514625,ThePensInsider
Jake Guentzel just bit the crossbar but he’s fine #LetsGoPens,1520215488441335812,ilovepinksugar
Somebody tried to murder Jake Guentzel,1520215285361528832,jeff_milano
Jake Guentzel got vibe checked. He failed.,1520214062696607744,nhlshitpost
The Pittsbugh goal scored by Evan Rodrigues assisted by Jake Guentzel and Teddy Blueger,1520195601249538049,oofoof8
Jake Guentzel just caught Miro Heiskanen flying a plane with Connor McDavid. He joined in.,1520188904682319872,nhlshitpost
