full_text,tweet_id,screen_name
Listen now 1973 - JAMES BLUNT on https://t.co/EVPHltYmIi https://t.co/LdEnBm9NfO,1520911994001444867,_Top_Radio
listening to james blunt smoking a james blunt,1520909180768595971,Mmmmriah
Don’t ever forget how much they made you listen to James Blunt’s “You’re Beautiful” without your consent.,1520893840521109508,spencermader
"Now Playing: 'LOVE, LOVE, LOVE' by 'JAMES BLUNT'",1520891423033368576,3FMradiomusic
Alle Forben - Walk Away (Feat James Blunt)  https://t.co/utUxCLyLar,1520887004380151812,RadioNovesei96
Now playing on Power Radio James Blunt - You're Beautiful,1520884822385827840,PowerRadio9
"Why the selfish rich should vote for the Libs not the teals 

Blunt commentary by James Campbell 

#ausvotes #Kooyong #ClimateCrisis #integrity 
 https://t.co/w9Ebf0tx8m",1520882408333078529,PaulNAustin
James Blunt - You're Beautiful  [Live From Ibiza] https://t.co/d8WRsqORCR via @YouTube,1520879246352207874,zethwock
"Feeling sorry for the person who broke into my car last night expecting to get money, valuables, etc only to find my sister's old James Blunt CDs and Now That's What I Call Music Vol. 16 (the one with Ocean Avenue by Yellowcard and My Band by D12)",1520874529635057667,ErinxxMarie
James Blunt - Bonfire Heart https://t.co/LMcMmI539q,1520872323737391104,Funkykidsradio
Now: OK - ROBIN SCHULZ Feat. JAMES BLUNT on https://t.co/euPh0ZZYk8 https://t.co/eJ4337yipy,1520863662591860737,Musicstradio20
Now playing: Cold by James Blunt #nowplaying Listen live: https://t.co/DswV8KHFmv https://t.co/4YutfMGLJD,1520858773673308160,mixfm_now
disco electro techno pop music now Goodbye My Lover - James Blunt on https://t.co/Wg3ueOYXGF https://t.co/8OXDkEDdze,1520855669112516610,POPXXICENTURY
"Conservative MP Crispin Blunt announces he will not stand for re-election today, on the 25th anniversary of his election for Reigate in 1997. He'll see out the rest of his term.",1520852412084408321,James_R_Dunn
@JamesBlunt I want to get married to James Blunt,1520849801092517888,b0gn0rR3gi5
Grande James Blunt 😍 https://t.co/8QZ743DTEe,1520846165549453313,mquayatto
"I'm not calling for a second chance
I'm screaming at the top of my voice
Give me reason, but don't give me choice
'Cause I'll just make the same mistake again- James Blunt",1520843242870300673,yesiamflavia
James Blunt — Tears and Rain https://t.co/PzgUz5SbL0,1520833551855357952,vibezshordy
#nowplaying good #music your best #hits and your #fav - Listen to  #LostFrequencies - Melody (feat. James Blunt) - #: https://t.co/b8hIkYzqF2 #charts,1520829177854894081,RadioBobiko
Emitiendo: gh - James Blunt en #RadioEncuentro #LaMejorMusica,1520816598025650176,radioencuentrok
"( #OnAir ) "" Lost Frequencies ft. James Blunt - Melody (Ofenbach remix) "" #LoMejor esta en https://t.co/MADDVlkbcR",1520808696049278976,RADIOHORUSmx
