full_text,tweet_id,screen_name
"ATP 1000 Mutua Madrid Open  
 Popcorn matches for tomorrow 
 Diego Schwartzman vs Benoit 
 Paire                                   
 Tommy Paul vs Jannik Sinner",1520907703887237121,Kenmckinnon9
"Tommy Paul plays Jannik Sinner later today in Madrid Open.

Our Algorithm thinks Jannik Sinner will win with a 63.52% chance.

#MadridOpen #ATP1000 #ATPTour",1520855732895330311,Tennis4Cast_
ATP Madrid Day 2 Predictions Including Jannik Sinner vs Tommy Paul https://t.co/yFybBRaNJV,1520827548891967489,RonSmit45793507
ATP Madrid Day 2 Predictions Including Tommy Paul vs Jannik Sinner - https://t.co/l4oTMkkxQn via @LastWordTennis,1520815472316497920,lastwordonsport
"ATP 1000 Mutua Madrid Open  
 Manolo Santana Stadium   
 Tommy Paul vs Jannik Sinner  
 12:00pm M.S
 Carlos Gimeno Valero vs Gael 
 Monfils  2:00pm M.S  
 Night Session                      
 Andy Murray vs Dominic Thiem  
 8:00pm M.S",1520806793667960832,Kenmckinnon9
"Born 2000 ATP Titles

Sebastian Baez - 1
Sebastian Korda - 1
Thiago Seyboth Wild - 1
Felix Auger-Aliassime - 1

Born 2001 ATP Titles

Jannik Sinner - 5
JM Cerundolo - 1

Born 2003 ATP Titles

Carlos Alcaraz - 4
Holger Rune - 1

*Born 2002 ATP Titles - 0",1520798489193553922,vanshv2k
Madrid Masters 2022: Jannik Sinner vs. Tommy Paul Tennis Pick and Prediction https://t.co/Mh7rsG6IS3,1520676547354574849,Tennis_Section
"Jannik Sinner still in love with Maria Braccini? #braccini #jannik #love #maria #sinner #still #tennis #with
https://t.co/KOAGHfW3VR",1520675254124875776,SwaveDigest
"Tommy Paul plays Jannik Sinner later today in Madrid Open.

Our Algorithm thinks Jannik Sinner will win with a 63.79% chance.

#MadridOpen #ATP1000 #ATPTour",1520659414545534979,Tennis4Cast_
"https://t.co/LnzKGO7KJL Holger Rune sets an amazing milestone: The Copenhagen native, currently 70th in the ranking and with a great future behind him as a professional tennis player, achieved a beautiful goal even before the Italian Jannik Sinner. https://t.co/Sfjax03Vil https://t.co/liUgZuEanw",1520414436292325377,_TennisCoaching
"Heartstopper (2022)
Cast:
Hubert Hurkacz as Charlie Spring
Jannik Sinner as Nick Nelson
Lucas Pouille as Ben Hope https://t.co/9BGJUhrl62",1520389500865679362,jazdahubi
"Jannik Sinner: ""what am I doing?"" https://t.co/k6zizuUEXp",1520072757698043906,DominicMEME
"""i told you, i don't have talent! what am i doing!"" - jannik sinner https://t.co/74SIYs8PZy",1520068597728559105,rafasfederer
"""I need to put on some muscle"" admits Jannik Sinner  https://t.co/gFUN1pgdIj https://t.co/G8eGcnHKTj",1519919479836323840,TennisInfinity1
"Filip Krajinovic @filipkrajinovic with Jannik Sinner @janniksin in Madrid 🇪🇸
@MutuaMadridOpen 
Practice session 🎾🔥

#MMOPEN  #idemo 💪
📸:@filipkrajinovic Instagram https://t.co/0fk3gjS4V4",1519909621032439808,MilicaM84932667
"Stefanos Tsitsipas, Alexander Zverev, two examples of no champion material. Carlos Alcaraz, Jannik Sinner, two examples of champion material. The first will never win a grand slam, the second will. Remember, you must first be a good person to deserve a grand slam! 🎾 #Tennis",1519657712325439489,chriswieders
"Andrey Rublev rocking a Koala🐨 t-shirt  in practice at #MMOPEN 😜 again

or is it Jannik Sinner 
from: https://t.co/mIFra9suhb https://t.co/bNR7aaD46t https://t.co/fBZIFEyIJg",1519642737741471744,funnyzeitgist
"Will Jannik Sinner be the first man born in the 2000s to win a slam in Tennis? https://t.co/4RQim4crBI, also findable on https://t.co/a54K8me5mv https://t.co/dbXeQLItHy",1519545765529591809,metaforecast
Jannik Sinner @janniksin. Born in lovely Val Pusteria. Among beautiful mountains. South Tyrol. A Tennis Top that all Italians and Europeans love. #forza 🎇🎼🎇!!! https://t.co/Um4iaH1P9h,1519390715071053827,CreativeDiplo
"Jannik Sinner explains what forced him to retire versus Francisco Cerundolo 
https://t.co/MYFpPnQIGR",1519378185812684801,SwaveDigest
"'Piatti, 63, is well respected in the sport, with Novak Djokovic and Maria Sharapova on his list of former clients. His most recent partnership, with Jannik Sinner, ended this year after ... eight years.'
Why not say Sinner? Bizarre.
https://t.co/HKZ5pB17cX https://t.co/roA3M8Xu0Q",1519049992400424960,CristinaNcl
"Jannik Sinner's clothing sponsor Nike may launch a collection featuring Sinner's new logo on it. 

A popular social media account really close to Jannik - Jannik Sin Updates - has just shared a cryptic tweet. https://t.co/66AJwC7LUO",1518974432974417921,RelevantTennis
"Jannik Sinner on Andrey Rublev: “I have seen the jokes and memes about how similar we are. In fact, we are actually twins who were separated at birth. I don’t know why Andrey keeps denying that we are twins. It makes me sad. He also refuses to reply to my texts.” https://t.co/QacdrPi6J8",1518666916130435072,rubledever
"Daniil Medvedev: ""Jannik Sinner is the reason why I play tennis. He is a big inspiration for me."" 🤝 https://t.co/DBaSox5iLC",1518665338816188416,kr9ptonlul
Great Shots And Rallies In Alexander Zverev vs Jannik Sinner Thriller | Monte Carlo 2022 Highlights https://t.co/WJ49HzdoUd,1518527574858682368,itennis4
"Jannik Sinner still in love with Maria Braccini? #braccini #jannik #love #maria #sinner #still #tennis #with
https://t.co/kjTiai0hNf",1518412048425791488,SwaveDigest
