full_text,tweet_id,screen_name
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/xT7WfFvxcu https://t.co/HeTXEA53NI,1520863882062929920,JohnPay91891171
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/RYsfBdSAKN https://t.co/Egc6l5iZSQ,1520863873158451203,JohnPay91891171
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/lvTFo2VH6Q https://t.co/OpbAUCsVfu,1520863864857907200,JohnPay91891171
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/TsP4EKA2U3 https://t.co/k8oXkmxnju,1520863851239002112,JohnPay91891171
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/XfGnBd4exz https://t.co/fYieLygFA8,1520863842556817408,JohnPay91891171
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/NonwIOhwwY https://t.co/wvgG3DwY0b,1520620331890741248,MassiveNelly
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/bx6gcbZECL https://t.co/5RcdLnMOqm,1520620314341744646,MassiveNelly
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/IuTEcNgsDg https://t.co/r0oSeMH0OJ,1520620296453038080,MassiveNelly
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/UzoT2HTTYV https://t.co/dNzvxS8mrd,1520620280619569152,MassiveNelly
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/jkuwzLTyli https://t.co/RI2s29B3Z7,1520620264467271680,MassiveNelly
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/fo1IDtue9T https://t.co/9sxalWqTL1,1520388656896176128,Dcroft636Croft
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/755wJ5IoTz https://t.co/iTQje1cKV9,1520173038343311360,JohnPay91891171
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/kKqAER7B0R https://t.co/vTRT8INLBO,1520173029577265152,JohnPay91891171
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/AeWk6L6LhR https://t.co/mbayIOj5QF,1520173020286840834,JohnPay91891171
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/8tS55mVGD0 https://t.co/xNe6oefULN,1520173011181006848,JohnPay91891171
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/b86ljuSKx0 https://t.co/EIOR7QNWL5,1520173001332822016,JohnPay91891171
"""It's really important to use these medals that we're carrying around to make sure that we get in the door – that we get in front of people who are able to vote on these huge policies that impact all of us"" - @jessdiggs in @USATODAY by @Tom_Schad

https://t.co/JAYrrX3ceP",1520090489260806145,ProtectWinters
"Winter Olympians use medals to open doors, spark climate discussion on Capitol Hill https://t.co/5vrEKtRhQ9 via @usatoday",1520072200195387392,SportsLawHQ
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/NT0Gngxh4w https://t.co/xJCnwKvZfq,1519998724239364097,MassiveNelly
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/esngmcjqQ5 https://t.co/P1KmK0RRNp,1519998709265616896,MassiveNelly
Team Toyota’s Jessie Diggins Becomes First American Woman to Medal in Olympic Long-Distance Cross-Country Race https://t.co/whffCISk4N https://t.co/CfVqukmfQ1,1519998684963868672,MassiveNelly
