full_text,tweet_id,screen_name
Martin Ferhevary really does compliment John Carlson quite well. https://t.co/PsSFNs7Cxe,1520915841872797702,HowYaDrouin
John Carlson just to call me Boboy 💀 https://t.co/jrgeKMccJh,1520896508815884288,jcmithnoy
Check out 2021 Topps Update Dylan Carlson Rookie Debut Gold Parallel 1277/2021  https://t.co/ELng0Ogl8v #eBay via @eBay,1520874657662083074,John_Moore_IV
"2021: 
John Oliver on Tucker Carlson: 'The most prominent vessel for white supremacist talking points' https://t.co/Y73GiJGqan",1520846466117427200,25thcenturygirl
Tucker Carlson: Last Week Tonight with John Oliver (HBO) https://t.co/zsztUWyt2k via @YouTube,1520845354584797184,oden_sven
He’s a prime example of being an “enemy of the people” https://t.co/QAVw5QIPyD,1520803735152304128,NBPT_John
Who thinks Tucker Carlson's show should be taken off cable?,1520792652815474689,John_Beckham14
Check out 2021 Topps Update Dylan Carlson Rookie Debut Gold Parallel 1277/2021  https://t.co/wINNWAU7J9 #eBay via @eBay,1520780039616352258,John_Moore_IV
"@GovChristie on ABC This Week:  Concerning Kevin McCarthy denial of what is said on the tape, Christie states, “Voter’s don’t care about this.”  No, Gov Christie.  While the issue of the lie itself may not be important to voter’s, the COVER-UP is important!  John Carlson is ..,",1520778731375280128,PamPalmerJD
"John 3:17 (@ Emmanuel Christian Center in Spring Lake Park, MN) https://t.co/VPC3jg6FaR",1520762360071340032,Brad_Carlson
"Tucker Carlson Ratings Support 'White Nationalism' Talking Points: NYT            Bloody, red meat news… https://t.co/5x2fKq35KY",1520745718599888896,NBPT_John
"""America's not racist""

""Carlson dismissed those protesting the [Floyd] killing as criminal mobs. Companies like Angie’s List &amp; Papa John’s dropped their ads. The following month,“Tucker Carlson Tonight” became the highest-rated cable news show in history.""https://t.co/CxtfthsQdt",1520738432397586433,RealCryptoQue
John Carlson Washington Capital #hockeycards https://t.co/fAneeyFrB3,1520696179138383872,gems_card
Everyone is just jealous of Tucker Carlson.,1520523954678644736,john_qvd
"I thought I would read the whole article from MYT about Tucker Carlson, but I don’t feel like wasting my time on this liberal vomit.",1520523811199852549,john_qvd
"When the entire American regime and its propaganda apparatus unconditionally support anything, we should immediately be suspicious. The fact that Tucker Carlson  didn’t jump on the #Ukraine bandwagon is a testament to his character and to his respect for the American people.",1520521886001737735,john_qvd
"It is hilarious to me that we still pretend that FOX news is a conservative outlet. With the important exception of Tucker Carlson they are five minutes to the right of CNN! Don’t be fooled, folks, FOX news hates you just as much as the rest of them.",1520517694507917313,john_qvd
Tucker Carlson was right. Immigration DOES make our country poorer and dirtier. The New York Times is blatantly manipulating you. Why should I care if immigrants are impoverished? Our country is at max occupancy for non-Americans.,1520516506454568962,john_qvd
Tucker Carlson is the only true conservative left in the mainstream. He has refused to change his positions on moral issues like so many other “fauxservative” FOX hosts have. The reason why they haven’t gotten rid of him yet is because he is much too popular.,1520514376779902977,john_qvd
"Bill Barr reminds me that Roseanne Barr's ex-TV husband John Goodman could play him in a movie entitled, ""Satan's Lovechild #DonaldTrump2024 Always Betrays Everyone."" But who'll play Tucker Carlson, Marjorie Taylor Green, Bobo and the other criminals? https://t.co/mwiL4d6pSm",1520500159376990208,factandrumor
"Josh Bailey gets lots of hate directed at him from some Islanders fans but only 5 players selected in the 2008 draft have more points than Bailey (555) who was the 9th pick. Stamkos 972, Erik Karlsson 660, Jordan Eberle 595, John Carlson 593 and Drew Doughty 567.",1520441810056843264,jmont226
John Carlson Washington Capital #hockeycards https://t.co/OZBpiEQoZV,1520425396801617921,gems_card
"Apr 29, 2022: NHL Special Teams Icetime Leaders

Forwards (PP)
Evgeny Kuznetsov 7:47 #allcaps

Defence (PP)
John Carlson 7:21 #allcaps

Forwards (PK)
Joel Eriksson Ek 4:35 #mnwild 

Defence (PK)
Jack Johnson 7:11 #goavsgo",1520424553922449408,CcCMiddleton
