full_text,tweet_id,screen_name
"Six players were tied for the most Skater of the Wins with four each!

Jonathan Huberdeau for @zOMGItsClaire 
David Pastrnak for @MichaelRyne 
Patrick Kane for @_PJax_ 
Kyle Connor for @MichaelRyne 
Roman Josi for @MichaelRyne 
Mitchell Marner for @_FatJesus_",1520899919061655553,FantasyNerdFix
"🔸 Connor McDavid - 123 
🔸 Jonathan Huberdeau - 115 
🔸 Johnny Gaudreau - 115
🔸 Leon Draisaitl - 110
🔸 Kirill Kaprizov - 108
🔸 Auston Matthews - 106 
🔸 Steven Stamkos - 106
🔸 Matthew Tkachuk - 104

The 2021-22 season had A LOT of 100-point players!

(🎨: IG/jakekdesign) https://t.co/LU5rVAr9bh",1520883283751583746,kendell_m
Jonathan Huberdeau: Should play in Game 1 https://t.co/lbBqltfWdo,1520807382133231622,RotoWireNHL
Jonathan Huberdeau: Should play in Game 1 https://t.co/3MnKXNJJho,1520807381193707524,RotoWire
"Andrew Brunette says that Jonathan Huberdeau and Mason Marchment both took maintenance days while “dealing with a couple things” today.

He said he wasn’t sure if either would miss Game 1 — said he would hear back on Huberdeau today and he is hoping Marchment is good for Game 1.",1520797387077431296,ColbyDGuy
"Who are you adding to your #StanleyCup Playoffs fantasy team? 👀 Connor McDavid, Nathan MacKinnon, Jonathan Huberdeau, Leon Draisaitl, Nikita Kucherov, Cale Makar and Nikko Rantanen

NHL Fantasy breaks down the most valuable players.

Details: https://t.co/XtQBKzTlhE https://t.co/Ew5XaCs4db",1520793281910788096,kendell_m
#FlaPanthers practice is underway and Mason Marchment and Jonathan Huberdeau are both absent… https://t.co/vBdx4rvE3i,1520780853714071552,ColbyDGuy
"NHL Writers: Auston Matthews has done nothing to prove he has what it takes to be in the top 10 of any playoff player ranking

*Lists Jonathan Huberdeau, Connor McDavid and Leon Draisaitl in the top 4 ahead of Nikita Kucherov* https://t.co/AEHxeGR8ri",1520777966330036225,Frisbob
TOTALLY CERTIFIED 13 14 JONATHA #hockeycards https://t.co/ESb6txUQqO,1520737511617835008,gems_card
I still think it should be Jonathan Huberdeau. He dictates the play at both ends of the ice and elevates every teammates game. Panthers aren’t the same team without him in the line up.  Just my two cents. 🤷🏻‍♂️ https://t.co/FemBlt9IgN,1520447510128775168,HLHkyAllStar
"2021-22 ART ROSS TROPHY ODDS
Connor McDavid (Edmonton) -2800
Jonathan Huberdeau (Florida) +1600
Johnny Gaudreau (Calgary) +4000

Odds by bet365 - Sub to Change - Updated Wed. Apr. 27, 9:35am

#nhl #espn #vegasinsider #stanleycup #odds #hockey #playoffs #draftkings #tokenmartclub",1520398408011427842,TOKENmartclub
Jonathan Huberdeau RC 2013-14 Crown Royale Silhouettes Rookie Patch Auto 4/25 https://t.co/YbdPocmw5b eBay https://t.co/dwRkjSjHVp,1520308505634213888,SportsTradingC9
JONATHAN HUBERDEAU 2018 19 UPPE #hockeycards https://t.co/959dRRVN4Q,1520289490484482048,gems_card
"Point leaders
1. Connor McDavid 123
2. Johnny Gadreau 115
2. Jonathan Huberdeau 115
4. Leon Draisaitl 110
5. Kirill Kaprizov 108

Kirill Kaprizov ended the season top 5 in points in only his 2nd year and hes only going to get better #mnwild 

*These are the final point standings*",1520234636604936192,aidsuribe
"Johnny Gaudreau finished with 115 points, tied with Jonathan Huberdeau for 2nd in league scoring. 

I’d say that’s pretty good.",1520229412930654209,JamesJohnsonYYC
Jonathan Huberdeau (FLA - L): Is not expected to be in the lineup for today's game. https://t.co/BMPWmmT6dl  #nhl #TimeToHunt,1520145145341280256,Left_Wing_Lock
"Early Hart trophy voting by the Professional Hockey Writers association:

Auston Matthews, 61 points (4 first-place votes)

Jonathan Huberdeau, 57 points

Connor McDavid, 43 points 

Igor Shesterkin, 32 points",1520106171926994946,13Leafs01
Jonathan Huberdeau will play the back end of the season for the Panthers in Montreal tonight as he sits 3rd NHL scoring (Source #NHL) #GoHabsGo https://t.co/hg0eQDzzef,1520079809757560832,samuelmj01
"Her: You better be Jonathan Huberdeau and Sasha Barkov riding panthers in full hockey gear if you think we fucking
Me: https://t.co/dxTyqyl174",1520051713117286401,hezbruhllah
Johnny Gaudreau hit 115 points tonight tying Jonathan Huberdeau for 2nd in league scoring #Flames,1519918443004194816,ajayissock
Exclusive footage of Jonathan Huberdeau and Sasha Barkov watching the Panthers-Senators game from the pressbox: https://t.co/ljWIlnYHas,1519897203086610433,Kylepuck16
JONATHAN HUBERDEAU 2018 19 UPPE #hockeycards https://t.co/yz4YhfAMIq,1519831649751642112,gems_card
NHL Florida C Aleksander Barkov (rest) D Gustav Forsling (rest) D MacKenzie Weegar (rest) RW Claude Giroux (rest) and LW Jonathan Huberdeau (rest) are out Thursday,1519784497998401536,freeplays
Jonathan Huberdeau: Sitting Thursday https://t.co/bfc0EwRKWe,1519783357755924481,RotoWireNHL
Jonathan Huberdeau: Sitting Thursday https://t.co/vCuKf6LaVF,1519783356799590400,RotoWire
"How the #FlaPanthers stars would stack up if they were held out of the lineup tomorrow:

Aleksander Barkov - 39 goals, 49 assists, 88 points in 67 games played
Jonathan Huberdeau - 30 goals, 85 assists, 115 points in 80 games played https://t.co/bMTXSGFOQv",1519783302919561216,ColbyDGuy
Jonathan Huberdeau (FLA - L): Is not expected to be in the lineup for today's game. https://t.co/BMPWmmSynN  #nhl #TimeToHunt,1519780956109950976,Left_Wing_Lock
"#FlaPanthers players out of the lineup tonight: Sasha Barkov, Jonathan Huberdeau, Claude Giroux, Gus Forsling, Radko Gudas, Sergei Bobrovsky, Anton Lundell.",1519780298656997377,ColbyDGuy
"NHL 🇺🇸 : 

New York Islanders - Washington Capitals -&gt; 
- Conor Sheary/Tom Wilson @2,20 

Ottawa Senators - Florida Panthers -&gt; 
- Jonathan Huberdeau/Aleksander Barkov @1,60 

Minnesota Wild - Calgary Flames -&gt; 
- Johnny Gaudreau/Matthew Tkachuk @1,68 
 
suite —&gt; 🏒🥵",1519778860484771840,diablo_pronos
2013 14 Panini Anthology Rookie #hockeycards https://t.co/5oY9EJx0HY,1519751824521236480,gems_card
#11 JONATHAN HUBERDEAU: ONE TWO STEP https://t.co/0YJRwnsOAi,1519742108663377921,EYEOFNIGHTVALE
"""There was a group of eight for the five spots on my MVP ballot: Sidney Crosby, Johnny Gaudreau, Jonathan Huberdeau, Roman Josi, Kirill Kaprizov, Auston Matthews, Connor McDavid, Igor Shesterkin."" - Elliotte Friedman",1519535286748909570,NickTerhaar89
I stan one man and that is Jonathan Huberdeau https://t.co/FUbNPPizQd,1519467589692440579,briianna_mariii
"Top 10 points leaders in the NHL as of today:

1. Connor McDavid, 122
2. Jonathan Huberdeau, 115
3. Johnny Gaudreau, 113
4. Leon Draisaitl, 109
5. Auston Matthews, 106
6. Kirill Kaprizov, 105
7. Matthew Tkachuk, 102
8. Steven Stamkos, 101
9. Mitch Marner, 97
10. J.T. Miller, 97",1519312536855793664,TheFourthPeriod
"I don’t know who needs to hear this but Johnny Gaudreau and Jonathan Huberdeau are not winning the Hart Trophy over Auston Matthews. The 4 candidates are:

•Auston Matthews
•Connor McDavid
•Roman Josi
•Igor Shesterkin",1519311052185473024,joshbeleaf
"2021-22 NHL Scoring Leaders:

𝟭. 𝗖𝗼𝗻𝗻𝗼𝗿 𝗠𝗰𝗗𝗮𝘃𝗶𝗱 – 𝟭𝟮𝟮
2. Jonathan Huberdeau – 115
3. Johnny Gaudreau – 113
4. Leon Draisaitl – 109
5. Auston Matthews – 106
6. Kirill Kaprizov – 105
7. Matthew Tkachuk – 102
8. Steven Stamkos – 101
9. Mitch Marner – 97 https://t.co/1n5iDmkjUW",1519158216936067072,EricJFriesen
"Jonathan Huberdeau [to McDavid]: I'm gonna catch ya!

McDavid: https://t.co/zAgUU16o8N",1519124925331623936,jsbmbaggedmilk
"Jonathan Huberdeau should win the Hart Memorial Trophy this season. It's looking like one of those rare ""trifecta"" years where Huberdeau could win the Hart, Art Ross *and* be part of a Presidents' Trophy-winning team.

All three would be firsts in #TimeToHunt franchise history.",1519095900987179010,lanci53
"A tight race for the #NHL's leading scorers with three games to go!

Connor McDavid: 118 points
Jonathan Huberdeau: 115 points
Jonny Gaudreau: 111 points

#GoHabsGo #Flames #LetsGoOilers #TimeToHunt https://t.co/0lHlSB3DS2",1519053531461914627,samuelmj01
https://t.co/zIKg1wmEKF Lots of clips that talk about Jonathan Huberdeau. @David954FLA @OneTerritory @BillfromBoynton @devon__305 @1panthers @hlamp @JacobWinans8 @jawsaholic @SittinTwitty @GombarKaitlin @hockeyhaleyy @pamela_abrell @MSports5641 @FP_Superfan @FLAsportsFan83,1519035791858716674,TribuneSouth
"(1/2): Team Atlantic of the regular season NHL 2021/2022:
Jonathan Huberdeau🇨🇦- Auston Matthews🇺🇸- Nikita Kucherov 
Brad Marchand🇨🇦 - Aleksandr Barkov🇫🇮- Mitchell Marner🇨🇦
Mason Marchment🇨🇦 - Steven Stamkos🇨🇦 - David Pastrnak🇨🇿
Brady Tkachuk🇺🇸 - Dylan Larkin🇺🇸 - Drake Batherson🇨🇦",1518978336088862721,NikitaM11934685
make jonathan huberdeau in as the protag’s best friend https://t.co/2jhYjNlCfY,1518921289540452353,_fool94
"2021-22 NHL Scoring Leaders:

𝟭. 𝗖𝗼𝗻𝗻𝗼𝗿 𝗠𝗰𝗗𝗮𝘃𝗶𝗱 - 𝟭𝟭𝟴
2. Jonathan Huberdeau - 115
3. Johnny Gaudreau - 111
4. Leon Draisaitl - 108
5. Auston Matthews - 104
6. Kirill Kaprizov - 103
7. Matthew Tkachuk - 101
8. Steven Stamkos - 97
9. Mitch Marner - 97 https://t.co/RXrDkTO6Nb",1518718642225000448,EricJFriesen
"Help me Jonathan Huberdeau, you’re my only hope.",1518662974323449859,KristopherPas11
Jonathan Huberdeau leads the Florida Panthers into a matchup with the Boston Bruins. The teams meet Tuesday for the third time this season. The Bruins won the last matchup 3-2 in a shootout. Boston is 16-6-1 against the Atlantic and… https://t.co/YK3hI6kZgX,1518501586737287168,mybreakingone
"Wild ending to Panthers/Lightning.
Ejected from game:
Ryan Lomberg
Andrew Brunette
Jonathan Huberdeau
Mason Marchment https://t.co/jwo9uhAx3l",1518410315980951552,BradyTrett
I am absolutely calling out to @NHLPlayerSafety on how bad their officiating has been on the game misconduct on Jonathan Huberdeau is straight dog 💩 😡😡😡😡😡😡😡😡😡😡😡😡😡😡 https://t.co/7qaFuWBGIH,1518407138678243328,HubySZN
"Ryan Lomberg, Jonathan Huberdeau, and Andrew Brunette were all handed game misconducts...

This one is as good as over with an 8-4 score with one minute left, though...",1518406871190802433,ColbyDGuy
"Florida head coach Andrew Brunette and forward Jonathan Huberdeau have been thrown out of the game. 

#TBLightning #TBLVSTBL #GoBolts",1518405852784472064,BoltReport_TB
Jonathan Huberdeau also got sent to the dressing room by the looks of it,1518405780025876480,ABaumgartner91
"My fantasy team is basically carried by Igor Shesterkin, Jonathan Huberdeau, and Sam Reinhart",1518400698156728326,sarcasmpucktail
Robin loves Jonathan Huberdeau and the Panthers #FlaPanthers #TimeToHunt,1518357864691208196,jf97452
"Riding w/ Hubie tonight 🏒

Jonathan Huberdeau o1.5 PTS (-110)
#TimeToHunt vs. #GoBolts

Playing with Barkov again 👍

Needs at least 2 points to keep pace w/ McDavid in the Art Ross trophy race.

Vasilevskiy in net for TBL; not ideal but he allowed 4+ in 6/L8 visits to Sunrise. https://t.co/YkJ6eytkyT",1518352647241093120,FastMoneyLabs
"The Florida Panthers (57-15-6) will look to extend their franchise record 13-game winning streak tonight as they take on the Tampa Bay Lightning (48-22-8) at 7 p.m. EST.

#Panthers forward Jonathan Huberdeau sits second in the NHL with 114 points this season (2 behind McDavid). https://t.co/Q1XsheZVjx",1518348436134940673,jeremywilks8
Jonathan Huberdeau had 92 points 3-seasons ago at the age of 25. In the last 5 seasons only SIX players have more points; and none of them are listed below. Does Google exist in Ontario? https://t.co/Nh0R1Fp6sS,1518340336489226240,HockeyRobThough
Connor McDavid ever since Jonathan Huberdeau took the Art Ross trophy lead: https://t.co/frwc8a5hOy,1518288610411220992,Guruelous
"Here’s my first 🏒 bet

Connor McDavid o1.5 Points (-125)
I bet to win a unit @ CZRs

Holds a slight lead over Florida’s Jonathan Huberdeau for the Art Ross Trophy (most points in NHL).

Expect both players to try &amp; pad their stats today, but I especially like McDavid vs. CBJ! https://t.co/WsD9DaMezS",1518267531252936704,FastMoneyLabs
"🔥 Jonathan Huberdeau (FLA) has exceeded 2.5 shots on goal in 10 of his last 11 games at home (4.5 shots on goal/game average).

TB @ FLA: o/u 2.5 available at #FanDuel (-122/-110).

#GamblingTwitter #PlayerProps #NHL #NHLTwitter https://t.co/OE9zuexL5W",1518258510726721537,Fansure_NHL
"Crazy that Jonathan Huberdeau is having such an amazing year and peaking at the age of 28! It shows that if you draft well and are patient with your top end prospects and players they will peak

(Mitch Marner is 24, William Nylander is 25, AM34 is 24)",1518253562588934144,tmlfaninvan
"You are a dumbass.

By the way, Jonathan Huberdeau, a French Canadian, will win the Hart. 😏 https://t.co/hJoDXcHTn5",1518247424426491906,backhandology
