full_text,tweet_id,screen_name
"We pulled this one out of the #THW Archives. It hasn't been updated since before this season, where Toews played in 71 games &amp; generated 12 goals &amp; 37 points. 

I wonder what 2022-23 holds for the captain? #Blackhawks 
 
https://t.co/u3plr0LycY",1520872453970530304,littlegailk
2007 08 Player Signature Double #hockeycards https://t.co/MQwMp7b3YE,1520863783769497600,gems_card
"#SeaKraken Matty Beniers now has points in 9 of his first 10 NHL games. He joins some notable NHL company thanks to that assist on Alex Wennberg's goal: 

Most Games w/ 1+ Point in First 10 NHL Games
Jonathan Toews 10
Sidney Crosby 9
Alex Ovechkin 9
Matty Beniers 9*",1520844550339661824,ScottMaloneTV
Jonathan Toews got vibe checked. He passed.,1520820556378951681,nhlshitpost
Chicago's Jonathan Toews skates into today's Captains chase! Full Info: https://t.co/fEFFRqQoRN https://t.co/FMpXmJsrKC,1520772550439186432,ToppsNHL
Jonathan Toews scratched after missing team breakfast.,1520649439882346497,nhlshitpost
2007 08 Player Signature Double #hockeycards https://t.co/xZwxfD9afB,1520640595945000960,gems_card
Dylan Larkin just caught Mat Barzal eating with Jonathan Toews. He joined in.,1520639364082020353,nhlshitpost
"Jonathan Toews Bio: Beyond the Glory
https://t.co/N1ajdvMBE0",1520501251271708672,VCP_Hockey
2008 09 Upper Deck Trilogy Jona #hockeycards https://t.co/wWBSdlt2tH,1520492344780414979,gems_card
"Amongst active NHL players, only Evgeni Malkin (12), Joe Pavelski (12), Patrick Kane (11), &amp; Jonathan Toews (11) have more playoff game-winning goals than Corey Perry, who has 10.
Without cheating, who can tell me which #Bolts forward ranks second on TB with nine playoff GWG's?",1520489679480569857,Chris_Krenn
Dylan Sinclair snatches the puck out of the air with the glove save for Lumbcats Hockey Club 🚫📍Jonathan Toews Sportsplex #ThankYourGoalie https://t.co/zRplNWhn5I,1520422794768666626,LiveBarn
Jonathan Toews got vibe checked. He failed.,1520382694806327296,nhlshitpost
"i don’t wanna sound overdramatic, but there is simply no telling what i might do if jonathan toews leaves chicago",1520283195379388416,anthonyruffal02
2013 14 SP Game Used Jonathan T #hockeycards https://t.co/VFJKhGOCvy,1520253855870640129,gems_card
2008 09 Upper Deck Trilogy Jona #hockeycards https://t.co/iqsHNQkis2,1520252905605021696,gems_card
Jonathan Toews got vibe checked. He passed.,1520251820727185408,nhlshitpost
Jonathan Toews deserves to be on a team that can contend. The 'hawks just aren't there and won't be anytime soon. Let him play out the rest of his career on a team that can make a run.,1520233519078952960,Slew_Foot
"Couple of takeaways from the 21-22 finale. 

Hawks need to address goaltending in the offseason. Decent, reliable goaltending. 

Give Dylan Strome/Alex Debrincat a contract ext ASAP

Move on from Jonathan Toews. hire him as an assistant coach or something in the front office.",1520226594085822465,adinbreen
"Season's over. Hope you all enjoyed the coverage - and there's more coming.
Seth Jones piece for Sunday.
Jonathan Toews piece for Tuesday.
Kyle Davidson talks Tuesday.

And maybe I should unveil our new tournament-style way to dole out the Nos. 1 and 2 picks?",1520216488401059844,johndietzdh
"A very good chance this is the end of Jonathan Toews in Chicago. 

I was fortunate enough to be in Chicago on the Weekends &amp; Summers during their Heyday and what a fun time that was.

Good times. 

Thanks Mr Toews!",1520214831315537921,JonCarroll03
"Sabres are playing the Blackhawks for Rick Jeanneret's last game and I thought I would look up some Jonathan Toews numbers.

71 games, 12 goals, 37 points

Mr. 101

41 games, 20 goals, 41 points",1520191191303823361,GunnerStaal
"As the puck drops for the season finale it's possible this will be the last time we see Jonathan Toews in a #Blackhawks sweater. Let me be clear: I AM NOT saying it's extremely likely or a foregone conclusion.

Just a possibility. So drink it in just in case.",1520176934692564994,johndietzdh
Any blackhawks fans feeling a Jonathan Toews goal for the last game of the season? +260 for the captain to score tonight. Puck drops in 7 minutes,1520176828455006209,Paranormal_Bass
The broadcast is saying this is the 1st time Jonathan Toews has played on his birthday. That's pretty hard to believe. Hopefully a good luck charm! #Blackhawks,1520174680388386817,littlegailk
"Jonathan Toews Chicago Blackhawks Home Reebok Indo-EDGE 

Size 46 - $175 USD + Shipping https://t.co/urK98qpo3c",1520103222869995520,_NorthernLeaf
"Happy Birthday, Jonathan Toews! 🎂

@NHL @JonathanToews @BhawkTommyHawk 
#NHL #jonathantoews #chicagoblackhawks #mascot #hockey #plush #itsnotadoll #bleachercreatures https://t.co/aiyHTDQgUO",1520100615665422337,bcreaturetoys
"Uh-Oh..👇

https://t.co/nUTZY9eFYc",1520067888719310850,HawksNationfb
"34 years old today. Where has time gone?
Happy Birthday to Jonathan Toews!
#Blackhawks https://t.co/w96xu2ricl",1520062054765314049,CHGO_Blackhawks
jonathan toews needs to chill out with the self-tanner and then i might consider liking him,1520058967312982016,timeacola
Happy 34th birthday to Jonathan Toews. https://t.co/sJt4rJHRoZ,1520055395015868417,hockeyrep
Happy birthday to 2024-25 Arizona Coyotes fourth-liner Jonathan Toews https://t.co/6PxUzkFA7g,1520053473307504640,justinlosacco
"Happy 34th Birthday to #Blackhawks captain Jonathan Toews! Hard to fathom that he’s already 34. Where has the time gone?!🥺

https://t.co/Dez5mBIpWg",1520053271653666822,TalkinHawkey
"Wishing a happy birthday to Jonathan Toews today. Happy birthday, Captain!🎈🎈🎈 https://t.co/mdGA1BnSHm",1520052160972664833,KikisKeys
"April 29 birthdays continued 
Poet &amp; composer Rod McKuen would be 89
Amon Amarth lead singer Johan Hegg 49
Country singer Willie Nelson 89
Actress Uma Thurman 52
Hockey player Jonathan Toews 34
Goatwhore guitarist Sammy Duet 53",1520049348373065732,scandinavia1020
"@JeffMarek @FriedgeHNIC 
If Montreal Canadiens win the draft lottery, do you think they could also look for Kravtsov or Lafrenière in NYR? And, what about Jonathan Toews as vetertan Captain and 2nd liner? Adding Letang to the mix and you have a decent team right away.",1520036942985019392,Gonzale71665084
"ICYMI:

@frank_seravalli runs down 10 burning questions for the eliminated NHL teams.

Does Kelly McCrimmon stay on as Vegas GM? Are Patrick Kane and Jonathan Toews still part of Chicago's long-term plans?

And more: https://t.co/au65wzS9DR",1520025819967635459,DailyFaceoff
