full_text,tweet_id,screen_name
"""You don't buy things with money you buy them with hours of your life."" - Joshua Becker",1520855579199098881,ApeironTraining
"Owning less is great, wanting less is better. -Joshua Becker 
DESERVING WINNER ANJALI",1520751349268312064,a_dhakkad
I need to get rid of some stuff!! | 21 Shocking Stats that Reveal How Much We Own via @joshua_becker https://t.co/7kpHokuMeY,1520734203406602241,AdamHansen
The first step in crafting the life you want is to get rid of everything you don’t. —@joshua_becker https://t.co/Dy74Z4la0m,1520587210596052992,lemncookie
Owning less is better than organizing more. – Joshua Becker #Quote https://t.co/jquN0RxJFe,1520585807681232900,organizenow
The first step in crafting the life you want is to get rid of everything you don’t. —@joshua_becker https://t.co/9y921YED6z,1520469885339459584,cml59
"The first step in crafting the life you want is to get rid of everything you don't. — Joshua Becker
#RCBvsGT #ViratKohli #PriyankaChopra #quote #thoughts #quotes #success #motivation #inspiration",1520449019050295297,enquoting
The first step in crafting the life you want is to get rid of everything you don’t. —@joshua_becker https://t.co/KyxPPRIaF9,1520448704465022976,ximechavez
"""Your predisposition is not your future. Your future is what you choose to become."" —@joshua_becker  https://t.co/TNpjudD3ZC",1520209051199881216,aashishnanavati
The first step in crafting the life you want is to get rid of everything you don’t. —@joshua_becker https://t.co/Xei14opc9j,1520198267069366272,cyclist_lawyer
How Many Clothes Do I Need? A Practical Guide to Owning Fewer Clothes https://t.co/YAnl2g2UUB via @joshua_becker,1520190224156213250,eratt
The first step in crafting the life you want is to get rid of everything you don’t. —@joshua_becker https://t.co/IkTtnkSwVZ,1520150135728078848,raymundsalao
The first step in crafting the life you want is to get rid of everything you don’t. —@joshua_becker https://t.co/nngp05mO12,1520070438730227718,jennatanner
The first step in crafting the life you want is to get rid of everything you don’t. —@joshua_becker https://t.co/9PJpk2Pnua,1520062528335888391,PamelaB20231903
The first step in crafting the life you want is to get rid of everything you don’t. —@joshua_becker https://t.co/SfXH8Nm9XP,1520050121047633921,dalebaker
