full_text,tweet_id,screen_name
"⛸️🇺🇸🏳️‍🌈 This is a cosy and also highly educational chat between @jessicawluther and @AdamRippon discussing Kamila Valieva, Cookies Over Texas ice cream, and slutty mesh skate costumes. We highly recommend. https://t.co/rxtCBMnUCS",1520879321140891652,SportsMediaLGBT
"#olympics #iceskating #figure
Vladimir Putin Personally Gave Kamila Valieva A Birthday Present https://t.co/fVtPCNzqem https://t.co/h3sZpooz5F",1520865751711715330,dla_detej
🥇 KAMILA VALIEVA IS RELAXING ON THE BEACH IN DUBAI https://t.co/dnTWEk9X97 https://t.co/TwYviu2lbx,1520781770551091200,dla_detej
"Who is Kamila Valieva? Aged 15, Family, Parents, Mother, Height, Weight, Birthday https://t.co/8eB31r59my",1520776906085482496,petgroomerNG
"She was brutally pushed by the so called 'Olympic association, Vladimir #Putin loudly congratulated Kamila Valieva on her 16th birthday. The head of state presented her with a silk scarf.she is a legend #Russia #UkraineRussia #ukraine #RussiaArmy https://t.co/VzXfILVAvH",1520737568786059265,middleeasttime
"She was brutally pushed by the so called 'Olympic association, Vladimir #Putin loudly congratulated Kamila Valieva on her 16th birthday. The head of state presented her with a silk scarf.she is a legend #Russia #UkraineRussia #ukraine #RussiaArmy https://t.co/FoXwUp6XQ1",1520737116988268547,coope125
KAMILA VALIEVA⚡️ over the years https://t.co/pxCDBeWond,1520706400602628096,dla_detej
kamila valieva with putin a war criminal I feel sick #KamilaValieva https://t.co/l0STSpCw6D,1520580978930073602,sapphirosie
https://t.co/175WO6fhQS Russian skater Kamila Valieva cleared to compete after appealing doping ban https://t.co/dibu4Ue7FW,1520573113972318211,lekulpp
Anna Shcherbakova and Kamila Valieva - RELATED... ● Figure Skating 2022 https://t.co/E6cSQC2dR9 via @YouTube,1520500227198836736,u1h64XIpg9Ml9Hp
"#olympics #iceskating #figure
KAMILA VALIEVA🔥 Appeal to the fans! https://t.co/wBiFFINvDM https://t.co/fRHJbq2j6L",1520489913527021568,dla_detej
What ever happened to the figure skating gold medal on the team event when Kamila Valieva tested positive? Was it taken away. Did Canada get the bronze on the team event? #Olympics #goldmedals #figureskate #Russian,1520411520743755776,kouk_nadene
"Russia’s Kamila Valieva was found guilty of doping.  If Russia is banned from the Olympics, I hope they won’t be allowed to compete under ROC like the last time.  Their atrocities in Ukraine should preclude them from participating.",1520376327861383169,Sherry00262830
"Today I posted a new gallery of Kamila Valieva. Link below 

#KamilaValieva 

Link: https://t.co/v8iuaAr7j9 https://t.co/M9NuvLpDBd",1520375785865027584,MagiaGelada
"First the IOC, now Nato: how Putin’s Russia refuses to play by the rules https://t.co/0SVg6mgkge",1520359310257229824,scottwintrip
"First the IOC, now Nato: how Putin’s Russia refuses to play by the rules https://t.co/lRm83Dp5x8",1520314262450847744,CognitionCoach
How much money KAMILA VALIEVA earned ● Figure Skating 2022 https://t.co/974agI10nT via @YouTube,1520119030392274944,u1h64XIpg9Ml9Hp
"Well, he also insisted he wouldn’t invade Ukraine but here we are! https://t.co/G0R7nQDfeu",1520094818059268098,lindask8fan
Kamila Valieva and Eileen Gu: Young Women Athletes as Enemies of Empire https://t.co/XENeHnHGgm,1520063395407486979,XGuoforWaterloo
KAMILA VALIEVA - Wonderful Lass (edit) ● Figure Skating 2022 https://t.co/RqbALkFGue via @YouTube,1520047417605095424,u1h64XIpg9Ml9Hp
Kamila Valieva becomes fourth woman to land triple axel in Olympic histo... https://t.co/YzANsKj77y via @YouTube,1520034796977668098,EileenJiang15
What a joke rules and the law are for Russia. This is why the GOP admires Putin’s Russia. No decency needed.  https://t.co/VTL9fM2Wap,1520027776262279168,2020eScribbles
How KAMILA VALIEVA lives after the OLYMPICS ● Figure Skating 2022 https://t.co/1Hhq1aEPZE via @YouTube,1519899262154326016,u1h64XIpg9Ml9Hp
"Sports

Menu
Kamila Valieva, Putin's latest sports puppet
In the midst of the war, the Russian president has paid tribute to the young skater, accused of doping, and has used her figure to attack Europe for the measures taken against Russian athletes https://t.co/nCHilnbf8x",1519878991888408579,Guerrer55550150
