full_text,tweet_id,screen_name
Cam Gallagher’s hamstring strain paved the way for MJ Melendez to be promoted to the majors for the first time. https://t.co/NAF9XC1b4x,1520915472618868739,SportsDailyKC
MLB Baseball Game Betting Picks Simulator: 5/2/2022 3:15 PM ET - Kansas City Royals vs. St Louis Cardinals - YOU CAN RUN THE GAME SIMULATION FOR FREE HERE: https://t.co/3Q29c0KTOV #mlb #gamblingtwitter #sportsbetting #freepicks #cappertek,1520911054817083394,cappertek
Another big win for the #Yankees beating the Royals 6-4 in Kansas City. Aaron Judge went deep twice for two solo home runs while the rest of the offense played small ball for runs.,1520910806917042176,DwightRodwell
Watch the Kansas City Royals game highlights: Yankees vs. Royals Game Highlights (5/01/22) | MLB Highlights  Yankees vs. Royals full game highlights from 5/01/22 Don't forget to subscribe! https://t.co/vUim71Uzwp Follow us elsewhere ... https://t.co/8V2po28CvO,1520904452605161474,Royals_MLB_YT
Watch the Kansas City Royals game highlights: New York Yankees @ Kansas City Royals | Game Highlights | 5/1/22   https://t.co/ykSbtPpHeJ,1520904449870417920,Royals_MLB_YT
Kansas City Royals drop home-series finale 6-4 as New York Yankees complete the sweep https://t.co/bsHlFEaPCV,1520901013040996352,WichitaEagleSpt
"The #Royals get swept by the #Yankees today at the #K with the 6-4 loss. 
Follow the link for my images:

https://t.co/q4oZFrD3H5

#USATodaySportsImages #imagn #imagncontent #MLB #KCSportsPhotographer #KCRoyals #newyorkyankees #SundayBaseball #SonyAlphaSports https://t.co/A73yTzFDZF",1520899998610821120,randomphoto
"MJ Melendez Triple-A Highlights | Welcome to The Big Stage | Kansas City Royals |
https://t.co/SMYvhnQBzb",1520899147712376833,BobNuttingSucks
Kansas City Royals Call Up Top Prospect MJ Melendez https://t.co/VgnbKJP5B9,1520897498696626176,MorningShiftM
MLB: The Kansas City Royals are calling up catcher MJ Melendez. https://t.co/KfREeaxdoC,1520897360167116804,KMASports
MLB: The Kansas City Royals are calling up catcher MJ Melendez. https://t.co/uIUa2gNdEb,1520897359403749376,d2mart
"FINAL SCORE:

THE NEW YORK YANKEES 6! Kansas City Royals 4. 😊😊😊",1520894341434249217,Stratocumulus78
1987 Leaf 35 Bo Jackson Rookie  #sportscardsforsale https://t.co/KmKwVzRprG,1520893269676331009,cardradar1
Download the App today and start trading. 1993 #Upper Deck Brent Mayne #Kansas City Royals  https://t.co/PpyDwgiYFE #Rethink #thehobby #sportscards #changeyourtrade https://t.co/abdX6EcP9A,1520891572040122368,AppScouting
By the way I think the new Kansas City Royals navy jersey is fire that’s hot🔥,1520891530348703744,HouseofCards08
"Michael A. Taylor had two hits, including a homer, and Whit Merrifield also had two hits in the loss. https://t.co/PWa5dbYUsV",1520890573279969281,SportsDailyKC
"Watch the Kansas City Royals game highlights: Kansas City Royals vs New York Yankees Part2 Game Highlights May 1, 2022 | MLB Highlights  Kansas City Royals vs New York Yankees Part2 Game Highlights May 1, 2022 | MLB Highlights #Kansas City Royals #New Yo… https://t.co/6B9w5oBJdv",1520889359792328706,Royals_MLB_YT
"Teams in the Modern Era with 3 or fewer wins in their first 22 games:

1907 Brooklyn Superbas (3-18-1)
1936 St. Louis Browns (3-19)
1988 Baltimore Orioles (1-21)
1992 Kansas City Royals (3-19)
2003 Detroit Tigers (3-19)
2022 Cincinnati Reds (3-19)",1520888576229068801,PassonJim
"My Yankees come away with a win.
New York Yankees - 6      16-6
Kansas City Royals - 4      7-13",1520888358389653506,JoeWBowles
NEWS: Royals #2 prospect is officially called up to the Kansas City Royals club. The countermove: Cam Gallagher to the 10-day IL with a grade 2 hamstring strain. 2/3 of the trio have arrived.,1520887885620301838,IanPhilipCarpe1
https://t.co/NbmqKlvwUG ⚾NEW YORK YANKEES VS Kansas City Royals LIVE WATCH ALONG AND PLAY BY PLAY https://t.co/SrEhsBgxrK https://t.co/BNjlw71eMB,1520887564407762947,Hoops227_NFL
This makes nine straight wins for the Yankees (16-6) as they move on to Toronto for a three-game set against the second-place Blue Jays.  https://t.co/Gm73H0AR3b,1520885679441461254,NJHerald
Great day trip to Kansas City! #Royals @ Kauffman Stadium https://t.co/NopUfE7vev,1520885567839420417,chriscole529
"The New York Yankees won a close game against the Kansas City Royals, 6-4! It was an exciting game with some big hits including a home run by Michael A. Taylor of the Royals. The crowd was rowdy, drinking lots of beer and chanting throughout the game!.",1520885320828522496,thebaseballwtf
Check out Salvador Perez Kansas City Royals 2021 Panini Mosaic Silver Prism https://t.co/TFOMvBaPxz #eBay via @eBay,1520884205135306752,Hartungsprtcard
The Kansas City Royals are a pathetic organization.  Team President/GM/Chaplain Dayton Moore's legacy is no longer 2014-15. It is the 10+ seasons of awful baseball.,1520883107452407811,juliokcmo
