full_text,tweet_id,screen_name
It do be kate winslet content month how we feeling ft. My face https://t.co/6IPUnB2iBn,1520913002081525761,wqnsletthings
"James Cameron really said ""let's have Kate Winslet hold her breath for 7 minutes and give birth""

https://t.co/ugXUsQiXMa https://t.co/JWE2AFV8so",1520909075185168384,tram_ngo
Yo con kate winslet. https://t.co/o2QzUVPsLC,1520901078417653760,fxsocicty
Leonardo DiCaprio &amp; Kate Winslet https://t.co/LWF3XbimZz,1520898738297917440,Adem16836942
Would you rather strip Kate Winslet or trick Ashley Hebert,1520882094796206080,wudurater
Kate Winslet in The Dressmaker (2015) https://t.co/RpEYmqe07d,1520877118397329409,ladystark3000
Kate Winslet https://t.co/lUNcBnden5,1520862135055790083,sunshinegirlw
"First Glimpse of Kate Winslet as (Ronal) form the Avatar:The Way of Water (Not sure) But after watching the leaked footage of Avatar 2 i noticed those wing like structure on the female figure! 
Which reminds me of Kate Winslet's Avatar 2 set picture
#Avatar2 #Avatar #KateWinslet https://t.co/atKyxJc5y7",1520849199843135489,PratyushBarik3
"First Glimpse of Kate Winslet as (Ronal) form the Avatar:The Way of Water (Not sure) But after watching the leaked footage of Avatar 2 I noticed those wing like structure on the female figure! 
Which reminds me of Kate Winslet's Avatar 2 set picture
#Avatar2 #Avatar #KateWinslet https://t.co/gXFGJXUgsW",1520848431735922688,PratyushBarik3
"@NHLBlackhawks U might remember Rose tipping Jack a qtr in “Titanic” in 1997 as he drew her nude on the coach. That was quite an erotic scene. Gritty, the Flyers mascot simulated that but he’s no Kate Winslet. 😉",1520838286184488960,Bill15906424
Bro like what is it about Meryl that yall see that I cannot? Kate Winslet is mountains ahead bra!!,1520833902121791488,_Milli__
Who directed this 1990s movie where Kate Winslet and Hugh Grant share the screen? 5 min to answer! 🅿️ https://t.co/LFJq6jqb8M,1520830535576207364,whattheshot
Elton John Face 😅 Leonardo DiCaprio &amp; Kate Winslet ❤️ https://t.co/ZbhQPeu70k,1520828369524432896,madimuhalif
kate winslet that one time: https://t.co/EBm6EJKb1c,1520821645123989504,lucashedgess
Wanna feel old? Kate Winslet is turning 342 today,1520810652197023750,wanna_feel_old
I want what Kate Winslet and Leonardo DiCaprio have 😭🥺,1520804308941479945,Claarahakim
Pls why is my client Kate Winslet will be over.,1520800376274014209,lilmonavert
"British actress Kate Winslet lead the pack of People  magazine's 10 best-dressed women of 2009, with US first lady Michelle Obama chosen for ""best accessible glamour.""",1520800338705625089,zhongxiayouyi1
Kate Winslet https://t.co/mIw9A6Zy5C,1520789774868439040,Girls_Womans
Kate Winslet as 'Rose DeWitt Bukater' in 'Titanic' (1997) that's the tweet. ❤️ https://t.co/e1H4lNZYe7,1520776976599949313,ScarletSpeeds16
