full_text,tweet_id,screen_name
Wild have long coveted a gamebreaker. Now they have a pair in Kirill Kaprizov and Kevin Fiala. https://t.co/z8okzMl60n,1520907022685900800,wctrib
Wild have long coveted a gamebreaker. Now they have a pair in Kirill Kaprizov and Kevin Fiala. https://t.co/SiKrkjPNJW,1520906584876109824,WCTsports
Wild have long coveted a gamebreaker. Now they have a pair in Kirill Kaprizov and Kevin Fiala. https://t.co/oGQUhl4HlB,1520900805871783942,bemidji
Wild have long coveted a gamebreaker. Now they have a pair in Kirill Kaprizov and Kevin Fiala. https://t.co/wUMKQLVDKd,1520899173805170690,InforumSports
Wild have long coveted a gamebreaker. Now they have a pair in Kirill Kaprizov and Kevin Fiala. https://t.co/V5T69Nhlzx,1520898733805817859,WDAZTV
Wild have long coveted a gamebreaker. Now they have a pair in Kirill Kaprizov and Kevin Fiala. https://t.co/xn4RlQCOiL,1520898242401083392,Sports_PB
Wild have long coveted a gamebreaker. Now they have a pair in Kirill Kaprizov and Kevin Fiala. https://t.co/eIOQpaBGKW,1520897961982676998,gfherald
2020 Upper Deck Extended Series #hockeycards https://t.co/Ikp1W5POsK,1520888964844081157,gems_card
"🔸 Connor McDavid - 123 
🔸 Jonathan Huberdeau - 115 
🔸 Johnny Gaudreau - 115
🔸 Leon Draisaitl - 110
🔸 Kirill Kaprizov - 108
🔸 Auston Matthews - 106 
🔸 Steven Stamkos - 106
🔸 Matthew Tkachuk - 104

The 2021-22 season had A LOT of 100-point players!

(🎨: IG/jakekdesign) https://t.co/LU5rVAr9bh",1520883283751583746,kendell_m
"Kirill Kaprizov - THE THRILL - Best Goals &amp; Skills 2022
https://t.co/CNcBmGxqlt
#mnwildfirst #nhlplayoffs #NHL #minnesotawild #NHLStats https://t.co/nkTEMzLcrT",1520883112812625920,Bulls29534127
"Ahem. Consider: Kirill Kaprizov plays on a team that has what most people would consider a lack of star players. We have good players, yes, but this isn’t a star-studded roster. Yet, he scored 108 points, and the rest of the team followed with breaking records. He deserves",1520873874572906497,nicointhewild
KIRILL KAPRIZOV SCORED MORE GOALS THAN CONNOR MCDAVID.,1520871293947719682,nicointhewild
"Kirill Kaprizov - THE THRILL - Best Goals &amp; Skills 2022
https://t.co/CNcBmGxqlt https://t.co/3yTzZ8aNhC",1520866058709655552,Bulls29534127
"PHILADELPHIA 7, ATLANTA 2
Martin Necas had a hat trick and Kirill Kaprizov became the fourth rookie in league history to score 50 goals. Jason Spezza had 3 assists.",1520821363627466757,TheTNHL
Next up for #MNWild's dynamic duo of Kirill Kaprizov and Mats Zuccarello is to translate their talent to the Stanley Cup playoffs. https://t.co/gJUpm4KCfb,1520782847681855488,StribSports
"Ah who cares what a bunch of reject writers for NHL fantasy think, you want a 10 man playoff fantasy team? Here.
Auston Matthews
Mitch Marner
John Tavares
Willy Nylander
Michael Bunting 
Pierre Engvall
Morgan Rielly
Ilya Mikheyev
Jason Spezza 
Kirill Kaprizov

Thats how its done",1520781215258849280,Game_Blouses_
"What I’m rolling with for this year’s playoffs:

Finals: #MNWild and #TimeToHunt

Stanley Cup Champions: Minnesota Wild

Conn Smythe: Kirill Kaprizov",1520768644568989697,AnnaNoelleDua
2020 Upper Deck Extended Series #hockeycards https://t.co/IOizTibmix,1520754614987108354,gems_card
"Benjamin Hochman

                Imagine watching your dream come true, right in front of your eyes … for someone else?That was Ville Husso’s experience during the 2019 playoffs as he watched Jordan Binnington become Jordan Binnington.Husso,

https://t.co/r1Wo9khikc",1520576674668101633,ShopSTLHockey
Hochman: Blues goalie Husso ready for his close-up — and that means Kirill Kaprizov close up https://t.co/JqMl4kdg8W,1520562666753998850,STL_SportsNews
Hochman: Blues goalie Husso ready for his close-up — and that means Kirill Kaprizov close up https://t.co/nEETco3rRx,1520561914623016967,STLBluesNews
Next up for #MNWild's dynamic duo of Kirill Kaprizov and Mats Zuccarello is to translate their talent to the Stanley Cup playoffs. Story from @sarah__mclellan https://t.co/gJUpm4KCfb,1520526659085955072,StribSports
This season Ryan Hartman and Kirill Kaprizov tied for the Wild all time most even strength goals at 33,1520505546599714816,incorrectwild
"Kirill Kaprizov in just 1.5 seasons with the Wild:

-74 goals
-85 assists
-1 Calder trophy
-franchise record for goals, assists, and points in a season
-already 21st in all time Wild points

not bad for a guy drafted 135th overall who was supposedly never going to sign here :)",1520485371552935937,Connor_779
20 21 Ultimate Debut Threads Au #autographed https://t.co/dvU6pti2oZ,1520449098821873665,AutographDeals1
The Kirill Kaprizov deal was never going to be a mistake. https://t.co/3iDOErblYp,1520375038448390144,zachbayle
Kirill Kaprizov: Picks up two more points in finale https://t.co/LXeCiQR7oA,1520305352897609728,RotoWireNHL
20 21 Ultimate Debut Threads Au #sportscardsforsale https://t.co/yqHBupXvZP,1520298385869258753,cardradar1
