full_text,tweet_id,screen_name
Kris Letang providing the hockey analysis we all needed. https://t.co/u4USu2877H,1520817861106667520,MyTwistedMind89
"“We want to prove we still belong in the dance…” Kris Letang said. 

Getting the sense the Penguins feel like underdogs in this series. Take it for what you will.",1520813316729413632,TheDanKingerski
"my non-hockey watching friend knows exactly one (1) hockey player and it is ""the one who looks like milo ventimiglia"" (kris letang)",1520730732993593344,parvussedpotens
"Just want to give Letang his proper due after having yet another(!) monster season for the Penguins.

Look at all these defensemen he's just as good as or better.  

I will be bitter if they let him walk.

https://t.co/Pbzq4kzBF7",1520571804753879042,GunnerStaal
"Dan's Daily: Wild Night Across NHL, Latest UFA Rumors (Letang Included) https://t.co/rKyoV0kSgX",1520426879488081921,TheDanKingerski
"Dan's Daily: Wild Night Across NHL, Latest UFA Rumors (Letang Included) https://t.co/jcsjRVNNVx",1520397891772239873,pghhockeyNOW
"Crazy night. More news than a Johnny Depp cross-examination

Dan's Daily: Wild Night Across NHL, Latest UFA Rumors (Letang Included) https://t.co/rKyoV0kSgX",1520394786674511872,TheDanKingerski
"Wow, I still think of these guys as kids!! 
Crosby Veers from Script on Letang, Malkin Future: 'It's Not Going to Last Forever' https://t.co/1eqjKKUDjt",1520294992346062849,DebfromPA
plz dont trade kris letang @ penguins,1520265984141139970,f0urfourteen
NHL Milestone Stat of the Day: Kris Letang-300 Assists as a Penguin (3/311/22) #missyjanegraphics #nhl #nhlmilestonestatoftheday #nhlmilestones #krisletang #krisletang58 #pittsburghpenguinshockey #pittsburghpenguins https://t.co/4tmg7p6ses,1520264474988630017,MJGraphics1224
Kris Letang nets goal vs. Blue Jackets - via @ESPN App https://t.co/wxPNux52hI,1520246821758545920,thuganomics23
"Penguins resigns UFA Kris Letang $8,5M x 2",1520220443344572418,PMSLHockey
Could be the last 28 seconds of regular season Kris Letang.,1520216380804583429,sshruff1
"Crosby Veers from Script on Letang, Malkin Future: 'It's Not Going to Last Forever' https://t.co/Ak9ii6w17G",1520209757193515008,Hockey_Gods
The Pittsburgh goal scored by Kris Letang assisted by Jeff Carter and Brock McGinn,1520204059629821952,oofoof8
KRIS LETANG NORRIS WHEN????? https://t.co/ofFIHY1o5C,1520203337685155845,delightfulalot
Kris Letang scores against the Columbus Blue Jackets to make it 4-1 #PITvsCBJ #LetsGoPens #CBJ https://t.co/v0oPYsySJZ,1520203298690801665,nopClips
"And with his goal it's also career high year for Kris Letang at age 35: 68 points. 10 goals. 58 assists.

He leads the Penguins this season in:
Time On Ice, Hits, Takeaways, OT goals, &amp; most points for a defenseman.",1520202595977019394,pensreport
"Kris Letang for Non-Playoff Opponent Norris!

Greatest defenseman in the league against the league’s worst teams.

He STUNK this year against playoff teams.",1520202030404485120,PensChronicles
CAREER HIGH IN POINTS KRIS LETANG,1520202005754568704,krisIetangs
Scoreeeeeeeee!! Kris Letang! 10th Goal of The Season! Kris is Having The Time of His Career this Season! Assists McGinn and Carter!  #LetsGoPens #NHL,1520201585858596866,Joek72
I love Kris Letang. #LetsGoPens,1520201408695640066,Passeriform
this world does not deserve kris letang 👼🏻,1520201123096715264,xokoreyann
Kris Letang (10) buries a beatiful pass from Brock McGinn and it’s 4-1 #LetsGoPens,1520201080889556995,IceBurghPodcast
