full_text,tweet_id,screen_name
"This is NOT Kyrie Irving people, this is Steph @WardellSteph the GOAT!! #Recognize!! https://t.co/tokTg5Zvoa",1520907502237405186,dafonkybass
Is on Kyrie Irving vaccination situations.,1520907455059927040,bayless_ebooks
"Kyrie Irving is rated accurately 
Chris Paul’s longevity is really amazing https://t.co/plubqdbxF2",1520906307015954432,FeelNoWayzs
"At the end of the day, we'll raise up our hands and scream warra SWEEP AGAINST BOSTON CELTICS FOR KEVIN DURANT &amp; KYRIE IRVING https://t.co/7w6Yqrt2Qo",1520903121786093569,setemi__
"Top Ten Active NBA Point Guards Currently 

1. Luka Doncic 
2. Stephen Curry 
3. Damian Lillard 
4. Trae Young 
5. Ja Morant
6. Chris Paul 
7. Kyrie Irving 
8. Lamelo Ball 
9. Jrue Holiday  
10. Darius Garland

(*not a legacy ranking) https://t.co/eVvZkZWfJc",1520902058177617921,Uchewins
"I find it hilarious how @stephenasmith calls out Kyrie Irving for not coming to work. And yet he’s still the bad guy at the end of the day. Why folk wanna get spiritual when things don’t go their way? You don’t come to work, you don’t get paid. That simple 💁🏾‍♂️💁🏾‍♂️💁🏾‍♂️",1520900284976881681,The_KiddJoker
Kyrie Irving Twitter Tirade is NONSENSE https://t.co/sh6PounMCo via @YouTube,1520899874862116867,KSpiffyy
"Stephen A Smith slams Kyrie Irving for leaving Cleveland 

“Didn't you have a problem playing with LeBron James in Cleveland?” https://t.co/UMRLGaj3nN",1520899796919361536,WeAreCavsNation
Stephen A Smith needs to stop being mad at Kyrie Irving.,1520898960151437312,LobTies
Don’t let this series make you forget that KD was swept out of the first round by stars no younger than 26 with kyrie Irving by his side.,1520897618053943297,iamdurchoke
"NBA ""Trickshot"" MOMENTS from Level 1 To Level 100 includes players such as Stephen Curry, Kyrie Irving, Luka Doncic, LeBron... 
#NBA #NBATwitter https://t.co/rGx1oiH4J7",1520894671484235777,zeroussports
"In all, Kyrie Irving and Kevin Durant struggled in the series vs the Celtics. Celtics defensive game plan was perfect and it disrupted the superstars and never really let them get going!",1520889408483901442,Brookly01099348
The Seven Biggest Questions Facing the Nets This Summer https://t.co/jmrvAR7881 by @KevinOConnorNBA on @ringer #NBA,1520887542584852480,Sauze7
Also Kevin Durant and Kyrie Irving are FRAUDS,1520885987731472384,bert_cleary6
"Jp playing like kyrie irving man, unbiased take.",1520885530770440192,Rsashimi12
"ENDS TONIGHT! 250+ Card Lot HUGE 2020-21 NBA Prizm White Silver, Green, Pink Orange &amp; Red Cracked Ice, RWB, Blue &amp; Purple Wave SP - Zach Lavine, Devin Booker, Tyler Herro, Dejounte Murray, Donovan Mitchell, Jimmy Butler, Kyrie Irving, Jordan Poole +
 https://t.co/jAgItikHdV #eBay",1520884340116361216,BladesBreaks
Jordan Poole is who Kyrie Irving thinks he is,1520884243941011456,atjamestweets
Wake me up the day this account stands up for Kyrie Irving on any subject 😴 https://t.co/mPFIsKJjMQ,1520883058898923520,nmzhoops
NBA playoffs: Kyrie Irving needs to lead Nets by example https://t.co/v7C4VhFgAy,1520880626714529792,mrrvlowe11
Shaquille O’Neal Makes Honest Statement on Kevin Durant and Kyrie Irving’s Antics Following Celtics Sweep: “You Can Never Say They Got No Championship” https://t.co/oMQi2XrCIi #Basketball #NBA,1520878883586797568,CunningSports
￼ I still think Boston can adjust and come back and win the series  but I knew they were going to lose game one￼…….. those four games they were playing against Brooklyn all they had to worry about was Kevin Durant and Kyrie Irving .they still came out there like they were,1520878067874517000,champagneabo_
Better than Kyrie Irving https://t.co/n9yNNDYUjq,1520877116375638017,JoeTheShow365
NBA Star Kyrie Irving Calls The Media “Puppet Masters” https://t.co/puQaR7RrQX https://t.co/aamjJZrM2q,1520873713406599168,CNS24_7
"Should never of really been KD slander. I mean the KD , Lebron debate is over. but the Slander is Kyrie Irving. he had a 16pt game &amp; a 10Pt game. that's damn near a criminal offense with all he's put y'all through this year https://t.co/MYTeLKX4sj",1520872036289196033,LifeOfItachi
If you agree with how SAS attacks Kyrie Irving I can’t fwy ! It’s not even about basketball dude is obsessed &amp; only does that to his own people,1520866956223602688,RunMyFadeYonko
"#Stephen A. Smith fed up with Kyrie Irving in 6-minute rant is now trending on https://t.co/4ZgxTbvCf1
https://t.co/4ZgxTbvCf1",1520866955841974278,monkey_viral
kyrie irving handles i was broke but then i shook bacc 🖤,1520866279690850305,xayyyo
"@LockedOnNets please discuss tomorrow...“You failed me as a friend, as a teammate, as a brother” Kenyon Martin believes he would’ve had major issues with Kyrie Irving if in KD’s shoes after clean sweep""  https://t.co/6zaeUluArj 
 https://t.co/DzTwmULUTf",1520865769088765954,ClashBandicoot_
Kyrie Irving Handles I Went Broke &amp; Then I Shook Back,1520865044006940672,JaDiddyyy
"NBA Twitter Blesses Brooklyn Nets With Jokes After Being Swept By Boston Celtics Source: Elsa / Getty When the 2021-22 NBA season began, the Brooklyn Nets were heavily favored to win it all. The Boston Celtics changed all... - https://t.co/gZMl8YhEpY #digitalmusiczone https://t.co/PHeBBqyStY",1520864916529459203,ghettomogul
"Obi with the rebound advances the ball to Ivey Ivey dribbles past kyrie Irving pass to Quickley for a wide open 3 Knicks up 25 on the nets 

#NewYorkForever https://t.co/221ApumgF6",1520863704186855426,NYKState
Look SAS gotta some good valid points about Kyrie Irving and this season that he had. That’s all imma say about that,1520863352066555904,SirSavageDa21st
"NBA Fans Roast Kyrie Irving For Being On The Cover Of NBA 2K18 And NBA Live 14: ""Kyrie Was Really The Cover Of The Two Worst Basketball Games Of All Time."" https://t.co/nvq8JAO7B9",1520862046153228289,antonjmartin
"That “bag” talk OVERRATED. Kyrie “Duffle Bag” Irving at home right now and he’s universally respected for his “bag,” and his team couldn’t get one win https://t.co/dNgUOfqfS4",1520860430188437504,IamKing_RL
"The ALMIGHTY GOD BLESS YOU BELOVED YoungGun🎶 @KyrieIrving 💞KYRIE IRVING🌞🕊️
Happy #RAMADAN2022
#RAMADHAN2022 
THANK GOD FOR YOUR FAITHFUL WITNESS! NoOneIsPerfect
OnlyBelieving
TryingWithAllOurMight
ToPleasesGod! 
#GodBlessEid #EID #EidMubarak #EidAlFitr #Eidulfitr2022 #EID2022",1520854473035419649,MissyDLRangeIPO
Maybe Brown struggled because he had elite defenders guarding him today. Not Kyrie Irving and Patty Mills. #Bucks #FearTheDeer,1520853646279430145,PiperGreyJoy
Nets co-owners Kevin Durant and Kyrie Irving couldn’t win one game against the Celtics while Giannis Antetokounmpo without Khris Middleton has his Bucks up 1-0. Mental toughness combined with a tireless work ethic and a want to win as THE guy is the difference #NBATwitter,1520849954885017600,GoodFellaCapone
@adamjones985 Celtics 0-1 when they do their best Kyrie Irving impression 🤔🤔🤔,1520849932638425089,charlestownguy
Kyrie Irving handles i was broke and den shook bak @NoCap,1520849578479734784,BBB_JUUG270
"“You failed me as a friend, as a teammate, as a brother” Kenyon Martin believes he would’ve had major issues with Kyrie Irving if in KD’s shoes after clean sweep https://t.co/ISp2CkJO4z #SmartNews",1520849527506276354,majorpayne44
Kyrie Irving is the Terrell owens of basketball,1520848047487520770,quillenasty
true holiday is better than kyrie irving. idc about his handles and finishing,1520847378022031362,atlas8s
@Chris_Broussard Jrue Holiday &gt;&gt;&gt; Kyrie Irving,1520847366949150720,joeyreuteman
Giannis Antetokounmpo just threw the ball to himself off the backboard. He's toying with the team that just swept Kevin Durant &amp; Kyrie Irving😮,1520846006023118848,SpencerKeele
I feel like people for get how bad Kyrie Irving is defensively bro. Jrue Holiday is not that man. And Giannis sure as hell aint no KD respectfully,1520845803950157826,NBAADDICTTV
Kevin Durant and Kyrie Irving Theranos-level frauds??????? Investigate??????????,1520845777936994305,dpyoung13
Milwaukee Bucks already frustrating Jayson Tatum &amp; Jaylen Brown the way the Boston Celtics frustrated Kevin Durant and Kyrie Irving in the first round.,1520845739135545346,JeritRoser
Kyrie irving and the nets not putting payton Pritchard in the torture chamber last round still pisses me off,1520844468202708994,busyxb
"The Sixers are in talks with Kyrie Irving, per sources.",1520843513620930560,wojrarowski
There's GM Kyrie Irving 4 u https://t.co/feb4Tj0yje,1520841894003101698,Hank_The_Cat_
Jrue Holiday&gt;Kyrie Irving,1520841049031299074,lennard57
Kyrie Irving is a fuckin CLOWN. Him and Durant are made for each other. Idc how good you think they are..  they fuckin clowns. https://t.co/CyZZzntzWs,1520838338814509056,SD_Certified
2012-13 Kyrie Irving Prizm Rookie Card BGS 9.5 Gem Mint up for auction https://t.co/pQXWVroLSr,1520837996270039041,sport_trendz
sooo tell me why my mom’s boyfriend’s best friend … his nephew is Kyrie Irving!!! small fucking world yall stg,1520836156073652224,poeticlovejones
"Nobody: 

Jaylen Brown and Jayson Tatum when they’re not playing against Kevin Durant and Kyrie Irving: https://t.co/OOIDBZJGe1",1520833991938613251,AintYouMugi
"Got my Eid outfit picked out, potential insta caption on deck, and pre-wrote the Eid Mubarak DM I am gonna send to Kyrie Irving. I am ready.",1520833975706656770,oali317
Kyrie Irving hasn’t played a whole season in half a decade https://t.co/BH6Lr4x2kT,1520833668209598465,Eastarch
kyrie irving https://t.co/ggKF3aF7fC,1520833438592417794,acimiyorsan
In the previous series the jays would switch so Kyrie Irving was in front of them and they were blowing by him everytime. Drop coverage with Brook and Giannis down there takes that away,1520828762144837637,pillowtalk_
Kyrie Irving kinda looks and acts like Franklin Saint’s dad now,1520826765819756546,paulieshinobi
"Stephen A. Smith to Kyrie Irving
 https://t.co/zRWrCq2NDw",1520820277650898950,MikeTroy81
"Ya know Joel Embiid is pretty injury prone. Just like Kyrie Irving hardly plays a full season. Now, James Harden is back in that carry the team position. Something that was mentioned as 1 of the reasons he left Brooklyn. Will James Harden regret his decision to leave the Nets🤔",1520819236674981888,ahanefer
Celtics went through Kyrie Irving and Kemba Walker only to find out that Marcus Smart was always the answer at point guard,1520817289544749062,joelvmoran
Marcus Smart is a better Point Guard than Kyrie Irving I been saying this,1520816477133488128,_mufasa26
"Y’all keep saying Giannis playing like KD, like he has a Kyrie Irving with him 😭😭😭 his second option on the bench rn",1520816242281508864,Giannis34SZN
NBA Leader: 27.9 PPG Kyrie Irving gets an AMAZING Reaction from a Christian for Fasting in Islam https://t.co/0bYKpOrRd1 https://t.co/DGOBYSBHVf,1520810805641367552,Hoops227_NFL
"Jordan Poole is tied for 2nd most threes made in a playoff debut.

Voshon Lenard: 6 3PM
Timothé Luwawu-Cabarrot: 6 3PM
Jordan Poole: 5 3PM
Kyrie Irving: 5 3PM https://t.co/IKrh8DVcaG",1520810280950939648,LAstatmuse
Like how Igoudala get finals MVP over u? Or how u blow a 3-1 lead in the finals and get cooked by Kyrie Irving? Top 5? Man no,1520806654735962112,BingYatta
@stephenasmith https://t.co/NKg7WQRxvF “Didn’t you have a problem playing with LeBron James in Cleveland?” - Stephen A. Smith questions Kyrie Irving after his recent comments… Stephen A Smith get your head out of your ass you’re supposed to be all knowing yet you know nothing.,1520804690396688385,mtk2012
Basically they traded Markelle Fultz to get Jayson Tatum AND Kyrie Irving. Danny Ainge a demon https://t.co/JPWnD8PTvm,1520804451799379970,gballdmp_
"Sure, Kyrie Irving is the worst. But looking forward to #Celtics fans hating Grayson Allen for the next 2 weeks. https://t.co/oUzzxXFqcs",1520803654063828992,tommycassell44
"Kyrie Irving’s playoffs stats without LeBron:

21.9 PPG
5.2 AST
43.0 FG%
34.7 3P%
11-11 Record 

glorified kemba",1520802717970706433,ImNotOwned
Kyrie Irving will undergo MRI on his left foot.,1520800736765833216,wojrarowski
Kyrie Irving homme de gout https://t.co/67o91xcWO6,1520800045582499842,WshKyky
Kyrie Irving’s game is exclusively eye candy.,1520799181761400832,Jordan_Jensen6
NBA Leader: 24.7 PPG SHOULD THE LAKERS TRADE ANTHONY DAVIS FOR KYRIE IRVING? https://t.co/IldC2Zqznr https://t.co/g8O6PoNV3K,1520795972179091456,Hoops227_NFL
"Kyrie Irving: ‘I don’t plan on going anywhere’ #8220i #anywhere #basketball #don8217t #going #irving #kyrie #plan
https://t.co/2ws3FTsN76",1520788142084788225,SwaveDigest
"2 Trade Packages To Send Kyrie Irving To Los Angeles Lakers
DON'T  didn't work the first time KI is toxic",1520787923389628416,Alvn74060552
Kyrie Irving is not a Hall of Famer!!!,1520781329817915394,Muchelule4
"NBA All-Team 'Disappointing Player' of the Playoffs: (1ST ROUND)

Trae Young - 15.4 PPG, 4.3 RPG, 6.0 APG, (31.9 FG%, 18.4 3P%, 78.8 FT%), 6.0 TOV, -11.6 +/-

Kyrie Irving - 21.3 PPG, 5.3 RPG, 5.3 APG, (44.4 FG%, 38.1 3P%, 100 FT%), 2.3 TOV, -2.3 +/- https://t.co/rTVd9bFwvO",1520779932011479040,ogy_emy
NBA Fans Roast Kyrie Irving For Being On The Cover Of NBA 2K18 And NBA Live 14: 'Kyrie Was Really The Cover Of The Two… – NBA News https://t.co/tEzN0QEBFm,1520776702908977153,sportsnews2022
Why is Stephen A obsessed with Kyrie Irving?,1520775315479482368,RJPiff_
Kyrie Irving handles I was broke and I had shook back,1520774028335759360,_AyeJu
"Kyrie Irving is 6’2
Reece James is 5’10",1520771612072677377,moyodre
"Spurs are claiming Kyrie Irving off waivers, per sources.",1520770532215443457,wojrarowski
Tony Parker &gt; Kyrie Irving https://t.co/wb5Z5ymAD2,1520770125934247941,herold_heat2012
"PODCAST ALERT: @TheScoreTRSR with @broadcastbrett Wiseman - Episode 62 - Fri April 29th 2022 

with @Dez_3505 @ce3295 @b_michaeldavis @QCityboy22 

- Kyrie Irving
- #NFLDraft 
- MLB
- #NHLPlayoffs

https://t.co/flq80v3q11 via @sportscarolina1",1520769489285132288,SportsCarolina1
Not having Kyrie Irving for most of the year will do that https://t.co/lhx4ZEw4gH,1520769292299603968,icykamala
Kyrie Irving handles I was broke and I had shook back,1520766174304342018,KobePosts
We’d be having John wall vs Kyrie Irving discussions rn if it wasn’t for Lebron tbh,1520762254035079169,strawhatJM
Kyrie Irving handles I was broke n I had shook back,1520758793633677313,Kuwop_
