full_text,tweet_id,screen_name
"all i do is eat takis, watch horror movies and listen to lana del rey",1520915572141219841,columblunt
If you lie down with me by Lana Del Rey https://t.co/jDDhCF1mML,1520914937710665728,ruuthekid
"""I just wanted you to skub
what love are you The best.""
Lana del rey nunca errou.",1520914604121018368,imnottjessi
lana del rey is THE best lyricist alive,1520914594805559297,stellestars
the other woman by lana del rey https://t.co/XykYN7tCUD,1520914255868010497,leavemeuptight
officially becoming a lana del rey stan,1520913804292407296,dqnielminaj
"Now Playing on iWoody Radio:

Ariana Grande, Miley Cyrus &amp; Lana Del Rey - Don't Call Me Angel

https://t.co/xQCwDKsHk1",1520913597504921600,WoodyWindham
I can’t explain it but today feels like Lana Del Rey… like the vibe today is her,1520913491653181442,kkaylovelyy
"Lana Del Rey Heardle #15

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/DIyx6zLfOa",1520913146982117376,MARGAC1TA
"Lana Del Rey’s music on cold, cloudy, rainy days &gt;&gt; 🫠",1520912999057440768,tang3rined3lr3y
lana del rey wrote how to disappear about pedro pascal,1520912955910594560,oIdmanIuvr
lana del rey / summertime sadness https://t.co/TIFfNtRe0u,1520912740864479236,thepopquote
"it’s 5 am, i’m coming back from airport and lana del rey has me on chokehold",1520912611654742019,tanmaytandon_
West Coast by Lana Del Rey always makes me feel so seggsy 😮‍💨🫠,1520912079380795393,alyssaxnicolexx
"regulus is mitski  remus is Phoebe bridgers and sirius is lana del rey,no will not elaborate",1520911488889802752,uhhhhwhosthis_
lana del rey truly is the queen of tiktok audios https://t.co/8I4BPIpt0k,1520911469252329473,holygroundd22
"Lana del Rey only had seven seconds and in that time she made history

https://t.co/2FqTJZFt3Y https://t.co/rCadlH4OJc",1520911320224342016,kepnerrs
I like this track on @energy98 : Lana Del Rey vs Cedric Gervais - Summertime Sadness (Radio Edit) -- https://t.co/yBfE441Eo4,1520911292239908864,xHaell
Wow @oscar_scheller with his new Lana Del Rey “I won’t not fuck you up” pillow is giving me so much life 🥰,1520910765636521984,diegoschokehold
Lana Del Rey - Born To Die (Official Music Video) https://t.co/7cXalgUdZy via @YouTube,1520910513433108486,Bozappa
Dancing happily to lana del rey unreleased songs&gt;&gt;&gt;&gt;&gt;&gt;,1520909909281357824,obsidianzs
Me every time Lana Del Rey is trending https://t.co/SWCaKLrWRE,1520909453717086210,stopdeletingamy
stop making Lana del Rey trend every two days it gets my hopes up 🥲,1520909052741566464,Liadoesstuff
I asked matthew macfadyen if he listens to lana del rey and he threw me across the room,1520908017440641024,divineysl
"Lana Del Rey Heardle #14

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/LhM8F7U2lP",1520907987002568705,mydearmatilda
"If ""listening to lana del rey"" don't get me no oomf I ain't trying harder than that, sorry",1520907906329333765,Iuvuyo
this what happens to you when you listen to too much lana del rey https://t.co/px5DmzVbCD,1520907763962060801,kyledavid818
the other woman - lana del rey 1 hour,1520907524848988161,artpopslaughter
no fone: the other woman- lana del rey https://t.co/XdO3V05g5p,1520907314164813825,_deborakk
"No one compares to you
But there's no you,
Except in my dreams tonight

-Lana Del Rey, Dark Paradise",1520906843182145536,Words_of_DN
Just got a humbling flashback of when I tried to run a Lana Del Rey fan account on ig in like 2015 😭,1520906795153297409,stateofbrett
"Lana Del Rey Heardle #15

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/1Uj6LZiYiF",1520906135997407232,nialldelreyts
"Esse fds eu me senti em um clipe da lana del rey Kkkkkk
""I am fucking crazy, but i am free""",1520905996524310528,Betaoxidante
Sintiendome muy midsommar lana del rey teen idle black swam mother perfect blue mitski deftones,1520905645142196224,DomenicButter
"Dear Lord, when I get to Heaven
Please let me bring my man
When he comes, tell me that you'll let him in
Father, tell me if you can
All that grace, all that body
All that face makes me wanna party.
                 Lana del rey",1520905224319344642,WithLoveAnaCh
sundays are so lana del rey vinyl vibes,1520904780641705985,sickocybin
I need to physically eat whatever Lana Del Rey puts in her songs bc that shit is scrumptious,1520904651356442624,vagussy44th
Which Genshin character would listen to Lana Del Rey? (Derogatory),1520903858247118848,thatonehimbo
I miss when Lana del Rey was filming music videos on her iPhone,1520903592898613249,doomfire8
Is this the Lana Del Rey Album cover? https://t.co/FiLWTTHHe4,1520903184432041984,creators_finest
the eve babitz lesbians + lana del rey twinks duo…now hear me out,1520902802020749314,FAIRIEMAlD
TheWeekkd and Lana del rey https://t.co/ppc7xQAjgX,1520902426915905536,Remorsedchild
quint goes “this isnt lana del rey” while we listen to the lana del rey record. this woman tries to gaslight me into thinking that we’re not listening to lana del rey,1520902361492901890,crispytotebag
why do pheobe bridgers and lana del rey have so many songs that remind me of batcat…,1520901647748440064,batcatbrainrot
"lana, and i cant stress this enough, del rey",1520901482471645190,randopeia
Lana Del Rey is the light https://t.co/BbxxRVDLfI,1520900885110435840,0prophetcomplex
Lana del Rey please release serial killer on Spotify,1520900406502645761,confuzzled03
hey siri play dealer by lana del rey https://t.co/ZhXI2VsrkA,1520899894059454468,tinybitchbaby_
anyone who listens to lana del rey is hot,1520899442966159366,saveuroflove
