full_text,tweet_id,screen_name
"Absolutely maddening.

Yoan Moncada and Lance Lynn returning from injury should help with both sides of this, but it is still a disgusting statistic. https://t.co/Epm7lnuPCI",1520884622782984193,walkerRcarey
"I checked every store at the @whitesox game find a single Lance Lynn Jersey or shirt. 

How dare you https://t.co/OetJkB1xgD",1520881649248051202,joegarino
"Honestly I just think he’s cute, I moved to Lance Lynn last year cause even tho I try.. my faith in Dally has been gone for a very long time https://t.co/cNpcpgYqf2",1520847088061489152,SoxBearPayton
Please get healthy Lance Lynn! https://t.co/718nwvpG45,1520843790822612992,wires_billy
"Johnny Cueto and Lance Lynn can’t get to this team any quicker

Keuchel’s White Sox career is on borrowed time",1520838871222738945,Sox_Nick
@whitesox why do you not have Lance Lynn shirtseys?,1520824287128657923,joegarino
Asked Lance Lynn who was winning the @PitchingNinja award for filthiest mouth this year between him and Liam Hendricks. He didn’t answer but I did get a chuckle out of him,1520812349967458305,KArlito5_
a healthy white sox roster would make me so happy. getting lance lynn and joe kelly back would make us so much more of a threat because this offense isn’t cutting it,1520772180719685632,KarlHuskers
Miles Mikolas is the new Lance Lynn. Gets no run  support. #STLCards,1520502098592477184,carebearcards
"Lance Lynn, Josh Donaldson, Logan Morrison. All 3 seemed like assholes in a Twins uniform. https://t.co/PAf4qLv3N2",1520473019138904065,DBart74
How many games back are the White Sox when Lance Lynn gets back?,1520454627711500289,PerfectGameLex
It's Lance Lynn for me. Showed up up in MN clearly disgruntled and it seemed like he took it out on the only team that offered him a job. Now not only is he a fantastic pitcher but he's known for being a monster competitor. https://t.co/d2HOGIBZWe,1520444453529477120,CodyPirkl
"Post Edited: White Sox’ Johnny Cueto, Lance Lynn take steps toward joining team https://t.co/92bRMqDDTn https://t.co/2b55Ngg15h",1520298436205105152,4StateNews
"White Sox’ Johnny Cueto, Lance Lynn take steps toward joining team https://t.co/J21EIKp6Od",1520217341593858048,CryBabySoxFan
"White Sox' Johnny Cueto, Lance Lynn take steps toward joining team – Major League Baseball News https://t.co/FeNJsh7ZOS",1520217011271307265,USSportsNew2021
"White Sox’ Johnny Cueto, Lance Lynn take steps toward joining team #YahooSports #MLB https://t.co/ul5FFg2tBs",1520207975440297984,x3tko
Legend has it Lance Lynn is still available to pitch the bottom of the ninth. https://t.co/OCJnPbLukU,1520145723576455168,jmjones
"Well, at least the White Sox traded for Lance Lynn and didn’t sign Trevor Bauer in 2021.",1520127284824395783,GridAssassin
Lance Lynn better come back and fucking shove or so help me god,1520075120160608257,god_of_Flannel
"Today is gonna be amazing here’s why
-Lance Lynn jerseys come today 

-I got the official Royals countdown to game time job for the year(TD is on ML)

-Get to spend my summer at Kauffman with radio host and fiancé 

-Connections at key 

See you tonight at 4 KC!!!!!!",1520013409747709954,JackPassan_
Lance Lynn jerseys are coming today,1520002786548752384,JackPassan_
"I'm going to assume Jake didn't put the VERY deserving Lance Lynn on this list because he put Liam on the list. 🤦‍♀️😎

Also, someone take Jake to get a suit that fits, it's a little baggy. 😬 https://t.co/jLnAuEjRz1",1519892176171196416,den_manders_01
"#Whitesox are only 3.5 games behind the #MNTwins 
With Johnny Cueto and Lance Lynn joining the starting rotation shortly, Joe Kelly joining the bullpen and Yoan Moncada and Luis Robert headed back to the starting lineup. #Changethegame https://t.co/Ig8eFbxar5",1519840017694310401,bm_dubya
"@JakePeavy_22 No Lance Lynn on the SOB team?

You’re SLEEPING, Jake. 😂

@MLBNetwork",1519810086520111105,FastestBucks
"Lance Lynn- Knee surgery- Lynn is progressing in his throwing program and could return by the end of May, Vinnie Duber of NBC Sports Chicago reports. #WhiteSox",1519787013079240704,mlbinjuryguru
Alek Manoah gives me Lance Lynn vibes but that might just be on account of him being an actual giant.,1519756029025832960,EdwardHand8
"Lance Lynn Could return by end of May

https://t.co/e2UbkgRrsm",1519739683978321920,LineStarMLB
Lance Lynn: Could return by end of May https://t.co/Aa96WJJMWt,1519728331985457160,RotoWireMLB
Lance Lynn: Could return by end of May https://t.co/i5g4vWvxjj,1519728331180150785,RotoWire
"Honestly, if we had not let Carlos Rodon walk, the White Sox rotation would be near impossible to compete against: 

1. Lucas Giolito 
2. Lance Lynn
3. Carlos Rodon 
4. Dylan Cease 
5. Michael Kopech

That’s elite.",1519673139516653570,shawnlogan917
Happy 35th B-Day to MLB Pitcher Lance Lynn!,1519401801941934083,TReese82
@jhoman29 killed it with these lance Lynn glasses! Thanks man! https://t.co/n3zbZfAPtH,1519396010065207296,Jake_D_Ryan
"#WhiteSox problems in a nutshell:

- TA7 struggling with poorly timed errors.

- Robert, Grandal, and Abreu have been easy outs.

- TLR’s insistence on playing Leury over Jake Burger.

- We miss Lance Lynn &amp; Yoan Moncada *so much!*

- Sloppy defensive play &amp; hustle.",1519299428670066688,michaelsbodam
Eloy Jiménez underwent successful surgery this morning at Rush Oak Brook Surgery Center to repair a torn hamstring tendon behind his right knee. The injury is similar to those sustained by Yasmani Grandal on 7/5/21 and Lance Lynn on 4/2/22.,1519089668830240768,EUGENEFORTNlTE
"To be honest edge and Christian vs Nova and Jerry Lynn doesn’t sound bad, even if Nova is clearly only getting the nod because Jim loved him in OVW. Angle and Benoit and Jericho vs Lance are the only other matches worth a damn here especially if Triple H goes over Booker T https://t.co/vW1K5qCilS",1519035752604004352,StillYourGhost
"Corbin Burnes at No. 9 is the funniest thing I've heard this month.

He's No. 1 for me. It's not even debatable that he's at least Top-5 in #MLB. 

Lance Lynn &amp; Zack Wheeler do not belong on this list right now. 

Carlos Rodon &amp; Kevin Gausman do. https://t.co/CsCaFCeole",1519002784087130113,Miller_RotoDad
"White Sox P Lynn 'ahead of schedule' in recovery

Trusted Crypto Casino &amp; SportsBook:
→ https://t.co/DcwhtWSEO3 ←
https://t.co/VegV2pwqHK",1518890185211379714,btcbettingtips
"thats great!

if your teams number one is lance lynn even fully healthy there are other problems to tend to lol https://t.co/g45m1rYvtY",1518730369390026753,_TwoTonys
maybe you have bigger problems when Lance Lynn is your number one rather than him being out from injury,1518631046346125312,_TwoTonys
"Cease, Kopech and Giolito are 3 of the best pitchers in MLB.   And not far at all from Lance Lynn's return.    #WhiteSox",1518318180413976576,BillMcCabe
"White Sox's Lynn sidelined with slight tear in knee

Trusted Crypto Casino &amp; SportsBook:
→ https://t.co/DcwhtWSEO3 ←
https://t.co/truFbDtWHW",1518228624213962752,btcbettingtips
