full_text,tweet_id,screen_name
Lin-Manuel Miranda Says He Doesn’t Want To Make an ‘Encanto’ Sequel Just Yet &amp; Reveals The Reason Why https://t.co/yibRS4jn1n,1520911512671383552,NikhilS18830535
"Love it 😍😍👏👏👏👏Lin-Manuel Miranda and Raul Esparza sing  ""A Boy Like That"" from West Si... https://t.co/GXQkkoFavq via @YouTube",1520910362467389441,Artgeek851
"The Diary of Anne Frank (animated, with music by Lin-Manuel Miranda)",1520906218906308608,myeongwen
And when Johnny starts rapping like Lin-Manuel Miranda on the next 127 track then what 🤣🤣🤣 https://t.co/nglPhNUB67,1520905717171073025,THEHOTTESTPEPI
"If you or someone in your house loves Encanto and you’d like to switch it up, don’t sleep on Vivo on Netflix, also featuring lots of great songs by Lin-Manuel Miranda (and the girl main character definitely has ADHD)",1520892770738753536,djschwin
i hate lin-manuel miranda,1520879333400891399,gl00mytuesday_
Who is Lin-Manuel Miranda’s wife Vanessa Nadal? https://t.co/fOWKBQc2tb,1520867214634762240,adabagcompany
Who is Lin-Manuel Miranda’s wife Vanessa Nadal? https://t.co/S7IMvMHE9R,1520866970358407169,adabagcompany
"Alice Paul, Carrie Catt and Ida B. Wells meet..@HillaryClinton at SUFFS. With Lin-Manuel Miranda in supporting role at @PublicTheaterNY  What an amazing moment. Brava to @shainataub and the  entire cast. @jennyschuessler brings the news: https://t.co/RDMn2cQupz",1520855382603804672,efweiss5
"Lin-Manuel Miranda | National Virtual Mainstage | June 30, 2021 https://t.co/jCeEnC7gEl via @YouTube When people trust you by being their most vulnerable self. No acting. Just ribs cracked open emotions. This Wednesday will be a day I’ll never forget 💙🥹💙",1520849750794379266,Zetastar1226
"#NowPlaying Lin-Manuel Miranda, Ynairaly Simo - Keep the Beat #musicforfamilies #musicforkids #children",1520847784114630656,TOTSRADIO
"Lin-Manuel Miranda Claims Imagineers Are Currently Developing an Encanto Attraction for Disney Parks

I’m sure you’ll ban that .⁦@GovRonDeSantis⁩  https://t.co/ym9fLGHWnc",1520840910464065537,summer7570
ENCANTO IS STUCK INSIDE MY HEAD BECAUSE OF LIN-MANUEL MIRANDA AGHHHHHH https://t.co/Q58wr8c90N,1520829673067929600,glaamrockz
"Best creative advice ever—Make what’s missing. No one’s going to make your dream show. It’s your dream—Lin-Manuel Miranda
@Lin_Manuel

https://t.co/N6MLHnpI5c",1520816086509305858,J_M_Maverick
Encanto: Lin-Manuel Miranda Wants a Theme Park Ride at Disneyon 1. May 2022 at 17:08 - https://t.co/YmgENdSCgU,1520813175985348610,ATGBrokers
Andrew Garfield and Lin-Manuel Miranda went to see Funny girl on Broadway https://t.co/2FqyEpeQIi,1520806289663832066,GarfySource
Day 2199: Lin-Manuel Miranda lost Oscars to the White Broadway Establishment and an actor from Glee,1520787018812436482,LMMPulitzer
Lin-Manuel Miranda in House is not what I expected today.,1520786622857740289,jinkies318
I just found out I attended the same Weird Al show as Lin-Manuel Miranda  and Paul Rudd 😯😯😯😯😯😯,1520779130459115520,clowchan
"“You are perfectly cast in your life. I can't imagine anyone but you in the role. Go play.”
― Lin-Manuel Miranda",1520775352817180672,eirianss
"Lin-Manuel Miranda has won the Pulitzer Prize for Drama for Hamilton. Also, another fun fact: Lin-Manuel Miranda is only lacking an Oscar to become an EGOT.",1520750031313154049,thisisQuiche
"Lin-Manuel Miranda e Andrew Garfield, (tick, tick...BOOM!) https://t.co/6mTBW3PA78",1520743542796267522,asteroidpic
Lin-Manuel Miranda puts his foot in the musicals man! He hasn’t missed yet.,1520734967621459969,WhySoSerious426
Lin-Manuel Miranda Wants to Make an ‘Encanto’ Theme Park Ride Before Working on Sequels: The composer has already pitched his idea for a ride to Disney CEO Bob Chapek. https://t.co/iQaj3Ue1fU | @IndieWire #Film #Video #IndieWire https://t.co/LMkcG4yyZr,1520732402758299649,theeaglesvision
"Repost from @IndieWire 

Lin-Manuel Miranda Wants to Make an ‘Encanto’ Theme Park Ride Before Working on Sequels. https://t.co/Gt0flw8a1q",1520680266028793856,morena_faenza
did she bring lin-manuel miranda? https://t.co/uCcuBn0yBh,1520661189436448768,isilanorien
