full_text,tweet_id,screen_name
"2021 PARKSIDE NWSL LINDSEY HORAN #56 PORTLAND THORNS FC ""2022 USWNT's"" https://t.co/GHH6Qu0PAZ https://t.co/PHjMcSBl9p",1520812747474280449,SoccerImp
USWNT Stars Catarina Macario And Lindsey Horan Punch Ticket With Lyon To Champions League Final: https://t.co/GUR7cR436c,1520568762113695746,the18com
USWNT Stars Catarina Macario And Lindsey Horan Punch Ticket With Lyon To Champions League Final: https://t.co/DDnxqP3r8z,1520558119616663552,the18soccer
Lindsey Horan is quietly having a stinker #UWCL,1520495905505435649,SoletheBanker
"68th MAG OUT NOW 

Is Hina Sugita the player to replace Lindsey Horan at Portland Thorns? @DavidPAstill21 discusses in this month’s magazine?

Don’t wait! Get it here for €2.99: https://t.co/lzG0s6FoGo
OR become a member here: https://t.co/oyM0gHFzO2 https://t.co/ctNPBhIbj3",1519618678257553408,TotalAnalysis
"Y'all, my Lindsey Horan action figure finally arrived. iykyk https://t.co/6oJHZmXxiV",1518742909004120065,LagoonerBeach
"""We used it as our melatonin for the night, and I think our whole team was drinking the drinks before we went to bed. So that was one of the biggest uses for me.""""

https://t.co/pjWyY1wYXl",1518584364355010560,cheribundi
"miss you sophia smith, crystal dunn, lindsey horan… 😭😭😭 F COVID https://t.co/U2YM6YF3Nl",1518426628648484864,madisonschn8
"According to this DAZN video with Lindsey Horan and Amandine Henry, Horan’s nickname is “Patate.” #UWCL",1518258744760672257,GalPalSports
that felt racist from lindsey horan.,1518246682718511104,aadit_oberoi
Lindsey Horan (Lyon) vs Lawrence (PSG) in the #UWCL right now. #USWNT  #CANWNT,1518244311829200896,atayoko
