full_text,tweet_id,screen_name
Lizzo - About Damn Time,1520915939033858049,ptcrUIsErUsA
THIS IS HILARIOUS https://t.co/xl9Xt9tTx7,1520915835962941440,Phiandrea_
"Why lizzo dropping 2 days before my birthday, ain't the music I wanna hear mayne https://t.co/pXXUBlNMya",1520915531624288257,BustrrOpyn
I cannot stop listening to lizzo’s new song,1520915160084455426,Cait1404
i cant escape lizzo,1520915050181107715,OliviaShadders
Somebody tell my Tuarian Sister @lizzo  to consider me in the @Yitty  photoshoot 🥹😊,1520914827023163400,_TeflonVon
I’m  way too fine too feel this stressed @lizzo,1520914766067290117,LBweirdthoughts
"@lizzo with a straight face: My circle is tighter than my pussy. And just as good.

Me: https://t.co/Blcsnbo700",1520914723579047938,Ernie_Montana
"I know too many people who, in the year of our lords Lizzo and Lil Nas X two thousand twenty two, believe that famed slaver and racist Thomas Jefferson knew the single best way to govern a country ever in the history of ever.",1520914372905738243,PDPdoesTrek
in a minute imma needa sentimental man or woman to PUMP ME UP feeling fussy in my balenciussies 😫😫😫😫😫 lizzo goes hard in every song,1520914041836875781,emtoeman
I went to go check out Yitty but it looks like fabletics isn’t accessible in Japan? @Yitty @lizzo help 😭,1520913683546734592,cassimiya
Bey calling folks mamas for these pics😭😭😭😭😭 https://t.co/dogZOECCEy,1520913674055168003,AndriaRenee_
"“Woo child, tired of the bullshit” - @lizzo and I would be friends",1520913515325771776,negativecoin
imagine bey hitting your mom up for baby photos😭😭😭 https://t.co/Fqrxrh5uW5,1520913476528398336,rihannasnudes
Who wants to go to a Lizzo concert with me 😁😁 @lizzo #concert,1520913302813032448,KaylaLebron20
LMFAOO if it’s one thing Bey gone do it find a baby picture 😭😭🤣 https://t.co/dQWyFdNMjG,1520913176380035073,pinkrainxs
"@lizzo, any chance your album is coming out soon? I need it to help me get through grant applications 😢.
#grants #Lizzo #pumpmusic #gonnasuffer
#research #socialscienceproblems",1520912932825042945,HelpIAmStuDying
"#Lizzo Discusses her Struggle with Acceptance &amp; Bullying

Read more: https://t.co/HQbn7CRHfl https://t.co/b2nV8KVDjY",1520912899752939520,NilatchViral
I mean i didnt know this jennies picture existed before so yeah 😭😭 https://t.co/geH977jY5l https://t.co/UYOuXGKEGY,1520912763543076868,chanelcknnie
who else thought the t mobile lady was lizzo at first,1520912469773987842,wediditjoe
"just found out lizzo is a taurus, i can’t stop winning",1520911853177782273,appletaterx
"George Lucas lost an death-defying disagreement with Seattle, Washington by yesterday. They made Lizzo to oversee the Geneva Convention. It was excellent.",1520911749213347840,AnaphoricInfo
"if y'all ain't watching @lizzo's Watch Out for the Big Grrrlz, what are you even doing with your life??",1520911662068469760,dn_charles
Lizzo Discusses her Struggle with Acceptance &amp; Bullying https://t.co/Yu7VhxMWjW,1520911319372898305,petgroomerNG
