full_text,tweet_id,screen_name
Clayton Kershaw moved by ovation for breaking Los Angeles Dodgers' all-time strikeouts record - via @ESPN App That’s our Kersh! 💙⚾️ https://t.co/Fdfk0K2CYl,1520914499972198400,gbgirl3333
"Tigers boot series finale vs. Dodgers, 6-3 #Detroit #Tigers #MLB https://t.co/m2oPv37sHi",1520910948063621120,MotownFans
"""Los Angeles Dodgers pitcher Trevor Bauer receives two-year suspension from Major League Baseball""  https://t.co/ncDCguDDAx",1520910615472373760,Comixgrrl
2019 Topps Chrome Smith RC Rook #baseballcards https://t.co/3r9m7QbOAo,1520909224573812739,FinderCard
"The Los Angeles Dodgers annihilated the Detroit Tigers 6-3 in a game that featured some monstrous dingers! Will Smith struck out two batters for the Dodgers, while Chris Taylor and Freddie Freeman both scored runs.",1520907985370943495,thebaseballwtf
"Los Angeles Dodgers -1.5 -111 💰
Cash that! LFG!!!",1520907835592294401,Skitchen3
"Game 21 @ Los Angeles Dodgers.

At least we weren’t swept. Good to see Miggy and Candy get their first home runs of the season today.

#DetroitRoots

(#Sponsored by @RoastUmber) https://t.co/u7UBlWklGw",1520907000976183297,tonydombrowski
Trea Turner 2016 Topps Chrome R #baseballcards https://t.co/L20Ng4uJ5G,1520904470242246656,FinderCard
"5/1 VIP Results:

MLB:
Los Angeles Dodgers -1.5 (-115) 💰🔒
(F5) Milwaukee Brewers -0.5 (-130) ✖️

NBA:
Golden State Warriors ML (-130) 💰🔒

Another profitable night for the team! 

147-94-3 (61.0%) L242 Overall 📈
24-8-1 (75.0%) L33 MLB Overall ⚾️

https://t.co/cn1Lf5DCbc",1520904440601096194,ftphandicapping
"$1,000 Ladder Challenge!

Bet #3:

-Los Angeles Angels Alternate Spread +2.5 (-440)
-Los Angeles Dodgers (-270)
Parlay Odds: (-147)✅✅

$279.79 paid out $470.56💰

Let’s continue that climb!!! Bet #4 tomorrow! Follow, turn on notifications and join the climb.

#GamblingTwitter",1520903510455463936,CodysSportsBets
"Phil Bickford - Los Angeles Dodgers 1.0 IP, 2 ERs, 2 hits, 3 Ks",1520902902465892354,mlbstrike
Check out Cody Bellinger 2022 Topps Heritage SP Short Print Card #497 Los Angeles Dodgers  https://t.co/SKR7hTUV6T via @eBay,1520897295537090562,Jeremy1234321
Justin Turner - Los Angeles Dodgers (2) Solo,1520896424036102146,GonsolinRBW
"Los Angeles Dodgers - Detroit Tigers
New York Mets - Philadelphia Phillies

Bet slip link: https://t.co/khZsTueRjF https://t.co/cAn4C68fME",1520895378677452800,btcbettingtips
Vintage Authentic Russell Athletic Los Angeles Dodgers Jersey Davey Lopes Sz XXL https://t.co/VszSdZALJm eBay https://t.co/w7Cz2HZm6G,1520894594262585346,FanSouvenirs
"1978 Los Angeles Dodgers ""Scorecard"" https://t.co/bCmpqVbuIZ",1520888661784481792,OleTimeHardball
"Enjoying #dodgers baseball game with my girls. 
#sundayfunday #girldad #fatherdaughter #baseball #drtaban #tabanmd @ Los Angeles Dodgers https://t.co/nWkdZ7FJ1G",1520888417768427530,TabanMD
