full_text,tweet_id,screen_name
Check out this item in my Etsy shop https://t.co/g4m5RZJd4q,1520905016319561734,thosloan
"Btm 9th - @WhiteSox challenge call that Luis Robert is out at 1B; call overturned, runner is safe. Powered by @Mitel. https://t.co/C4MoXVnqpo",1520904890192650240,MLBReplays
2 card REFRACTOR Rookie Lot both PS #thehobby https://t.co/Kf852L108k,1520900773030338562,CardCrawler
LUIS ROBERT Signed Autographed  #autographed https://t.co/A4poJdTuTI,1520898585054830592,AutographDeals1
2 card REFRACTOR Rookie Lot bot #sportscardsforsale https://t.co/Xqpv1ULwHz,1520898496089493504,cardradar1
"Slab 5.
Shipping info in pinned tweet.
- PSA 10 Luis Robert A&amp;G: $20
(mislabeled, NOT a silver portrait)
#UMBstack @hiveretweets @sportscardsflRT @timscards1 @84baseballcards @connections_sc @Dailysportcards @sportscardhoby @linkmycard @CardboardEchoes https://t.co/QWKTFBeSug",1520898223111643144,UltraModernBall
2020 Bowman Chrome ORANGE REFRACTOR #thehobby https://t.co/OFmzNJEJpy,1520898116177874950,CardboardFeed
Check out 2022 Topps Opening Day #155 Luis Robert SP Image Variation Card- White Sox  https://t.co/kFNMlTevK6 via @eBay,1520892264997924864,Jeremy1234321
2020 Topps Chrome Black Rookie  #sportscards https://t.co/U1QEnowCys,1520891488288350209,cardwatch123
"$30 - 2018 Bowman Luis Robert #BP21 PSA 9. White Sox. Shipping $4. PayPal Only

@HobbyConnector @sports_sell @84baseballcards @DailySportcards #518Stacks #thehobby 
#baseballcards 

 DM to Claim! https://t.co/DImRmQfRfZ",1520890831426801665,FSBreakdown
"$20 - 2020 Topps Luis Robert #392 RC PSA 9. White Sox. Shipping $4. PayPal Only 

@HobbyConnector @sports_sell @84baseballcards @DailySportcards #518Stacks #thehobby #baseballcards

DM to Claim! https://t.co/JS8S4VQgBc",1520885783703470082,FSBreakdown
I try to keep calm about Luis Robert but he swung at every pitch today. Not sustainable.,1520880785162747915,mattcarlson53
"So many whining and crying about Luis Robert, give the guy a break, true fans support him no matter what 😕",1520876840528883719,Kicky80
"Yikes! 👀
Jose Abreu hit by pitch. Tim Anderson scores. Luis Robert to 3rd. Adam Engel to 2nd.
Angels 6 - White Sox 5 Bottom 9th👀💦
#LAAvsCWS #LetsGoAngels #GoHalos",1520876250268536833,AnaheimSports1
Luis Robert is fucking terrrrrrible,1520873479427477508,EthanKatzLab
Luis Robert 2-run HR coming up next,1520873329426640898,Whatshamidt
Luis Robert is the tying run. Sox showing life in the 9th.,1520873255120392202,rooach
2020 Topps Chrome Luis Robert Rooki #thehobby https://t.co/y9GVa4i63u,1520868954432016385,CardCrawler
Luis Robert 2020 Topps Chrome MLB B #thehobby https://t.co/EY9luNDXY7,1520867432969166851,HR_cards
"Luis Robert is 1-for-4. He’s made two first-pitch outs, struck out on three pitches (all swinging), and his only hit came when he took the first pitch and hammered a mistake.

It’s not the outs I’m frustrated by. It’s the process behind them.",1520863138190708737,jlazowski14
Next time Luis Robert is up to bat he needs to just not swing.,1520862900767838209,DumpOnTheUmp
"Is there a pitch Luis Robert won't swing at?  Until he figures that out, he will never live up to his potential.  Just a shame that he in his third year now and still doing the same things as he did in 2020.",1520862504964001792,SoxKenny
Luis Robert is never going to succeed if he doesn’t start taking pitches,1520862393022230530,Noahs_ark_2x2
Luis Robert don’t swing at inside sinker challenge (impossible),1520862163505610752,chicagoisgoated
2020 Topps Chrome Luis Robert Refra #thehobby https://t.co/Ywhid0Infi,1520860406411141120,CardCrawler
Luis Robert White Sox Auto Sign #sportscards https://t.co/J7rT2kaxGk,1520859710244675585,nothingbutcard
"🏅 Trophies won being the best player of the tournament :

🇦🇷 Lionel Messi — 18
🇵🇹 Cristiano Ronaldo — 10
🇵🇱 Robert Lewandowski — 10
🇧🇷 Neymar — 4
🇺🇾 Luis Suárez — 3 https://t.co/tDGiPqr3S4",1520859063323668486,Messi_Inex
"How White Sox' Luis Robert 'looks good,' could return vs. Angels Friday https://t.co/VVVXavFWKJ",1520855733348225024,cinwin19
Luis Robert is the unluckiest player in baseball https://t.co/CUsoOJvGhw,1520853038545653762,ChiTownKevi
"Luis Robert:
2020 Bowman Sterling $30
2020 Bowman 1st Edition $25
2020 Topps Chrome RC $35 https://t.co/dpCTHvDp8z",1520852769732808709,ArumsCards
Luis Robert is so damn quick he could literally play all 3 outfield positions by himself he almost got there 😂 https://t.co/N6Yd2tfH5B,1520852713877159936,rall_ibarra
"Well would you look at that, Luis Robert waited for an elevated pitch and look what happened",1520851527283396611,jlazowski14
"Luis Robert:
2018 Sky Blue PSA 10. POP 36. $300
2020 Sky Blue RC PSA 10. POP 26. $200
2020 Topps Chrome RC Refractor $85
2020 Topps Chrome RC Sepia Refractor $120 https://t.co/tCa8BNdpfJ",1520849868557852673,ArumsCards
Luis Robert is supposed to be having an MVP campaign and it's gonna be ruined because our hitting coach can't get him and others to stop swinging at everything.,1520848818799005696,satavvibes
Luis Robert White Sox Auto Sign #sportscards https://t.co/vqK4134VEC,1520847469910933504,nothingbutcard
2018 Bowman Chrome Prospect Auto Bl #thehobby https://t.co/kDCutp13yu,1520844163700473859,HR_cards
the last time luis robert took a ball was 5 plate appearances ago,1520841766903156736,JayCuda
Luis Robert just had one of the worst AB’s I’ve ever seen. Absolute basura,1520841455073439749,oatsXmcgoats
"Lorenzen made Luis Robert swing at like 3 down-and-in, two seam fastballs",1520841340539457536,weedfishes
"First few series, Luis Robert looked like an emerging superstar.  Now it appears he won’t even make the All-Star team.",1520841303646519299,things_sox
Luis Robert is a bust,1520841294477770753,EthanKatzLab
Luis Robert looks so incredibly lost,1520841183223816192,KevinPittmanJr
Luis Robert take a pitch challenge,1520841164844417024,troychifan
Luis Robert take a fucking pitch challenge.,1520841016441458688,RTP316
"If Luis Robert wants to be a MVP caliber player, he has got to learn to take walks

Awful first AB",1520832391727751168,Sox_Nick
"Dear Luis Robert,  take a pitch every now and then please.  The pitcher is literally trying to get you to ground into a double play.  You made that way too easy for him.",1520832081844228098,rwitro854
"87 win pace with robert 
23 win pace without 

luis robert is a 64 win player https://t.co/QHyCFPK3Ql",1520827060465414144,whitesox2021
"White Sox record by starting center fielder 

Luis Robert       7-6
Anyone else      1-6",1520826068319547394,JayCuda
Check out Luis Robert RC2020 Topps Archives #159 Rookie Card PSA 10 #ChicagoWhiteSoxWhitesox https://t.co/4xST5mO8bj via @eBay,1520814492459880448,FANtastic_SCM
"Luis Robert Chrome Rookie Auto — Blue Wave PSA 10

$1700 shipped PayPal G&amp;S https://t.co/Zjmyb6wJJY",1520813620829040641,cavacards
"💰MLB Props💰

💵Blue Jays vs Astros u.5 runs
💵Logan Gilbert o 17.5 po
💵Jorge Soler u 4.5 fs
💵Whit Merrifield u 6 fs 
💵Luis Robert u 7.5 fs",1520805849412866053,prop_profits
2020 Topps Chrome Luis Robert R #sportscardsforsale https://t.co/OzAVwtSymV,1520804418878328834,cardradar1
"#VinnyVibes were strong yesterday and @SoxInsane is all about it 
https://t.co/e1KzJfuq02",1520799838690066434,SoxOnTap
"Rain could not spoil a great performance from Vince Velasquez in the #WhiteSox Saturday win over the Angels. @SoxInsane runs down the action.

@SoxOnTap | #ChangeTheGame 
https://t.co/3tgaV8kVdB",1520799542677024781,OnTapSportsNet
"#WhiteSox Lineup 05/01/22

1. Tim Anderson SS
2. Luis Robert CF
3. Yasmani Grandal DH
4. Jose Abreu 1B
5. Gavin Sheets RF
6. AJ Pollock LF
7. Leury Garcia 2B
8. Reese McGuire C
9. Josh Harrison 3B

Starting Pitcher : Dallas Keuchel",1520792527103692800,DailyMLBLineup
They’ll need more than just Luis Robert https://t.co/FJN4S4dXXF,1520792257934368771,UnionMoneyMitch
"@ulalaunch Delta II x @MLBTheShow Diamond Dynasty Custom Uniforms crossover

Randy “The Big Unit” Johnson
Luis Robert
Francisco Lindor
Jose Ramirez https://t.co/ThqwrFCZy3",1520792165986807810,Minker96
"5/1 Chicago White Sox Lineup:

1 SS Tim Anderson
2 CF Luis Robert
3 DH Yasmani Grandal
4 1B Jose Abreu
5 RF Gavin Sheets
6 LF AJ Pollock
7 2B Leury Garcia
8 C Reese McGuire
9 3B Josh Harrison

 SP:Dallas Keuchel #ChangeTheGame  #MLB",1520789771617976322,GSMLBPicks
"White Sox Starting Lineup - May 1:

1. Tim Anderson - SS
2. Luis Robert - CF
3. Yasmani Grandal - DH
4. Jose Abreu - 1B
5. Gavin Sheets - RF
6. AJ Pollock - LF
7. Leury Garcia - 2B
8. Reese McGuire - C
9. Josh Harrison - 3B

SP: Dallas Keuchel https://t.co/UHuFugxutG",1520789435725631489,SoxOn35th
LUIS ROBERT ROOKIE CARD 18 2020 Bow #thehobby https://t.co/GYp4BjYzIL,1520787844033396736,HR_cards
Luis Robert Rookie Card 2020 To #baseballcards https://t.co/GQMAASWjxU,1520786723722371072,FinderCard
2020 Topps MLB Holiday LUIS ROBERT  #thehobby https://t.co/6J7qbLVXVt,1520785469767884800,HR_cards
2020 Topps Chrome Luis Robert Rooki #thehobby https://t.co/uQbR354zGr,1520781460218818561,CardboardFeed
Check out 2020 Topps Heritage High Number Luis Robert White Border RC SP HGA 9 White Sox https://t.co/jgrtux869x #eBay via @eBay,1520780362900819970,John_Moore_IV
2020 Topps Chrome Luis Robert Rooki #thehobby https://t.co/Zz8BwztZAE,1520779379202301953,CardCrawler
"Incoming : Robert Luis : Tru Thoughts Presents Unfold

Coming up!! A classic Labi Siffre. Hip Hop from Robert feat Kool Keith, Rakim and Public Enemy (a track about processed food). A tune from the new SAULT album. Uplifting Gospel House with Soulful Session &amp; Cheryl Lee

Cont👇 https://t.co/ui81utbAE7",1520775475764903940,RadioWired
"❄ Luis Robert (CWS) has failed to exceed 0.5 RBIs in 7 of his last 8 games (0.4 RBIs/game average).

LAA @ CWS: o/u 0.5 available at #BetMGM (+150/-200).

#GamblingTwitter #PlayerProps #MLB #MLBTwitter https://t.co/er7BklHvgC",1520775075720404993,Fansure_MLB
"Luis Robert Gold Cup, Green Variation.

$0.10 bid! Ends tonight! More posts below

@MDRANSOM1 @sports_sell
@84baseballcards @FatherBreaks

https://t.co/9wjTinkdDI",1520770507913646080,Chukars
"White Sox lot $16
Yermin Mercedes lot 
Luis Robert lot 
Frank Thomas lot @sports_sell @MDRANSOM1 https://t.co/axVvm5rZRZ",1520770139402260481,TonysCards
2021 MLB TOPPS NOW Card 929A On #baseballcards https://t.co/QwT50zgA58,1520766757077725184,FinderCard
ON NOW: Unfold Radio w/ Robert Luis *NEXT: Basic Soul w/ Simon Harrison,1520764761687867392,NessRadio
Luis Robert is 3-for-31 at home this season and all three hits have been home runs.,1520758781608710145,WriteSox
2020 TOPPS CHROME PURPLE REFRACTOR  #thehobby https://t.co/G4iOPFR1lw,1520754487090102272,cardboardpromos
ON NOW: Mol Show w/ Alexander Mol *NEXT: Unfold Radio w/ Robert Luis,1520749663598612482,NessRadio
"MLD Top Performers 4/30/22 (Hitters)

George Springer 16.5 pts (@Forever_Cards)
Hunter Renfroe 11.5 pts (@cory5ott)
Manny Machado 9.5 pts (Eggs Odorizzi)
Luis Robert 8.75 pts (@ForeverChop)
Christian Yelich 8.5 pts (@AaronNolaGoat)",1520731657199890432,MLDsim
Who we investing in Luis Robert or Bo Bichette? @CardPurchaser,1520731121792737281,willk35204516
2020 Topps Chrome Luis Robert R #whodoyoucollect https://t.co/RaPWOBNwBE,1520726895750438912,sportscardcoder
2020 Topps Chrome Luis Robert R #whodoyoucollect https://t.co/DenJxzkRKV,1520725946147524609,sportscardcoder
