full_text,tweet_id,screen_name
📌 Luis Suarez will NOT play in #MLS next year. Absolutely ruled out 🇺🇾 ❌ [via @MatteMoretto] https://t.co/0dgJ8nRaqF,1520904649787600896,Capricorn_SXM
"According to @MatteMoretto, Luis Suárez will not move to the MLS next season.

Like Cavani, Suárez will not leave Europe yet as the 2022 World Cup awaits. https://t.co/eXrqVFpBx4",1520893362211020800,UruguayHeroes
Luis Suarez only needed 6 appearances against Norwich to score 12! https://t.co/0XhWkTRZ6J,1520886103477215233,liamwillis_
"Luis Suárez won't join MSL club when his current Atlético Madrid deal expires at the end of the season. @MatteMoretto 

#fcb #rm #psg #bvb #mcfc #mufc #afc #lfc #cfc #wwfc #nufc #thfc",1520885505939972099,transferblog20
"(☀️) Luis Suarez 🇺🇾 will NOT play in MLS next year, it is absolutely ruled out. @MatteMoretto #MLS",1520884101108039681,Route1futbol
"🚨| Luis Suárez will NOT play in the MLS next year, it is completely ruled out. [@MatteMoretto🎖] #Transfers",1520884037988012032,atletiuniverse
"🏅 Trophies won being the best player of the tournament :

🇦🇷 Lionel Messi — 18
🇵🇹 Cristiano Ronaldo — 10
🇵🇱 Robert Lewandowski — 10
🇧🇷 Neymar — 4
🇺🇾 Luis Suárez — 3 https://t.co/tDGiPqr3S4",1520859063323668486,Messi_Inex
"📌 Remember #BarcaMallorca in December 2019? 🤔

Luis Suaréz scored a stunning backheel goal 😱 😍

Also, #Messi𓃵 celebrated his 6th Ballon d'Or with a brilliant hattrick 🎯

#FCBlive |#FCBarcelona |#LaLiga 
https://t.co/FlZvdmG3c3",1520832132880506880,Capricorn_SXM
"Throwback to Barcelona vs Mallorca: December 2019.

Luis Suaréz scored a stunning backheel goal.

Also, in the same game Lionel Messi celebrated his 6th Ballon d'Or and scored a brilliant hattrick.

Marc André ter Stegen assisted one of the goals.

Barça won 5-2. https://t.co/ilc7m97tKR",1520829152328404992,Barca_Buzz
Luis Suarez has scored more goals than 10 of the 20 Premier League teams this season.,1520827733042814978,BayuIhsn
Luis Suarez 1st Premier League Goal Ticket - Sunderland v Liverpool 2011 https://t.co/jWCSaEAG0m eBay https://t.co/vToZKoM3Wr,1520820993169629185,FootballMemora6
Luis Suarez climbing onto the Atletico team bus https://t.co/zEa6w7ebIu,1520819551268651018,LegendaryLewy
"Don't ever!
I mean don't ever compare Luis Suarez to Benzema..

Stop disrespecting Luis!😡",1520802643488256002,Akinnsings
"The funny thing about the Ramos vs Van Disney comparison is even if you ignore the fact that Ramos is superior in every way except pace, Ramos had to deal with prime Messi, Neymar, Suarez, Forlan, Falcao, Luis Fabiano, Diego Militao, Eto’o, Villa, Torres",1520797453523562501,andruchk
Will Lionel Messi and Luis Suarez team up at Inter Miami in 2023? @Jorge__Mas,1520794513144492033,MLSTOMIAMI
"Luis Suárez, previously a well-renown footballer, has made a career change and is now a lawyer",1520791892882903040,soccer_theory
"Ronnie O' Sullivan the Luis Suarez of the snooker world.
Suarez bits people and pretends he didnt and Ronnie makes gestures and pretends he never.

Get to rehab Ronnie.

#bbcsnooker 
#SnookerWorldChampionship",1520790285491580928,billbob19
"HALF-TIME: Granada 0-0 Celta Vigo

Tight enough game. Santi Mina and Luis Suarez forced saves, but the most exciting moment was an Iago Aspas run towards the end of the half.

Picking it up in his own half, he drove past defenders, dropping German, before firing narrowly wide.",1520780933569331203,footballespana_
"Richarlison Laid On The Floor, Realises The Ref Isn't Going To Stop The Game, So Gets Up, And Sprints After The Ball, Absolute Fucking Poundshop Luis Suarez This Divvy 😂",1520774675919429634,UpNorthFiddy
"Framed Luis Suarez Barcelona Autographed 11"" x 14"" Screaming Photograph BAS https://t.co/daskUySIGJ eBay https://t.co/ibCVDfI4y4",1520772050956169216,items_sport
I think everyone can agree when I say prime luis suarez is a better player than cristiano ronaldo,1520762697104642049,_exotiix_
Just a reminder that Luis Suarez is the best striker ever🤷🏽‍♂️,1520734572962627584,jamesbillows_92
What's Luis Suarez doing in Stratford? https://t.co/EsEZjTwrql,1520733749733900288,BrexitChels
Luis Suarez after completing his signing with Atletico Madrid https://t.co/2jlEvSmd1b,1520733129241210882,princemaro101
Luis Suarez mistakenly appeared in the Asamoah gyan book lunched Eiiiii  as3m aba 😁😁😁😁,1520731408074948609,IsmailIssah7
I know it's Luis Suarez that will start this. I'm dead sure https://t.co/kvxjZh2dGL,1520722940375019520,RealestNamy
@MarcusMergulhao a popular youtuber clame that ATK Mohunbagan is talking with Robinho and Luis suarez. Is this true?,1520717294963281921,subhaji26972013
"Abeg, anybro wey get Asamoah Gyan en book some make we link up so say I run photocopies. I wan see say whether he capture the penalty incident or not b'cos that's what I'm interested in. Not forgetting vampire Luis Suarez incident too.🥺🤒",1520717281600356354,BoyeKweku
"Yes, it was that kind of night for Luis Suárez on Saturday.

An Atlético side lacking ideas and believe, were beaten 2-0 by Athletic Bilbao.

The Rojiblancos are now involved in huge fight for Champions League football. https://t.co/sAc9bdFf3i",1520716839315193856,UruguayHeroes
"Top five PL attackers of all time: 

1. Cristiano Ronaldo 
2. Thierry Henry
3. Wayne Rooney
4. Eden Hazard
5. Luis Suarez

Most entertaining and complete attackers that the league has seen.",1520697271855235072,mufcjude20
