full_text,tweet_id,screen_name
JORDAN DAVIS/LUKE BRYAN - BUY DIRT https://t.co/5TJlTrKSZ6,1520913939021897728,1023coyote
luke bryan only makes bangers https://t.co/zsSe6NYxOd,1520909384955617280,milfseonghw4
🎧 Do I by Luke Bryan on @PandoraMusic  https://t.co/6rzleJKlmq https://t.co/D2W8m22f0s,1520903115876274176,KatrinaGAGirl
🎧 I See You by Luke Bryan on @PandoraMusic  https://t.co/nREu0nmy33 https://t.co/00q8QJuUbL,1520899514084823043,KatrinaGAGirl
"Wednesday - Landers Nolley II
Thursday - Sauce
Friday - Alec, Des, Bryan, Myjai
Saturday - Coby, Jerome, Darrian, Curtis
Sunday - Rayvon Griffith

What an amazing week for Cincinnati athletics. Luke Fickell, Wes Miller, and John Cunningham are building greatness here in the 513.",1520897492484829184,SSN_Cincinnati
"Check out ""Buy Dirt [feat. Luke Bryan]"" by Jordan Davis on Amazon Music. https://t.co/eqkO8vQwVa",1520897470141591552,usroses
"🎧 One Margarita by Luke Bryan on @PandoraMusic 
💚🌴💚 https://t.co/roszKdzsJf https://t.co/SWwClyTtMS",1520897074358894596,KatrinaGAGirl
"You are now listening to
Jordan Davis x Luke Bryan - Buy Dirt
Keep it locked on https://t.co/wR4gFZ6kkj for more great music! #TMPRadio",1520896145169473537,TMPRadio
Country music star Luke Bryan announces return to Fowlerville in September - Daily Press &amp; Argus https://t.co/K70MpiUv3a,1520894218436169729,CountryMusicnv
"So many good voices, old and new.. but if you say something like Luke Bryan, Kane Brown or Morgan Wallen, straight to jail https://t.co/QTZWodeNBE",1520892374515343367,nicholemhoward
"Do I - Luke Bryan

https://t.co/3g8Ebii3Pc",1520891730144292864,SeaTownFan31
"$DOGE classic.....  

Luke Bryan - All My Friends Say (Official Music Video) https://t.co/mNLbHpLNNi via @YouTube",1520890167745253377,SergioSilvaJr6
"“i fuck w the crazy ones even his mom was crazy she would talk to the wall and swore it was luke bryan, she even told me not to be rude and tell luke hi”",1520889797711118340,BIKESfanclub
Now Playing on TNN Country Radio: Most People Are Good by Luke Bryan,1520883540828766210,TNNRadioSongs
Luke Bryan - Light It Up https://t.co/YJ59Aj309r,1520880613208866816,580WKSK
LUKE BRYAN - I DON'T WANT THIS NIGHT TO END https://t.co/5TJlTrKSZ6,1520880259326955520,1023coyote
Luke Bryan - Drink A Beer-  #kbcountryradio #indiemusic #internetradio  #indie  https://t.co/zXMnxXHP4M #jukeboxTop25,1520877807345278978,KB_CountryRadio
"Now Playing On Sound Machine Country Radio Darius Rucker w/ Jason Aldean, Luke Bryan And Charles Kelley - Straight To Hell (Full Length Version)",1520873645672996864,country_machine
"Now Playing: ""Do I"" By ""Luke Bryan"" is on Q106.8 Country | WQKT-DB https://t.co/Lb3PM6yUgV #NowPlayingOnQCountry",1520873487707131905,QCountryKnox
Kinda rude that neither Luke Bryan NOR Luke Combs have shows in PA this summer,1520872718975053824,rubymundok
"2021-2022 Committee members:
Cadence Brooks
Max Colby
Alaina Imboden
Bennett Moore
Justin Jergens
Karinne Stormer
Austin Black
Kyle Brueckman
Haleigh Marzoff
Luke Arnold
Bryan Garcia
Nolan Firstenburger
Lydia Brannan
Maddie Dellaria
Autumn Hennagir
Richard Huynh",1520869096723734534,bethel_promcom
Jordan Davis - Buy Dirt (Official Music Video) ft. Luke Bryan https://t.co/YFIshD5fnH via @YouTube,1520867705250889733,PSLilyBoutique
Now playing One Margarita by Luke Bryan!,1520859788493692928,RadioTiktok
Luke Bryan - Light It Up https://t.co/BrOMHaEOq1,1520857261178073094,securenet
"Check out ""Country Girl (Shake It For Me)"" by Luke Bryan on Amazon Music. https://t.co/uPTvCWXyQw.   Playin now!!!",1520856457834553344,AnthonyMefford6
#LukeBryan my collection of the best artist ever Luke Bryan ❤️ Legendary 🎶❤️😁😁😁 https://t.co/R787MI0oSz,1520853029435629568,other_south
luke bryan doesn’t count https://t.co/oiIVoy834e,1520849040623259648,ajaxk1sser
