full_text,tweet_id,screen_name
"Saul Canelo Alvarez in #boxing interview - ""Manny Pacquiao is a 'B-' Fighter"" @SHOSports: https://t.co/4tH7Up7wYT @HBOBoxing",1520905708820172800,boostjockster
Manny Pacquiao Workout And Diet via @fitnessclone https://t.co/2j0KBxbWDw,1520904653550100480,CrawlStand
"Manny Pacquiao, the fighter who convinced De La Hoya to retire by beating him senseless this past December, is beyond a star in his native Philippines.",1520867312152289282,ninghaiguniang1
Manny Pacquiao vs Ricky Hatton (GP Highlights) https://t.co/X1RBrsZyYu via @YouTube,1520822429437804544,my55cents
You were all too quick to praise Pacquiao. He’s no different than the trapos who reduce the threat of another Marcos presidency to a clan war. The fact is VP Leni has become the strongest symbol of the resistance against corruption. Manny refuses to recognize that out of ego.🤦🏻‍♀️ https://t.co/BKGjDdvmY2,1520780314158977030,ReesStaMaria
Floyd Mayweather vs Manny Pacquiao Full Fight Highlights https://t.co/qg5n5OEINZ via @YouTube,1520772059093250048,ctagle370
"Katie Taylor vs. Amanda Serrano fight is way better than any of the last ten fights of Manny Pacquiao.
It needs a rematch too. Damn that was too close.
#TaylorSerrano",1520769698501378048,thefakeoyen
Watching through Mexico's Triplemania 30 replay is difficult since they have a commercial for boxing and one of the clips is Juan Manuel Marquez knocking out Manny Pacquiao. And they show it every ad break...,1520757333462327298,KeepingItOscar
!pray that's what Manny Pacquiao did! @AswangTribe @AswangNFT @Khalilshroom @woDtanman @MyHeroSoul @eska_nft @CrimsonfateNFT https://t.co/MSuKiMNt8o,1520753714394705920,drawdEnft
Who voted Manny Pacquiao to be the next President of the Philippine? Currently he is at an approximate support rate of 6%. #philippine #President #BBMIsMyPresident2022 #BBMbobo,1520746013417385984,DeezzBoii
"Presidential bet Senator Manny Pacquiao carries a wreath and lays it at the Press Freedom Monument in Cagayan de Oro on Saturday, April 30. Pacquiao is the only presidential candidate to do this in Cagayan de Oro. @rapplerdotcom https://t.co/eunQJKAzZ8",1520724276013576192,herbie_gomez
"Manny Pacquiao ,Adrian Broner and Mikey Garcia couldn't stop Jessie Vargas but Liam smith did .
Yet y'all say canelo is fighting weak white boxers https://t.co/iFgXUsXYKB",1520718843429240832,Uknown87sj
"If you work hard in training, the fight is easy. - Manny Pacquiao",1520705103115788288,BoxingAdvice
"SENATOR MANNY PACQUIAO
IS
BEST TO BECOME
SECRETARY OF SPORTS AND WELFARE

SPORTSMANSHIP AND GENEROUS KIND PERSON

BUT  FOR
PRESIDENT - VP
100 %    ABSOLUTELY  NO.............

WE
VOTE - SUPPORT
FOR
BBM + SARA  ONLY !!!!!!!!!!!!!!

NON - NEGOTIABLE.......... https://t.co/bLeekVUCdl",1520691058593906688,SPOWWA
The fact that Manny Pacquiao’s speech is better than Bongbong Marcos ☺️,1520667425070477312,global_harley
my mom always say she'll vote for manny pacquiao while laughing 😭 IDK IF SHE'S SERIOUS OR NOT,1520661785631592448,rdyrkive
"The match marked the first time two women were headlining at the 'World's Most Famous Arena.' It was also the boxing's first fight between the pound-for-pound No. 1 and No. 2 since 2008, when Manny Pacquiao defeated Juan Manuel Marquez. https://t.co/TeRKzvsmJ9",1520657692745895941,sportsdeskph
"Just under 14 years after Manny Pacquiao vacated the Championship…

There is a NEW Lineal King at 130lbs:

👑 @ShakurStevenson 

Congratulations to the new champ!

#StevensonValdez #Lineal https://t.co/WrniQ8hajh",1520654530198839296,LinealBoxChamp
"Senator Manny Pacquiao visits the Press Freedom Monument in Cagayan de Oro, which was built to honor fallen journalists in the Philippines. #PHVote #WeDecide  https://t.co/6wctpQ2Xs6",1520652671937650689,phvote
BAYAN BANGON Manny Pacquiao Campaign Jingle Reaction Video | ReaperRocke... https://t.co/ih8GMkktQz via @YouTube,1520630781994885120,reaperrocker
Looking at Stevenson's face now. He resembles a cross between Floyd Mayweather and Manny Pacquiao. WTF https://t.co/cTtFxLHOrY,1520627086179717120,BScene_Forums
"Presidential candidate Senator Emmanuel ‘Manny’ Pacquiao vowed to help the poor Filipino families if elected in the May 9 elections.

Read more: https://t.co/dgAjwlndRN

Photo: Metro CDO Photos/Tom Udasco https://t.co/QZ96IMjSqq",1520626545106186240,franckensense
"We have a new Lineal Jr. Lightweight Champion: Shakur ""Sugar"" Stevenson defeated Óscar Valdez via UD.

Stevenson succeeded the championship vacated by Manny ""Pacman"" Pacquiao in 2008.

#boxing",1520625806317604864,ProjectLineal
One thing is certain … Timothy Bradley’s commentary is about as good as his skills were against Manny Pacquiao #StevensonValdez,1520621717655367686,CoachAndyCSmith
"Here's a look at presidential candidate Sen. Manny Pacquiao's campaign rally in Cagayan de Oro City on Saturday. He is joined by his wife Jinkee, along with senatorial candidates Lutz Barbo and Monsour del Rosario. #BilangPilipino2022 (via News5/Mon Gualvez) https://t.co/k5coKRDJKe",1520618262781956097,onenewsph
How do you think Manny Pacquiao avoids having family members kidnapped for ransom,1520614233854992385,chrisshep51283
Manny Pacquiao is both delusional and irrelevant...,1520607960334241792,AhaKilled
Press Freedom Monument in Cagayan de Oro is spruce up for the wreath laying of presidential bet Manny Pacquiao who is the 1st candidate to honor the 201 journalists killed in the Philippines since 1986. @Gallard8Froilan https://t.co/712TeX7oPd,1520604195472429056,Gallard8Froilan
"Michael Buffer on #USABoxing: ""MANNY PACQUIAO IS AN EASY WIN FOR FLOYD MAYWEATHER"" @HBOBoxing https://t.co/uXUMHavfO1",1520602653016870912,boostjockster
"That was one of the best fights I’ve ever seen!
Katie Taylor vs Amanda Serrano reminded me of Manny Pacquiao, Erik Morales, and Marco Antonio Barrera fights!!! Just legendary!!!",1520600700417241088,GeezytheDj
"Floyd Mayweather During Guerrero Media Workout: ""Manny Pacquiao's Career is OVER WITH"" @HBOBoxing @SHOSports #boxing https://t.co/nIekP7aSM2",1520599718266560515,boostjockster
"Vargas has gone 12 with Mikey Garcia, Manny Pacquiao,  Timothy Bradley Jr and Liam Smith has just absolutely pick him apart. Not bad for a ""basic fighter"". Clueless waffle @DAZNBoxing @jaydi_mac",1520583727415541761,iPauloxD
"Presidential candidate Senator Manny Pacquiao says his 'war on corruption' would not be bloody, but it would be uncompromising and send the corrupt and their cohorts behind bars one after the other at a scale never before seen in the country. #PHVote #W... https://t.co/JfKcllcsaZ",1520583186065068033,phvote
"Larry Merchant EXPOSES HBO: ""We Were Asked to Glorify Manny Pacquiao"" @HBOBoxing Video: https://t.co/IMHxQ8ejfu",1520574051764350977,boostjockster
