full_text,tweet_id,screen_name
Marcell Ozuna 2021 Topps Chrome #sportscards https://t.co/77TSFZ1MUx,1520876343742930947,nothingbutcard
"#Braves 2 @ #Rangers 7 [T6-1o]:

Marcell Ozuna (looking; 1)

LHP Matt Moore (1)
Seq (6): kc FF× KC× kc kc FF
s3: 95.2mph Four-seam Fastball",1520866107019739137,whifftracker
Marcell Ozuna literally blasted that ball through the shift,1520849774370557952,TheATLGoon
"Marcell Ozuna - Single vs Taylor Hearn
#Braves vs #Rangers

EV:   108.7 (MPH)
LA:   6 (Deg.)
Dist: 128 (ft.)
xBA:  .650

81.8 (MPH) Slider (SL) - 1-1 Count",1520849768414683136,BravesInPlay
Almost certain I have a better arm than Marcell Ozuna.,1520840119967756288,JustinPaitsel
I have a better shot at throwing a runner out at home from my couch than Marcell Ozuna does in right field,1520839846323015687,Hunt_Burnett
#Braves Marcell Ozuna has the arm strength of a 10 year old…#MLB,1520839829499441153,ajfoster02
Marcell Ozuna 2021 Topps Chrome Sep #thehobby https://t.co/o2YX3QElMg,1520837897288564740,cardboardpromos
"Marcell Ozuna - Flyout vs Taylor Hearn
#Braves vs #Rangers

EV:   76.6 (MPH)
LA:   57 (Deg.)
Dist: 196 (ft.)
xBA:  .050

83 (MPH) Slider (SL) - 1-2 Count",1520837310094487553,BravesInPlay
"Most hard hit balls this season

44  Devers, Rafael
38  Ozuna, Marcell
37  Bichette, Bo
36  Machado, Manny
36  Franco, Wander",1520802743165853696,redsoxstats
"#Braves Lineup 05/01/22

1. Ronald Acuna DH
2. Matt Olson 1B
3. Austin Riley 3B
4. Marcell Ozuna LF
5. Ozzie Albies 2B
6. Adam Duvall CF
7. Travis Demeritte RF
8. William Contreras C
9. Dansby Swanson SS

Starting Pitcher : Kyle  Muller",1520788213811408896,DailyMLBLineup
"5/1 Atlanta Braves Lineup:

1 DH Ronald Acuna Jr.
2 1B Matt Olson
3 3B Austin Riley
4 LF Marcell Ozuna
5 2B Ozzie Albies
6 CF Adam Duvall
7 RF Travis Demeritte
8 C William Contreras
9 SS Dansby Swanson

 SP:Kyle Muller #ForTheA  #MLB",1520782225155006470,GSMLBPicks
"Atlanta Braves lineup:
1. Ronald Acuna Jr. (R) DH
2. Matt Olson (L) 1B
3. Austin Riley (R) 3B
4. Marcell Ozuna (R) LF
5. Ozzie Albies (S) 2B
6. Adam Duvall (R) CF
7. Travis Demeritte (R) RF
8. William Contreras (R) C
9. Dansby Swanson (R) SS
https://t.co/Y3W1k9vpkY",1520781547254734849,AwesemoMLB
"In a perfect world, marcell ozuna plays for somebody else #trash https://t.co/laVTzr9BhG",1520769013311287296,karsheahar
"@MLB Barrels per Plate Appearances Percentage (Brls/PA%) Leaders:

1. Aaron Judge – 17.9
2. Mike Trout – 15.8
3. Giancarlo Stanton – 14.5
4. Marcell Ozuna – 12.0
5. Austin Riley – 11.8",1520756555372797952,sabermetryka
"BauerOutage Marcell Ozuna was found, by police, beating his wife. Already back in baseball. Trevor Bauer didn't have enough…",1520659158181154816,seungjaemo1
"Marcell Ozuna vs Joe Barlow
#ForTheA

Flyout 💢

Exit velo: 104.6 mph
Launch angle: 30 deg
Proj. distance: 399 ft

This would have been a home run in 4/30 MLB ballparks

ATL (1) @ TEX (3)
🔺 9th https://t.co/ArdUMvl2mh",1520579174997520386,would_it_dong
"Marcell Ozuna - Flyout vs Joe Barlow
#Braves vs #Rangers

EV:   104.6 (MPH)
LA:   30 (Deg.)
Dist: 399 (ft.)
xBA:  .930

95.1 (MPH) 4-Seam Fastball (FF) - 2-2 Count",1520575148407107587,BravesInPlay
"Marcell Ozuna off RHP Joe Barlow - 104.6 mph, 30 degrees (399 ft Flyout, .930 xBA)
95.1 mph 4-Seam Fastball
#Braves @ #Rangers (T9)",1520575057969532935,MLBBarrelAlert
"Barrel: Marcell Ozuna (10) [ATL] off Joe Barlow [TEX]: 104.6 mph, 30 degrees (Flyout - 399 ft)",1520575016043261952,MLBExitVelocity
Can the Braves please just get rid of Marcell Ozuna? I can’t cheer for a guy like that.,1520574995885215744,RealKJP
Is it? Then maybe he should do the same with Marcell Ozuna https://t.co/s4hnp2glO2,1520574432854433792,johnjmsd
"Can’t wait for a Olson roll over to second, an Austin Riley ground out to short and a marcell ozuna strikeout to end the game",1520573106368266241,JosephBailey_15
That Marcell Ozuna playing LF for both teams?,1520569494166556674,itsJadyn
"Marcell Ozuna - Groundout vs Dane Dunning
#Braves vs #Rangers

EV:   99.4 (MPH)
LA:   -5 (Deg.)
Dist: 16 (ft.)
xBA:  .320

79.1 (MPH) Slider (SL) - 1-0 Count",1520565890894417927,BravesInPlay
Marcell Ozuna getting OF assists by being incompetent as a fielder challenge,1520548241301032961,itsJadyn
Marcell Ozuna sucks in the outfield,1520547498334560257,drewclank
Marcell Ozuna is the worst LF I’ve ever seen in my life,1520547367153455104,StantonThe3rd
"#Braves 0 @ #Rangers 1 [T2-1o]:

Marcell Ozuna (swinging; 1)

RHP Dane Dunning (4)
Seq (5): SL sl si SL× SL
s3: 80.2mph Slider",1520544348496175109,whifftracker
Braves: Ozzie Albies calls out Marcell Ozuna for laziness on basepaths #FanSided #MLB https://t.co/15S16tMSnp,1520517685356171264,x3tko
"Marcell Ozuna just hit one there for BP. 

#forTheA https://t.co/F5Fm6H2U7j",1520514878804533248,aplinckTX
Marcell Ozuna 2021 Topps Chrome Sep #thehobby https://t.co/7QGyeAzUim,1520498735020744704,CardCrawler
"#ForTheA tonight 
#BravesCountry 
1. Ronald Acuna DH
2. Matt Olson 1B
3. Austin Riley 3B
4. Marcell Ozuna LF
5. Ozzie Albies 2B
6. Travis d'Arnaud C
7. Adam Duvall CF
8. Travis Demeritte RF
9. Dansby Swanson SS

Starting Pitcher : Bryce Elder",1520488873402552325,RadioBaseball
"he wasn’t even charged criminally, yet marcell ozuna, who did far worse, only got 20 games. it’s the MLB vs bauer at this point fr. https://t.co/n0yLQuIsEX",1520482091057643522,rxbbiekxder
"Trevor Bauer is innocent #freeBauer Rob Manfred is terrible for baseball, ruining a Future Cy Young winner career because he believes sexual assault case  which there is no evidence of But there is evidence of Marcell Ozuna  hitting his wife and he’s playing. BS #freeBauer",1520475746984210441,FreeseJon
"If you’re still looking for it, here’s the full clip of Ozzie Albies getting on Marcell Ozuna for lazy base running. Fantastic stuff from Albies. #ForTheA https://t.co/pNbSUrVZ0I",1520473509213913088,chrisjohnallen
"Atlanta Braves lineup:
1. R. Acuna (R) DH
2. Matt Olson (L) 1B
3. Austin Riley (R) 3B
4. Marcell Ozuna (R) LF
5. Ozzie Albies (S) 2B
6. T. d'Arnaud (R) C
7. Adam Duvall (R) CF
8. T. Demeritte (R) RF
9. Dansby Swanson (R) SS
https://t.co/WpD0b5lN8g",1520468958167678978,AwesemoMLB
"#Braves Lineup 04/30/22

1. Ronald Acuna DH
2. Matt Olson 1B
3. Austin Riley 3B
4. Marcell Ozuna LF
5. Ozzie Albies 2B
6. Travis d'Arnaud C
7. Adam Duvall CF
8. Travis Demeritte RF
9. Dansby Swanson SS

Starting Pitcher : Bryce Elder",1520466814043516929,DailyMLBLineup
Clearly there's a personal agenda against Marcell Ozuna by Braves fans on this app so i understand why they where quickly to blow that banter between Albies and Ozuna out of proportion,1520466738839699457,sgmbraves2
"4/30 Atlanta Braves Lineup:

1 DH Ronald Acuna Jr.
2 1B Matt Olson
3 3B Austin Riley
4 LF Marcell Ozuna
5 2B Ozzie Albies
6 C Travis d'Arnaud
7 CF Adam Duvall
8 RF Travis Demeritte
9 SS Dansby Swanson

 SP:Bryce Elder #ForTheA  #MLB",1520466623269847041,GSMLBPicks
"Marcell Ozuna made his mlb debut #otd 2013
Maybe he’ll have a good night!",1520451234351747072,BurrHughes
Marcell Ozuna be like https://t.co/AgoLzvDuhL,1520447964975575046,SportsHuddleYT
Marcell Ozuna 2021 Topps Chrome Sep #thehobby https://t.co/OAUAq49XMb,1520446802109022209,CardCrawler
Great start! Now MLB should address how Marcell Ozuna only received a 20 game RETROACTIVE suspension for strangling and beating his wife. https://t.co/UzZuKmRDsy,1520433073564925952,sarahisthriving
Marcell Ozuna 2021 Topps Chrome #sportscardsforsale https://t.co/2w0C5TNBOA,1520407193325121537,cardradar1
Check out Marcell Ozuna (Baseball Card) 2014 Topps #70 https://t.co/6Oje9VSQhV #eBay via @eBay @Hobby_Connect @HobbyConnector #BaseballCardsForSale #SportsCards #BaseballCards #SportsCardsForSale,1520397640575471622,plus_cards
"Curious, how is @BauerOutage suspended 2yrs by the @MLB when the charges are dropped? Marcell Ozuna strangled his wife, &amp; already back playing? I’m all about protecting women, these cases are the same thing! #MLBIsAJoke #TreatEveryoneTheSame",1520381843052376064,Save_America_76
Trevor Bauer gets a 2 year suspension for allegations. Marcell Ozuna gets nothing for beating his wife and children. Interesting.,1520365416819920897,frank_aten10
Marcell Ozuna 2021 Topps Chrome #sportscards https://t.co/MvlQx0976Q,1520346728716718080,nothingbutcard
Hey @BauerOutage remember when the police actually saw Marcell Ozuna physically assault his wife and only served a 20 game suspension? I can only imagine what the public doesn’t know you did to get suspended for 2 years. Funny how we haven’t heard any former teammates defend you.,1520339947160588289,schurig06
"The Trevor Bauer suspension is an absolute joke. He was found innocent on all charges yet the MLB suspends him 324 games  (2 years of baseball) without pay. But, Marcell Ozuna beats his wife &amp; only receives a 20 game suspension. Robert Manfred needs to step down immediately",1520284927740239872,MatthewWholaver
"Marcell Ozuna should've been banned from the league.  Bauer should be banned from the league.  Any coward that domestically abuses someone else should be ostracized and never allowed in civil society again, unless they can prove they have changed https://t.co/ZAhRNtb0qC",1520274364733829122,John_Kngston
"Most 1st-inning homers at current Busch Stadium:
Albert Pujols   23
Matt Holliday   17
Matt Carpenter   16
Paul Goldschmidt   9  (incl Fri)
Marcell Ozuna   8",1520260707660533760,dakern74
@BauerOutage I am with you I don’t agree with the @MLB when Marcell Ozuna didn’t get punished as u did #mlbletbauerplay,1520259938248904704,MillanJesus88
