full_text,tweet_id,screen_name
*stares contemptuously at marcus semien* https://t.co/Cmu7rFahQ2,1520899897108561920,heyvittas
Marcus semien is fucking garbage and rangers fans should be outraged,1520892268537917442,Taliboner
"The Texas Rangers are your new best friends and they just won 7-3 against the Atlanta Braves! Nick Solak, Nathaniel Lowe, Corey Seager, Marcus Semien, Charlie Culberson, Mitch Garver, Andy Ibanez and Adolis Garcia all played for the Texas Rangers.",1520885378131058689,thebaseballwtf
Marcus Semien is really lighting it uppp #NextLevel #StraightUpTX,1520880866272190464,drfunkenstein23
Marcus Semien struggled defensively when first with the A’s and the only thing that kept him in the lineup was his batting… look at him now https://t.co/h4OAsDOBbI,1520880425362595840,kiani_leal
Marcus Semien is lucky Stephen Strasburg exists because otherwise he would easily have the worst contract in baseball,1520874970460659719,TuscansLeather
Darren O’Day didn’t throw Marcus Semien any pitches in the strike zone bc he knew he would chase and strike out anyways. Pathetic.,1520874673940094978,willforthrill
Another day another Marcus Semien 0-4,1520874518079754241,cookedblocked
"#Braves 2 @ #Rangers 7 [B7-3o]:

Marcus Semien (swinging; 1)

RHP Darren O'Day (2)
Seq (6): SL× FF ff SL ff FF×
s3: 86.9mph Four-seam Fastball",1520874393802616832,whifftracker
so far Marcus Semien is not playing $175M baseball,1520864968253583361,vrhysta
marcus semien: king of productive outs,1520864737743060992,deafgaynerd
Marcus Semien being an even remotely average hitter right now would have the Rangers at like an extra two or three wins,1520864678980820993,carterlacy17
The Blue Jays have 32 home runs this season while Marcus Semien has 0 #bluejays,1520857670391111680,Daniel_Pogue73
Marcus Semien draws a two-out walk to load the bases. Adolis García will face off against new Braves pitcher—and former Ranger—Jesse Chavez. #StraightUpTX,1520853649173499905,ChrisHalicke
The bases are loaded with nobody out in the 2nd for Marcus Semien. #StraightUpTX,1520844836529704961,ChrisHalicke
marcus semien looks like this https://t.co/WdP05ZWYWI,1520838549213483008,43HUGGY
Marcus semien is in a HARD slump my lord,1520838367231070214,JakeyMaster
Marcus Semien will be the first @Rangers to go deep today.  #MITELCALL,1520834315088707593,Harriso01496100
Marcus Semien will get the first home run #MITELCALL @Rangers,1520828331305971712,timothylan02
Every time I’ve tried to raise concerns about Marcus Semien’s performance people keep brushing it off as April being his worst month so I’m depending on him to start pulling his weight beginning today!,1520826789161050112,willforthrill
2014 Bowman Chrome Marcus Semie #sportscards https://t.co/OznygTj1bE,1520810392515235842,nothingbutcard
"Marcus Semien is hitting 157.226.217

Matt Chapman is hitting 225.287.425 with a 30% k rate",1520807998624436224,CarsonDeonS
"Weaver Wire: Marcus Semien’s struggles, Chris Woodward’s final hit, and the ‘Park Bums’ https://t.co/mA2bL1py55",1520800498114121728,BerkleyBearNews
Lol Marcus Semien still 0 HR’s HAH,1520798905901985793,jaafarchalhoub
