full_text,tweet_id,screen_name
Look: Favorite Maria Sharapova Sports Illustrated Swimsuit Photos https://t.co/H8FzunHUKD,1520876689751953424,TFPdaily
"All Religions Safety Party

Personally Like Maria Sharapova 💞 https://t.co/e6sBiJF61z",1520835870063947776,ARSP_HARSH
SST makes Munar look like maria sharapova,1520832872957030403,SMSTNS
"HAPPY BIRTHDAY APRIL 19th; Actor Caleel Harris,19; Soccer Joe Hart,35; Singer Luis Miguel,52; Reality Star Shakir O'Neal(Shaq's Son),19; WNBA Candace Parker,36; Tennis Maria Sharapova,35; Comedian Ali Wong,40; Rapper Arizona Zervas,27; BEST WISHES &amp; GOOD HEALTH TO ONE &amp; TO ALL!!!",1520804495399215104,PoetBronx
Tennis: Maria Sharapova announces 1st pregnancy https://t.co/rkVhJdXabc via @YahooCASports Best wishes Maria !,1520765034019835904,JosephVinci
Maria Sharapova great points in Montreal 2014 https://t.co/65GLc3TzeF,1520757299299893250,ShinichiCrux
"Maria Sharapova when asked about Caroline Wozniacki’s apology about dissing her at 2017 US Open scheduling conflict, simply replied

‘Is her last name Bouchard?’

There is no love lost between these two as of now. https://t.co/gm3BiLN4CB",1520691014457040897,Brar_JSB
Tennis: Maria Sharapova announces 1st pregnancy https://t.co/Jp774NbQhW via @YahooCASports,1520600025453133824,OceanRol1
Barry Cowan weighs in on Emma Raducanu pursuing ex-Maria Sharapova coach https://t.co/W9rGMxYjYf,1520433412837941248,itennis4
"Maria Sharapova's on-court grunt or shriek has been officially recorded at a volume as high as 101 decibels. That is louder than a motorcycle and small aircraft landing. It is also about the same volume as an ambulance siren. 🤯
📷 @raygiubilo https://t.co/5ozBcYlzd8",1520425260859985924,SEDTVTennis
"“If you’re able to help some people and make them smile and make them realize that life is good, then that’s worth so much more than buying a pair of shoes.” – Maria Sharapova

ANJI FeelsTheConcert",1520423221308231680,Aileen09101
"OMG MARIA FACED SHARAPOVA AND SERENA IN R128 OF AO IN 2018 AND 2019

https://t.co/7lstOZvxvy",1520415071935299584,silasofficial_
Barry Cowan weighs in on Emma Raducanu pursuing ex-Maria Sharapova coach https://t.co/moAfoXAC8e,1520371603309277185,Sportscri_tweet
Maria Sharapova vs Serena Williams: Wimbledon final 2004 (Extended Highlights) https://t.co/swyqdZkP40,1520339174397775874,itennis4
"Honorary Member #54/200 of  @BBRCOfficial
 Club. Love the art, love the clothing of BBRC. NFT + Fashion + Lifestyle = BBRC 
@donnyLFG @MrHaotoshi @MrGentleApe

#Ivygirls
Famous people who could be worthy to represent the 
BBRC brand.
Maria Sharapova - Tennis https://t.co/rlXLxpEe5M",1520327244031291392,SecularInvesti1
"Maria Sharapova, 35, Pregnant: Tennis Star Shows Off Baby Bump In Bikini https://t.co/VtbN4eNCX9",1520317848857595904,hi5connectgh
"It's easy to impress me. I don't need a fancy party to be happy. Just good friends, good food, and good laughs. I'm happy. I'm satisfied. I'm content.
~Maria Sharapova

#inspiring #motivation #quotes #sayings #thefinequotes",1520304205105446912,smrtquotes
"It's easy to impress me. I don't need a fancy party to be happy. Just good friends, good food, and good laughs. I'm happy. I'm satisfied. I'm content.
~Maria Sharapova

#inspiring #motivation #quotes #sayings #thefinequotes",1520304204446932992,QuotesAutomated
"A young Maria Sharapova once said When you find a cancer in an organization, you must cut it out before it can spread. They looked sad, Before turning to talk to DJ Kiss",1520232098862276610,DeepTalksWithA1
"""No matter what you study, the thing that you know best is what you grew up with."" Maria Sharapova #quote https://t.co/T7Kg6b6Mfk",1520170200762667012,miraclegrids
"Maria Sharapova Expecting First Child With Alexander Gilkes

#MariaSharapova #pregnant 

https://t.co/1pML03FcV1",1520160999969632261,uinterview
Maria #Sharapova and her baby bump at the MET Gala would be 😍🤩,1520158991749468163,AnaCzbn
"No matter what you study, the thing that you know best is what you grew up with.
~Maria Sharapova

#inspiring #motivation #quotes #sayings #thefinequotes",1520024866883346435,smrtquotes
"No matter what you study, the thing that you know best is what you grew up with.
~Maria Sharapova

#inspiring #motivation #quotes #sayings #thefinequotes",1520024866212261888,QuotesAutomated
"Maria Sharapova
Height- 6'1¾ (187 cm)
Weight- 75KG (165lbs) Due To Corona Virus",1520022896869056512,LSaikia4
"CSN is tough match up for Maria. 
Maria Sharapova vs Carla Suarez Navarro - Montreal 2014 3rd round Highlight https://t.co/IL4HYzClGd",1519998430483222528,ShinichiCrux
a thread full of my favorite moments of serena williams clearing maria sharapova 🥰 https://t.co/KTfGR8zplL,1519949771603324928,tiredeggggg
"""No matter what you study, the thing that you know best is what you grew up with."" Maria Sharapova #NimbleQuotes",1519883662967414784,RRodriguezJrMBA
"The responses to my tweet is so funny , I didn’t know that we all have been struggling with our serve and now we have finally known the reason behind our bad service game turns out it was Maria Sharapova all along!😂 https://t.co/O4Pe6VB4rz https://t.co/VFlcve6E9u",1519820358131589125,xmtkd
This is hilarious because I only play with her rackets too!! So are we now blaming head or Maria Sharapova?😭 https://t.co/sgIDMK87nx,1519815985775226881,xmtkd
"Serena Williams vs Maria Sharapova AO 2015 Highlights
https://t.co/x4hQyJ5nxH",1519813860676489217,monkey_viral
"It's easy to impress me. I don't need a fancy party to be happy. Just good friends, good food, and good laughs. I'm happy. I'm satisfied. I'm content. - Maria Sharapova #QotD #QuoteOfTheDay",1519771952587677696,InternetFount
"For the vast majority of my sports fan life, the Broncos, Arizona 🏀 and Maria Sharapova (now retired) have won enough that I consider myself a pretty fortunate sports fan. But good hell the #Orioles piss me off to no end at times. It all comes out in a wash",1519760970633068544,DoubletoughDyl
"With the start of #MMOPEN 
never forget the queen of clay and your 2014 champion Maria Sharapova! https://t.co/YwyNi0eNm6",1519738558038298625,bestofmasha
"My main goal is to stay healthy because when you're injured you realise how lucky you are to have your health.
~Maria Sharapova

#inspiring #motivation #quotes #sayings #thefinequotes",1519715331689877507,smrtquotes
"My main goal is to stay healthy because when you're injured you realise how lucky you are to have your health.
~Maria Sharapova

#inspiring #motivation #quotes #sayings #thefinequotes",1519715330913968130,QuotesAutomated
Do you all know that SharaFamily members who play tennis like me inherit Maria Sharapova's shoulder and double faults?,1519699183204282368,xmtkd
