full_text,tweet_id,screen_name
"anyway! let's all watch marin honda the goat instead 
 https://t.co/EfzZZntqlT",1520825298400514050,adorelews
marin honda will land the first ratified 4A do not worry everyone,1520822933094113281,midorimoonlight
😍 Beautiful performance by Marin Honda was featuring Andrew Dodds.,1520418011232059394,shitfsstanssay
marin honda’s pink blades will forever be iconic https://t.co/lwXPS81bVb,1520154612036247552,midorimoonlight
fosse actually just told me (via ouija board) that he wants you to do ice dance @marin_honda https://t.co/Sdp9R8TZLg,1520036928732737536,vmstagemom
"marin honda debuted her new programme “rich man’s frug” at prince ice world today🖤
#本田真凜 #MarinHonda @marin_honda https://t.co/pwwNEsnf2F",1520035301472845824,midorimoonlight
here is marin honda full new program https://t.co/FHYnO8X8I0,1519961324507312129,shtrawberries
lrt marin honda is the only person allowed to ever do things with sweet charity,1519911945960407040,curvelifts
Marin Honda skated to “Rich Man’s Frug” at Prince Ice World. https://t.co/eDfd6zIGYp,1519894351408930817,figureskatingm1
marin honda's la la land program is truly goated in this essay i will,1519811450465837057,VIRTUEMOlRS
something about marin honda’s turandot dress 🌹✨ https://t.co/cer7na8YOr,1519695872195506179,missingvm
"hello!! been a fs stan for many years now and have occasionally lurked but have never made a fs twt account before for some reason lol. fan of marin honda, young you, team jpn and many others (both retired and active) 🥰",1519095329664110592,springsonata17
"15 year old marin honda skating to one of the most difficult step sequence as a junior, with sublime edges, interpretation, flow and musicality incorporated into the performance https://t.co/yms2XtVkj5",1519067198924509190,midorimoonlight
#marin_honda 2015 ISU Jr. Grand Prix- Colorado Springs Ladies Short Program Marin HON... https://t.co/iPaPvF5NFt @YouTubeより,1518968936616046592,jmdt231
The best shots on our YouTube channel we will rob marin honda was grossly robbed by her recent injury.,1518530509655187456,shitfsstanssay
#marin_honda Marin Honda @ 2016 World Junior Championships【Fuji TV 】1st place https://t.co/unQtN5SWfi @YouTubeより,1518218484223967233,jmdt231
